label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154
0.03	north1_all	80	36001	11074	12324	5948	8239	6784	3556	2364	1801	1565	1869	1070	1008	1270	1166	881	879	933	775	702	579	491	313	501	289	246	223	216	230	169	215	117	315	137	202	105	114	150	89	94	98	69	96	94	112	63	55	48	45	79	73	30	44	35	42	20	20	23	27	18	26	14	23	27	13	19	12	9	15	32	11	10	15	11	5	10	8	13	3	11	3	0	2	4	7	2	5	2	0	2	3	1	5	1	3	0	2	6	0	1	1	0	0	0	2	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	20973	5277	7409	3080	5042	4224	1987	1233	919	762	1096	484	485	710	644	479	513	580	446	427	352	270	151	291	145	120	108	115	123	88	110	65	199	77	143	56	60	88	39	48	52	31	51	59	62	39	30	21	23	62	55	14	23	20	22	7	10	13	22	4	18	5	17	20	4	14	7	5	9	24	2	7	6	7	1	2	1	4	0	7	2	0	1	0	4	0	3	1	0	1	2	0	4	1	1	0	1	5	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	35800	11093	12273	5894	8162	6712	3591	2297	1800	1562	1898	1107	1013	1269	1123	885	835	982	787	696	586	482	307	520	285	246	210	210	223	156	216	128	282	137	222	99	116	158	75	91	100	79	80	95	119	64	46	43	43	65	96	23	53	40	39	20	33	29	23	19	27	10	26	28	16	17	10	11	13	19	10	8	17	12	3	5	8	13	3	15	1	0	2	4	3	1	8	3	0	2	3	1	5	0	3	1	2	6	0	0	2	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
0.03	north2_active	80	20978	5222	7247	3050	5101	4150	1967	1195	913	722	1129	483	500	695	645	493	467	624	449	420	359	270	146	287	146	128	93	110	119	84	123	66	188	72	156	52	65	101	32	50	50	35	37	59	72	35	24	17	21	47	73	9	37	22	15	10	19	16	16	5	18	5	18	21	4	9	4	8	9	11	3	5	9	6	0	0	2	4	0	3	1	0	1	0	2	0	4	2	0	1	2	0	4	0	1	1	2	5	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	34818	10882	11926	5718	7804	6446	3454	2268	1786	1545	1848	1079	993	1223	1108	848	781	1028	745	736	556	488	308	473	271	252	199	217	224	155	236	132	288	132	223	88	112	168	77	94	88	83	69	89	108	62	40	51	44	74	87	25	63	38	31	21	40	21	27	21	19	13	16	26	20	21	17	10	16	13	6	5	12	8	5	8	5	5	1	14	3	2	3	6	6	1	6	5	0	2	4	2	3	0	4	3	4	1	0	0	2	0	2	1	1	1	0	0	1	2	0	0	0	0	0	0	3	0	2	0	0	1	0	1	0	0	0	3	0	5	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north3_active	80	20107	5070	7048	2906	4947	3944	1877	1158	853	714	1091	463	480	673	654	474	416	655	425	440	360	266	147	244	132	127	83	105	119	80	127	67	197	72	152	44	64	106	39	50	53	41	37	56	61	31	22	25	23	57	63	12	48	22	17	11	27	10	19	8	14	8	8	21	13	13	8	8	8	3	2	3	9	3	2	2	2	4	0	2	1	2	1	1	4	0	2	4	0	1	3	0	3	0	1	3	3	1	0	0	2	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33627	10710	11356	5397	7845	6207	3364	2193	1783	1531	1765	1098	973	1166	1062	803	779	1019	668	714	526	519	298	410	285	264	194	235	226	142	225	124	290	129	217	89	102	161	67	77	88	80	75	89	69	49	28	45	37	71	75	30	62	40	36	14	40	25	27	21	14	10	20	20	21	22	18	14	15	11	3	2	16	6	6	5	2	5	1	17	5	3	1	5	6	1	9	4	1	0	3	2	4	1	2	4	4	3	0	1	3	0	4	1	1	1	0	0	1	1	0	0	0	1	0	0	3	0	2	0	0	0	0	2	0	0	0	3	0	5	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north4_active	80	19050	4922	6632	2771	4965	3783	1826	1114	816	697	1011	490	456	633	633	441	400	615	376	405	322	291	148	204	131	123	82	121	120	70	137	58	196	68	145	41	49	96	36	36	45	41	40	60	37	20	14	26	18	50	46	11	44	21	15	8	27	11	17	8	9	6	13	13	15	12	10	11	9	1	2	1	11	2	3	2	1	4	0	6	2	2	0	1	5	0	4	3	0	0	2	0	4	0	0	4	2	3	0	0	3	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	32485	10688	10883	5320	7517	5884	3164	2225	1781	1473	1666	1096	941	1106	992	780	792	970	691	714	527	497	283	399	267	251	196	242	218	137	227	131	291	112	197	86	105	159	68	77	94	80	85	84	62	47	40	44	37	46	72	36	52	33	37	16	32	15	24	16	10	10	26	24	20	19	22	10	14	9	4	2	17	5	7	6	1	3	3	11	7	3	1	6	6	2	7	4	2	1	5	4	1	3	2	5	3	3	0	1	2	2	4	1	0	2	0	0	1	1	1	0	1	1	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north5_active	80	18051	4865	6292	2673	4666	3594	1649	1104	816	686	920	479	427	607	582	412	409	571	395	409	319	282	144	213	125	122	97	126	115	66	142	64	193	54	116	41	41	93	32	31	45	37	44	49	34	21	17	25	18	31	45	17	36	17	17	7	19	6	16	9	6	5	16	16	14	12	15	5	9	3	2	1	11	3	3	4	0	2	3	4	3	2	0	1	5	1	5	2	0	1	3	2	1	1	0	4	1	3	0	0	2	1	0	1	0	2	0	0	1	1	1	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	31975	10617	10773	5363	7260	5770	3071	2155	1757	1466	1715	1053	967	1120	929	793	779	916	669	657	499	497	288	399	243	254	198	230	207	144	204	118	271	114	197	86	101	151	67	73	96	68	98	78	67	64	54	40	48	47	50	43	36	35	42	21	29	19	21	12	19	12	20	21	11	20	27	12	13	14	3	3	17	4	6	6	1	4	5	7	8	5	1	5	3	1	10	4	3	1	4	3	2	5	0	3	3	3	1	2	2	2	2	2	1	1	0	0	0	0	1	0	1	1	0	0	0	1	4	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
