label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	13433	11135	3029	1883	1434	1165	726	705	464	399	740	234	180	162	130	227	127	79	152	71	52	54	39	56	29	27	23	17	12	19	14	9	10	11	4	3	5	4	5	2	1	1	4	4	7	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	8468	9477	1463	788	655	652	276	434	108	138	636	81	48	61	58	185	77	50	117	50	35	34	24	46	22	5	6	12	5	8	9	8	3	10	3	2	3	1	1	2	1	0	2	4	7	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	13456	11118	3059	1916	1446	1183	734	675	445	407	736	240	170	164	148	221	119	88	144	75	60	49	36	49	29	25	22	15	9	15	17	13	7	9	3	5	5	5	5	3	4	1	4	4	6	0	0	0	1	2	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	8547	9503	1438	759	653	647	266	401	101	142	642	82	48	62	59	173	72	53	111	46	38	30	20	37	20	5	7	11	3	7	8	10	2	8	2	3	1	2	1	2	0	0	2	4	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	13377	11166	3107	1922	1460	1120	738	699	462	378	768	247	191	154	155	220	120	96	140	71	65	48	40	57	36	22	18	23	13	12	20	18	5	13	8	5	4	2	6	2	4	2	2	2	1	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8541	9574	1498	755	658	590	266	409	105	130	663	91	50	55	65	178	79	57	106	34	42	28	24	47	24	4	5	16	6	5	11	11	1	10	5	3	1	2	2	1	0	0	2	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13520	11092	3112	1891	1432	1141	747	698	475	391	745	234	185	157	159	225	125	105	143	74	65	57	42	58	42	20	15	27	11	11	19	13	5	15	13	8	5	5	3	2	4	2	3	3	1	0	1	1	1	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8624	9474	1486	727	640	590	260	416	105	142	650	78	48	59	61	184	86	57	113	42	40	33	24	48	30	3	5	20	4	3	9	6	2	11	6	4	2	2	1	0	0	1	3	2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	13487	10975	3039	1859	1396	1139	762	700	488	377	727	224	188	181	153	215	117	106	131	73	67	61	45	56	44	22	14	30	12	10	20	22	5	29	13	5	3	5	1	1	1	2	3	2	2	0	1	1	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8555	9365	1469	710	590	606	266	431	111	128	630	84	50	64	64	174	76	61	106	40	47	37	29	43	28	7	5	25	4	4	13	15	3	25	6	2	1	1	1	0	0	1	3	1	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
