label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north1_all	80	17550	4944	2448	5070	2496	915	1073	1167	947	470	373	464	243	183	150	125	159	132	89	62	63	50	149	47	51	45	29	28	32	27	31	23	10	13	7	9	7	9	4	5	3	4	5	2	8	1	2	2	3	1	1	1	0	2	0	1	0	1	1	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	13951	2820	620	4545	2019	253	775	989	800	263	235	357	76	81	72	53	104	95	46	16	22	14	138	31	38	23	20	19	23	22	22	17	5	7	3	8	4	3	3	1	1	2	3	1	7	1	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	17420	4970	2445	4927	2473	902	1046	1196	957	452	382	438	238	165	132	132	159	138	88	61	58	57	125	48	62	50	28	32	31	28	36	18	12	16	5	11	6	6	5	6	3	2	3	0	3	0	4	0	2	1	3	0	0	1	0	1	3	1	2	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	13832	2819	622	4404	2009	261	733	1023	791	256	225	345	72	77	57	45	103	100	46	16	23	17	115	30	43	35	15	21	21	23	27	12	6	11	3	9	3	4	4	1	1	1	2	0	2	0	0	0	2	0	3	0	0	0	0	0	3	1	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	17172	5047	2535	5031	2475	920	1035	1213	939	451	382	459	222	162	130	116	163	132	93	68	46	56	135	56	57	43	33	33	25	22	26	18	9	16	6	11	5	7	4	6	6	1	6	2	1	2	4	0	0	0	4	0	0	1	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	13628	2885	626	4498	2030	279	714	1045	768	245	223	363	73	72	61	37	116	96	50	22	17	18	122	36	41	29	20	18	15	19	20	14	4	11	3	7	2	4	3	2	2	0	4	1	1	0	0	0	0	0	3	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	17256	5092	2523	4976	2499	899	1027	1256	940	424	360	440	193	170	139	122	147	133	85	73	43	46	124	60	72	43	31	38	28	21	26	21	7	14	7	20	7	4	4	5	8	1	9	2	1	3	4	0	0	0	3	0	0	0	0	1	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	13769	2968	641	4415	2061	281	718	1076	769	211	203	345	63	82	68	48	102	94	36	27	11	16	113	43	51	32	18	23	17	16	22	19	4	8	4	16	4	2	3	2	4	0	6	1	1	1	0	0	0	0	2	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	17282	5141	2516	4895	2482	941	1066	1215	979	446	362	466	183	199	155	111	178	134	84	66	45	57	137	58	62	36	32	47	27	34	29	24	6	12	6	22	10	2	6	3	10	2	15	4	1	4	3	1	0	0	2	0	1	1	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	13816	2976	646	4323	2061	267	762	1022	805	226	205	359	64	88	71	50	138	91	32	29	9	19	127	45	46	27	20	30	16	25	21	21	3	7	2	18	5	0	4	1	5	0	12	3	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	17494	5131	2523	4938	2415	982	1048	1231	975	438	369	476	182	202	168	123	173	131	89	61	54	50	128	56	61	27	39	42	25	45	25	19	7	12	8	18	9	1	7	2	9	2	15	4	2	5	2	1	0	0	1	0	1	1	0	2	0	1	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	14028	2997	632	4353	2003	272	751	1014	802	225	207	369	54	96	70	58	139	89	33	26	7	17	120	43	47	20	20	30	17	35	17	16	3	7	2	17	6	0	5	1	4	0	12	3	2	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	17830	5028	2578	4956	2377	954	1004	1353	1010	435	400	452	205	218	158	127	183	116	88	52	57	46	136	58	62	33	33	35	18	53	34	24	13	14	7	20	9	3	6	4	6	3	10	3	2	6	1	1	0	0	1	0	3	1	0	2	0	1	0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
0.03	north7_active	80	14228	2899	644	4421	1955	247	711	1122	839	235	226	345	62	102	57	57	150	83	33	19	13	16	125	42	48	24	13	26	13	44	24	17	5	10	3	17	6	1	4	3	2	1	7	3	2	3	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	17853	5003	2609	5033	2341	966	991	1391	985	435	414	434	206	200	149	122	172	136	98	50	59	46	132	49	67	31	29	34	24	58	32	25	13	16	8	17	13	6	3	5	3	3	6	3	3	5	2	0	1	1	1	0	2	1	0	1	1	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	14181	2866	629	4507	1904	252	676	1161	826	242	239	336	62	85	54	51	137	105	37	15	14	17	116	35	56	17	11	24	18	49	20	19	6	12	6	14	11	3	2	3	0	1	3	3	3	3	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
