label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	4810	2152	1116	766	1078	382	661	331	171	119	82	118	188	144	99	64	90	33	22	15	30	14	13	13	2	9	5	3	1	1	1	0	1	2	2	1	0	0	2	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1777	990	257	243	872	103	529	218	91	26	20	75	166	123	84	47	75	22	17	9	24	7	10	0	0	1	2	1	0	0	1	0	0	2	0	1	0	0	1	5	0	5	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4781	2193	1121	759	1275	387	713	316	186	117	87	125	198	150	113	65	98	37	19	19	27	11	12	8	4	7	6	3	0	2	0	0	1	4	3	0	3	0	3	5	0	5	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1851	1098	298	285	1081	106	605	221	101	24	21	86	187	132	96	51	87	22	17	9	20	9	7	0	0	1	4	1	0	0	0	0	1	2	1	0	1	0	2	5	0	5	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4905	2230	1126	784	1361	375	761	335	187	119	85	112	210	127	109	61	98	33	19	19	27	20	23	3	5	7	6	6	2	3	0	0	3	3	3	0	3	0	2	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1982	1189	337	303	1172	119	668	231	102	24	16	77	201	111	97	50	90	19	16	7	23	17	19	0	0	2	4	2	1	1	0	0	3	1	1	0	1	0	2	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4915	2221	1128	770	1470	356	751	333	182	130	80	100	176	130	105	51	85	20	22	16	25	16	23	3	7	7	6	8	6	3	0	1	3	4	4	0	3	0	1	0	1	11	0	0	7	0	0	0	2	0	0	0	0	1
0.03	north4_active	80	1983	1210	342	279	1272	121	652	243	94	32	19	76	169	115	89	41	80	7	14	4	21	14	21	0	3	3	4	3	3	1	0	0	3	2	2	0	1	0	1	0	0	11	0	0	6	0	0	0	2	0	0	0	0	0
0.03	north5_all	80	4866	2292	1102	746	1414	354	799	369	170	138	90	108	167	149	127	56	74	15	20	20	31	24	38	4	8	6	5	7	6	5	1	1	2	3	3	0	1	0	1	0	1	6	0	0	7	0	0	0	2	0	0	0	0	1
0.03	north5_active	80	2014	1243	313	287	1212	116	696	283	99	36	19	77	151	131	114	34	65	4	11	10	28	20	36	0	4	3	1	3	3	2	0	0	2	3	2	0	0	0	1	0	0	6	0	0	6	0	0	0	2	0	0	0	0	0
