label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north16_active	80	789	115	73	72	32	44	78	6	9	6	27	9	1	0	12	1	25	35	1	1	27	1	1	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	1468	483	262	185	103	95	121	33	28	23	35	17	9	2	13	2	18	77	2	2	20	3	2	0	7	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	804	130	76	77	28	39	92	7	10	7	26	9	1	0	9	0	18	76	1	1	20	2	1	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	1465	521	251	173	105	76	114	29	28	32	35	15	10	2	17	1	17	70	4	3	16	5	3	3	3	5	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	813	135	68	75	27	27	89	6	10	10	26	8	2	0	14	0	17	69	1	0	16	4	2	3	3	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	1454	505	249	171	115	76	109	31	32	30	38	15	8	6	15	5	17	75	4	2	8	4	3	5	2	12	1	0	0	4	0	0	0	5	0	0	0	0	0	0	0
0.03	north19_active	80	795	124	60	76	30	27	94	3	12	12	32	7	3	0	11	1	17	75	2	0	7	3	2	5	2	12	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0
0.03	north20_all	80	1420	504	259	176	124	67	96	35	27	26	43	18	10	6	23	5	14	51	4	2	19	2	2	5	2	12	0	0	0	3	0	0	0	5	1	0	0	0	0	0	0
0.03	north20_active	80	803	121	63	76	36	25	77	4	13	11	36	7	2	0	19	1	14	51	1	0	18	2	2	5	2	12	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0
0.03	south21_all	80	1387	476	280	190	100	86	82	44	36	19	39	22	7	10	17	5	40	90	2	0	21	1	0	1	10	2	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0
0.03	south21_active	80	763	118	65	63	19	32	55	7	9	6	27	11	1	4	15	2	37	90	0	0	20	0	0	1	10	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
0.03	south22_all	80	1421	486	273	191	100	81	93	35	32	24	38	22	8	10	18	2	18	58	2	1	11	1	1	2	6	3	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0
0.03	south22_active	80	789	107	62	64	22	27	67	7	7	8	30	12	1	2	17	2	13	58	0	0	9	0	1	2	6	3	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0
0.03	south23_all	80	1434	475	263	207	106	82	96	44	34	22	39	16	11	11	21	2	16	21	1	1	3	1	2	2	9	4	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0
0.03	south23_active	80	781	107	74	69	23	33	70	8	8	9	32	9	1	2	18	2	12	21	0	0	2	0	2	2	9	4	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0
0.03	south24_all	80	1461	478	257	202	125	87	113	45	32	27	42	15	13	14	18	1	5	28	1	1	8	0	3	1	4	6	0	0	0	8	0	0	0	0	0	2	0	0	0	6	0
0.03	south24_active	80	787	97	68	73	23	32	73	7	8	13	36	8	2	3	13	0	3	28	0	0	7	0	3	1	4	6	0	0	0	8	0	0	0	0	0	2	0	0	0	6	0
