label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north1_all	80	19481	6750	4563	2172	1733	1082	980	519	513	324	238	256	156	123	132	165	67	78	64	32	35	33	34	41	11	29	12	11	8	15	5	5	12	4	5	4	3	1	1	1	0	1	2	0	0	0	1	0	5	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0
0.03	north1_active	80	12311	4075	2918	1257	1013	600	605	275	283	195	115	159	76	68	69	113	39	47	37	15	19	18	21	36	4	19	7	3	4	12	2	4	2	2	5	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	19274	6834	4480	2146	1697	1058	1014	542	480	328	218	254	148	117	130	183	65	70	53	45	36	34	34	38	10	23	14	8	9	11	4	5	9	3	3	3	3	0	2	2	0	2	2	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0
0.03	north2_active	80	12214	4149	2812	1232	1009	581	612	295	249	191	105	147	74	60	69	119	36	42	28	23	20	20	21	33	4	15	9	2	4	8	3	4	2	1	3	1	1	0	0	2	0	1	2	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	19201	6983	4431	2075	1670	1055	970	549	457	329	221	244	148	104	111	157	77	69	34	47	33	33	30	37	7	18	15	7	8	9	5	5	10	6	2	2	2	0	2	3	2	1	1	2	5	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	12139	4271	2832	1184	982	584	565	295	229	187	95	147	74	49	57	97	40	47	18	23	22	18	19	31	3	13	12	1	4	2	3	4	2	3	2	0	1	0	1	2	1	1	1	2	5	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	18789	6846	4354	2046	1637	1089	973	531	462	353	211	237	135	97	118	136	76	75	51	52	45	35	32	35	9	19	14	6	10	10	7	7	6	5	1	2	1	2	3	3	4	1	1	5	6	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	11937	4137	2764	1187	982	634	554	277	233	193	97	132	71	41	57	84	39	48	29	30	27	19	17	26	5	13	9	1	3	3	4	6	3	3	1	1	0	1	2	2	2	1	1	4	6	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	18759	6855	4457	2070	1708	1138	1013	526	458	332	225	249	146	114	100	120	72	71	54	52	45	28	31	35	11	28	15	4	10	13	6	4	6	4	2	7	1	2	3	4	4	1	1	5	6	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	11994	4189	2782	1228	992	670	612	283	238	179	116	149	75	52	54	78	40	44	37	33	22	14	15	25	6	23	9	3	4	7	3	2	3	2	2	4	0	1	2	2	2	0	1	4	6	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	18877	6755	4461	2033	1707	1167	1048	496	466	346	231	266	150	114	101	106	64	80	64	48	50	26	27	40	17	31	10	6	11	9	6	5	5	1	3	7	1	3	2	1	2	1	1	3	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	12031	4135	2763	1212	1002	674	658	257	248	190	118	154	79	56	52	73	34	46	43	28	26	11	15	30	10	21	5	5	4	8	3	2	3	0	2	4	0	1	2	0	1	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	19124	6964	4442	2062	1757	1203	1085	496	451	315	246	252	159	117	94	111	61	83	72	49	52	26	24	39	19	40	9	5	9	14	5	8	8	1	2	8	2	1	0	3	1	2	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north7_active	80	12179	4235	2691	1176	1073	710	670	255	248	174	129	139	81	54	44	73	31	45	43	35	26	12	12	30	9	30	5	4	4	11	4	4	6	0	1	5	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north8_all	80	19340	6944	4440	2122	1698	1152	1059	526	443	323	247	222	164	114	96	124	64	74	61	53	50	23	29	34	18	38	10	6	5	11	5	5	14	0	5	4	3	2	1	10	1	1	0	0	1	2	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north8_active	80	12460	4225	2678	1196	1042	672	628	267	243	177	128	114	83	58	35	75	33	40	36	30	23	10	14	21	8	26	6	5	1	7	4	3	11	0	3	2	1	1	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north9_all	80	19377	6920	4344	2130	1716	1126	998	530	436	314	250	208	154	114	112	138	74	76	62	54	51	26	30	27	13	34	15	6	6	14	5	12	17	2	5	3	3	1	1	10	1	4	0	1	1	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	12479	4227	2634	1206	1064	659	598	265	236	175	126	106	75	57	45	85	39	45	35	36	23	13	10	16	5	21	7	3	2	7	5	10	12	1	3	2	2	1	1	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north10_all	80	19318	6778	4317	2163	1726	1113	1025	539	436	319	246	218	157	128	118	132	63	58	70	59	46	24	25	32	16	33	16	7	11	15	12	13	15	4	5	3	5	1	1	11	1	3	0	2	1	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	12384	4181	2636	1274	1047	649	626	280	225	185	122	127	81	71	56	78	35	34	42	33	19	10	7	17	7	22	8	4	4	6	9	9	12	1	4	3	4	1	1	2	0	1	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
