label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	6474	2289	1119	740	567	385	281	214	191	144	150	86	210	79	39	42	40	28	27	23	50	14	16	11	7	4	10	3	7	1	5	4	4	1	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north1_active	80	4254	1170	290	181	261	163	78	41	102	50	79	26	189	36	9	9	19	10	9	13	46	3	5	2	2	1	8	2	0	1	1	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north2_all	80	6566	2242	1118	737	588	422	291	223	174	128	161	92	216	81	41	38	39	33	23	19	57	13	16	9	7	2	12	5	4	3	5	5	4	1	3	0	3	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north2_active	80	4339	1159	308	177	256	185	82	44	94	42	88	26	192	33	10	10	18	16	6	10	53	4	4	2	2	0	8	3	0	2	2	5	4	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north3_all	80	6362	2243	1162	727	599	417	286	211	179	131	164	92	211	74	41	34	35	36	23	19	58	15	16	10	6	5	11	6	4	4	5	4	5	1	3	0	3	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0
0.03	north3_active	80	4142	1167	324	162	264	175	79	41	87	34	86	18	187	36	7	10	14	14	9	6	53	3	3	1	3	0	7	4	1	3	2	4	5	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0
0.03	north4_all	80	6355	2240	1162	748	552	429	281	204	167	139	157	74	198	52	53	35	32	43	28	22	49	16	12	13	4	7	4	9	4	10	3	2	5	0	3	0	2	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4156	1168	339	170	245	168	82	40	67	38	89	22	174	23	8	10	17	18	13	6	44	3	2	2	1	3	2	7	1	8	3	2	4	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6224	2316	1150	752	556	433	264	201	172	149	157	86	226	56	44	34	36	34	24	27	42	12	11	10	6	7	8	8	5	9	3	2	2	0	2	0	0	1	0	0	0	0	2	1	1	0	1	0	0	0	1	0	0	1	0	0	0
0.03	north5_active	80	4081	1192	322	174	265	176	74	38	67	37	95	22	199	27	7	12	17	12	15	6	38	1	2	2	2	3	4	7	2	8	2	1	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0
