label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67
0.03	north1_all	80	13591	6158	4084	1215	2189	674	954	606	597	434	271	250	172	127	99	67	104	40	41	52	26	23	19	14	18	8	12	12	7	7	8	14	3	2	6	10	1	2	8	0	2	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8235	3869	2618	548	1401	330	577	375	378	263	156	164	92	73	51	35	64	14	21	31	16	15	9	4	8	3	2	3	3	3	5	7	1	2	2	5	1	1	7	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	13715	6256	4062	1220	2257	672	1017	603	616	453	268	236	178	119	109	72	86	43	42	42	25	27	22	18	19	5	13	9	8	6	6	15	5	11	2	9	2	2	8	0	2	3	6	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	8316	3905	2587	558	1400	317	635	385	386	281	150	148	100	65	56	38	54	20	21	25	14	17	7	6	11	3	3	3	4	4	4	10	2	7	1	4	0	2	8	0	1	2	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13720	6342	3988	1245	2254	693	1004	586	638	438	293	232	175	103	105	79	83	56	46	52	25	30	21	20	18	5	12	8	5	5	7	15	6	12	2	7	2	2	11	0	2	4	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	8342	3947	2501	562	1413	327	638	377	389	260	159	129	104	62	57	42	44	27	20	31	12	15	5	9	13	5	2	4	3	3	5	11	3	8	1	2	0	2	8	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13768	6297	3854	1223	2243	724	962	566	617	441	279	261	163	113	106	73	95	54	51	57	25	33	26	16	21	8	10	9	7	4	7	8	7	12	1	2	3	3	4	0	0	3	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	8360	3860	2409	560	1401	336	605	364	388	259	146	151	96	64	58	34	50	29	24	32	12	16	7	7	14	7	4	4	5	3	4	6	4	8	0	1	1	3	1	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	13049	6059	3614	1199	2031	694	902	524	630	393	300	262	150	119	92	82	99	46	40	63	23	38	26	16	22	10	8	8	12	5	6	8	5	2	2	1	3	4	5	0	0	4	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	7842	3686	2206	534	1247	322	565	320	390	224	152	154	91	68	50	45	57	25	20	34	10	20	9	9	14	9	4	5	9	4	4	6	5	1	1	1	1	3	2	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12850	5899	3664	1204	2020	664	856	504	581	388	282	291	148	122	104	81	109	42	33	58	22	32	24	19	21	11	5	6	13	4	7	9	7	8	4	4	1	4	6	1	0	3	5	0	3	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	7695	3550	2268	543	1294	304	544	299	366	220	152	172	84	66	51	49	68	19	19	33	10	21	8	10	10	8	4	3	10	3	4	5	6	6	3	2	1	3	3	1	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12951	5814	3622	1202	1926	653	879	564	594	388	291	273	143	123	93	73	102	45	28	42	23	31	21	21	19	11	5	4	14	3	8	10	7	9	4	5	1	3	3	1	0	3	3	0	4	1	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	7844	3522	2225	527	1222	305	538	337	385	236	159	162	84	65	48	47	61	19	15	24	8	20	7	11	11	7	2	3	7	2	5	6	5	7	3	3	0	1	3	1	0	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	13708	5963	3734	1199	2086	661	938	603	599	394	274	276	140	128	97	65	120	46	39	31	21	35	14	23	20	9	6	11	13	2	10	11	5	8	6	13	1	3	2	3	0	4	0	0	3	1	0	0	1	5	0	3	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
0.03	north8_active	80	8416	3650	2337	522	1377	306	576	354	398	221	152	165	78	66	52	39	73	16	17	20	6	23	3	13	13	5	2	6	6	0	6	7	3	7	4	10	0	1	2	1	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	14072	6232	3894	1165	2146	678	976	626	584	417	296	272	146	129	97	57	136	51	39	44	28	32	14	30	14	4	7	12	10	2	8	8	3	3	4	10	1	2	3	4	0	1	1	0	1	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north9_active	80	8687	3858	2405	514	1417	326	611	366	381	242	167	166	88	65	56	24	86	20	16	33	8	20	6	20	10	1	3	7	4	1	5	5	2	2	2	9	0	1	3	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	14023	6333	3921	1175	2214	719	994	606	557	423	318	254	140	133	94	51	138	47	43	40	28	45	14	26	14	4	6	14	9	3	6	8	1	3	5	9	0	0	2	3	0	1	5	0	1	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north10_active	80	8661	3927	2439	532	1465	365	629	338	362	239	198	157	77	75	50	15	78	23	18	22	8	29	8	18	12	1	3	8	3	1	4	6	0	3	3	8	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	13820	6514	3948	1192	2167	709	951	554	604	373	282	245	155	113	106	83	111	46	49	31	29	39	22	12	10	11	3	9	20	9	7	6	5	5	4	1	3	3	5	1	2	5	1	1	0	1	0	0	0	2	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	8520	4038	2487	515	1386	385	583	333	391	232	165	143	92	65	68	45	69	31	26	15	17	20	11	8	4	3	2	2	17	6	6	1	1	4	2	1	3	0	0	1	2	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	13748	6581	3859	1225	2110	703	987	522	548	404	291	237	145	109	109	73	113	45	48	39	26	38	25	17	17	6	6	10	20	10	6	7	5	4	6	1	2	2	6	2	2	5	2	1	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	8358	4089	2411	565	1337	354	606	306	348	245	169	145	84	56	65	38	65	24	27	20	14	22	13	10	11	2	4	2	16	7	5	3	0	3	3	1	2	0	2	1	2	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
