label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55
0.03	north1_all	80	5419	2176	1273	2189	568	985	330	242	164	149	108	130	104	77	45	53	31	36	31	46	16	15	55	12	9	11	6	23	1	10	18	3	1	0	1	1	1	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2724	861	270	1880	185	838	64	66	35	37	40	93	69	43	18	31	10	10	18	35	9	4	51	8	4	7	1	19	1	7	14	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5437	2155	1257	2111	571	1030	313	242	171	149	114	131	102	79	49	52	34	28	31	46	24	13	39	14	7	9	6	21	4	8	9	3	1	6	1	1	1	0	0	0	0	0	0	1	0	3	4	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	2715	871	257	1817	182	889	73	73	40	45	45	97	72	45	16	28	12	5	20	35	12	2	37	8	3	7	1	17	1	5	5	0	0	6	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	5370	2155	1236	2159	583	1053	304	249	179	147	126	124	100	83	53	54	34	24	34	46	18	14	54	16	13	11	6	9	5	6	16	0	1	8	0	1	1	0	3	0	0	1	0	1	0	3	2	0	0	0	2	0	0	0	1	0
0.03	north3_active	80	2636	879	244	1855	196	914	67	70	45	51	50	88	66	37	24	33	12	3	24	39	8	4	53	5	8	9	1	7	1	4	13	0	0	8	0	1	0	0	3	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	1	0
0.03	north4_all	80	5312	2117	1226	2180	584	1024	317	235	173	149	123	124	94	75	62	50	36	22	29	55	23	20	59	13	10	16	6	17	6	3	13	1	1	10	3	1	1	0	3	0	0	1	0	1	0	2	1	0	1	0	4	0	0	0	1	0
0.03	north4_active	80	2563	868	243	1889	196	872	63	66	43	48	50	81	64	28	23	28	13	4	18	45	10	8	58	4	6	13	2	15	2	1	12	0	0	10	0	1	1	0	3	0	0	1	0	0	0	2	0	0	1	0	4	0	0	0	1	0
0.03	north5_all	80	5445	2158	1204	2206	563	991	320	235	180	161	108	127	89	77	52	48	43	23	24	59	18	21	66	18	10	23	7	15	4	3	20	2	1	4	4	1	1	0	3	0	0	1	1	0	0	0	1	0	1	0	4	0	0	0	0	0
0.03	north5_active	80	2587	873	248	1912	196	831	64	63	35	49	44	90	54	33	20	25	15	6	12	50	9	8	64	9	6	16	3	13	1	1	20	0	0	4	0	1	1	0	3	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0
