label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36
0.03	south33_all	80	2593	939	966	362	199	252	176	230	72	39	58	27	71	30	23	8	9	6	4	8	3	2	3	0	0	3	0	1	0	4	0	1	0	0	0	0	0
0.03	south33_active	80	1387	489	623	224	102	157	105	160	41	15	33	18	37	24	14	6	4	4	4	6	2	1	2	0	0	2	0	1	0	4	0	0	0	0	0	0	0
0.03	south34_all	80	2584	954	985	353	183	240	183	242	63	36	57	28	82	30	30	8	8	6	4	6	6	2	4	0	0	3	0	0	1	4	0	1	4	0	0	0	0
0.03	south34_active	80	1361	495	635	214	90	149	108	170	32	11	37	20	47	22	21	5	4	3	3	4	3	1	3	0	0	2	0	0	0	4	0	0	4	0	0	0	0
0.03	south35_all	80	2654	956	1025	364	200	242	158	237	77	33	55	33	86	36	28	7	6	9	7	4	7	2	3	0	1	1	0	0	1	4	0	1	4	4	0	0	0
0.03	south35_active	80	1448	505	662	227	97	141	101	159	45	10	31	22	52	19	22	5	2	6	3	4	3	0	3	0	0	0	0	0	0	4	0	0	4	4	0	0	0
0.03	south36_all	80	2731	972	1038	361	202	257	164	259	84	27	58	34	69	38	23	6	9	6	7	4	4	2	3	2	1	1	0	0	1	1	0	1	4	4	0	0	0
0.03	south36_active	80	1498	513	675	216	99	147	100	165	50	7	34	22	57	19	20	3	5	5	3	4	1	0	3	2	0	0	0	0	0	1	0	0	4	4	0	0	0
0.03	south37_all	80	2731	974	1061	401	195	220	148	262	78	24	46	34	76	46	18	7	12	5	6	2	3	2	1	3	1	3	0	0	0	0	0	0	1	4	0	0	0
0.03	south37_active	80	1499	520	674	235	92	130	87	158	50	10	30	19	46	29	14	4	8	5	2	0	1	0	1	3	0	2	0	0	0	0	0	0	0	4	0	0	0
0.03	south38_all	80	2736	1015	989	372	186	231	163	278	69	30	47	28	72	50	18	8	14	4	4	3	1	1	1	3	1	8	0	0	1	0	0	0	1	0	0	0	0
0.03	south38_active	80	1497	546	619	204	88	143	97	172	40	19	36	17	45	29	14	6	9	4	1	0	0	0	1	3	0	8	0	0	1	0	0	0	0	0	0	0	0
0.03	south39_all	80	2675	993	1001	374	181	247	174	266	62	30	56	24	88	42	23	7	12	3	3	3	1	1	0	2	0	9	0	0	1	1	0	0	1	0	0	0	0
0.03	south39_active	80	1437	543	631	200	90	156	104	183	39	17	44	14	63	31	15	5	9	3	0	0	0	0	0	1	0	9	0	0	1	0	0	0	0	0	0	0	0
0.03	south40_all	80	2614	990	985	385	211	252	186	244	77	31	71	22	63	59	34	6	5	2	6	2	1	1	0	3	0	8	0	0	3	1	0	0	0	0	0	0	0
0.03	south40_active	80	1397	523	608	209	106	161	118	169	41	16	50	14	58	45	18	4	3	2	0	1	0	0	0	1	0	8	0	0	1	0	0	0	0	0	0	0	0
