label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192
0.03	north1_all	80	892	360	235	211	136	163	135	155	78	83	117	64	37	99	52	44	53	37	29	28	40	28	18	23	16	14	15	20	18	14	11	14	8	14	25	9	22	13	8	11	12	7	21	9	8	7	11	9	13	4	8	7	2	3	4	12	5	4	3	4	2	4	3	2	1	1	3	3	0	2	0	8	4	2	1	4	3	3	1	7	0	4	4	1	1	2	3	1	1	1	0	1	1	1	3	0	1	2	2	6	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0
0.03	north1_active	80	440	159	103	114	58	99	79	94	29	32	81	30	20	67	31	30	28	19	15	10	22	23	7	9	11	6	8	13	9	7	1	6	4	6	12	4	17	6	2	4	6	0	13	2	6	3	9	4	5	3	2	5	1	2	1	7	3	2	3	3	1	2	0	2	1	1	1	2	0	2	0	6	2	0	0	3	1	2	1	4	0	2	2	0	1	1	2	0	0	0	0	1	1	0	3	0	0	1	2	5	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	898	358	249	209	148	157	118	148	69	79	111	70	40	92	55	43	45	42	31	29	38	30	18	17	18	14	13	24	22	16	12	14	5	16	23	14	18	12	12	13	18	4	15	9	10	5	10	10	7	1	7	8	4	6	5	11	8	7	3	4	2	3	4	0	3	1	2	4	0	4	0	5	3	2	1	2	3	2	1	6	2	4	4	1	1	2	3	3	0	2	0	5	1	0	0	0	1	2	1	6	1	0	6	0	0	1	1	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north2_active	80	425	143	108	107	61	95	69	72	29	29	72	31	21	57	30	29	24	20	16	10	22	23	8	7	12	7	6	17	12	5	3	6	2	8	14	4	12	7	4	8	10	1	9	3	7	3	8	4	4	1	1	6	3	2	1	5	5	5	3	4	2	2	1	0	3	1	1	2	0	3	0	5	2	0	0	1	1	1	1	3	1	1	1	0	1	1	2	1	0	0	0	5	1	0	0	0	0	1	1	5	1	0	6	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	881	387	268	206	153	161	137	164	65	62	95	74	39	100	70	41	57	49	39	23	48	35	15	20	21	15	13	28	15	18	9	13	7	17	25	11	14	12	11	11	16	3	12	9	9	5	12	11	11	1	5	5	5	9	11	18	6	6	4	4	2	8	4	1	4	3	1	3	1	5	0	9	2	0	1	2	2	3	1	6	2	7	4	2	6	2	2	4	0	1	0	4	0	0	1	0	5	2	1	8	0	1	7	0	0	1	1	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
0.03	north3_active	80	413	164	120	104	54	87	88	93	31	29	55	39	19	67	42	30	32	24	26	10	28	26	7	11	14	6	6	21	9	4	5	5	3	9	17	3	8	6	4	6	8	1	7	4	5	2	10	6	6	1	0	3	4	4	6	9	4	3	3	3	1	5	1	1	3	3	0	2	1	4	0	8	1	0	0	1	0	0	0	3	1	1	1	1	6	0	1	2	0	0	0	4	0	0	1	0	4	1	1	7	0	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	904	401	296	210	161	190	133	183	66	73	120	82	43	110	71	43	70	39	39	23	54	38	17	19	20	19	14	33	16	20	8	15	5	15	20	10	16	16	8	8	19	2	8	6	12	3	17	7	10	3	7	6	5	10	9	21	5	7	3	9	4	12	3	1	4	2	2	6	1	5	0	6	1	0	2	2	1	4	2	3	3	5	1	2	7	2	1	4	1	2	0	4	0	0	2	1	5	2	2	8	0	1	7	1	0	0	1	0	2	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	449	176	132	100	62	104	71	114	30	31	68	42	23	80	32	25	46	19	23	12	36	25	7	11	13	9	7	23	9	5	5	6	2	8	13	2	9	7	4	6	10	1	5	3	5	0	13	5	6	0	2	3	4	4	6	8	3	4	2	8	2	6	1	1	3	2	1	3	1	4	0	5	0	0	1	1	0	2	1	3	1	0	0	1	7	0	0	2	1	0	0	4	0	0	2	1	4	0	1	8	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	922	399	304	221	151	243	139	217	70	70	130	86	43	119	76	43	69	35	40	19	47	36	19	18	22	15	14	31	17	15	11	15	10	17	24	7	14	13	10	6	9	2	9	5	15	6	22	6	12	3	7	10	3	10	9	22	4	6	2	9	5	12	0	2	3	2	2	8	3	2	0	6	1	1	5	8	1	4	2	3	2	4	4	1	8	1	0	2	1	1	0	4	0	0	2	1	5	3	2	7	0	1	8	1	0	0	1	2	2	1	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	3	0	2	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north5_active	80	472	187	146	120	69	140	77	136	34	30	75	46	21	86	31	19	46	18	19	11	35	22	9	12	12	8	6	20	11	6	6	6	5	9	12	1	8	6	5	3	6	1	5	2	6	4	16	5	6	0	3	7	3	6	5	6	1	4	1	8	3	5	0	2	2	2	1	2	3	2	0	5	1	0	4	7	0	2	1	3	1	0	0	1	7	0	0	1	1	0	0	4	0	0	2	1	4	2	0	6	0	0	7	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
