label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	20908	2817	1874	1160	876	705	468	410	313	342	311	153	337	238	105	90	106	100	42	46	59	43	43	37	26	19	14	17	10	17	10	4	23	22	5	4	7	6	4	4	4	1	3	3	0	3	0	1	4	0	2	8	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18885	715	887	273	451	394	212	200	153	249	228	55	297	185	49	28	70	66	11	30	52	35	26	12	11	5	8	9	5	14	6	2	21	20	5	1	4	4	1	4	1	0	1	2	0	2	0	1	4	0	2	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	20936	2838	1871	1118	868	762	520	395	322	342	302	153	374	236	112	84	97	85	46	47	60	48	42	34	21	25	18	13	7	15	12	8	28	29	2	3	6	5	3	5	4	2	3	4	5	2	1	0	3	0	2	10	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	18871	709	890	263	427	415	246	199	158	237	219	56	323	194	50	23	60	59	9	28	52	42	26	13	11	6	9	8	4	10	6	4	25	28	2	0	5	3	1	4	1	1	1	2	2	2	1	0	3	0	2	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	20936	2826	1834	1125	826	766	498	398	344	347	339	149	400	250	111	71	87	69	50	46	66	59	38	25	16	23	17	14	8	8	14	9	25	31	5	5	6	4	4	5	2	2	1	2	5	3	1	1	3	0	0	10	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	18861	715	867	278	386	418	233	208	167	230	251	55	347	208	53	23	50	43	9	25	55	49	27	9	11	5	10	7	4	4	7	4	23	31	5	0	5	2	1	1	1	1	0	1	2	2	1	0	3	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	21314	2809	1808	1131	824	775	497	417	341	376	309	165	439	277	106	71	83	60	46	46	78	52	44	22	22	24	22	24	10	5	13	11	13	20	6	7	3	4	2	6	2	1	1	1	5	2	1	1	2	0	0	9	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	19237	701	872	294	379	425	229	217	166	259	229	66	383	237	55	21	56	39	12	29	63	41	34	8	14	5	12	18	5	2	8	3	11	19	6	1	3	2	0	1	1	1	0	0	2	1	1	0	2	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	20735	2779	1811	1121	861	734	470	417	345	360	323	163	434	262	108	75	85	64	45	45	74	43	41	19	18	18	21	27	12	3	10	7	12	9	8	5	1	4	2	4	2	0	3	1	2	3	2	2	2	1	1	0	0	0	0	0	2	3	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	18644	707	871	297	392	404	203	213	172	240	248	60	380	228	52	18	54	43	15	25	57	31	30	6	11	4	12	17	3	2	7	1	12	8	8	1	1	3	0	0	1	0	0	0	0	1	1	1	2	1	1	0	0	0	0	0	1	2	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
