label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67
0.03	north1_all	80	1651	1567	1772	313	430	303	184	132	109	206	49	40	106	78	66	104	18	22	31	9	15	5	14	9	12	7	6	19	8	3	2	2	4	9	1	3	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	749	965	1237	152	258	161	90	69	74	148	28	18	47	50	49	67	9	11	26	7	5	4	10	5	6	6	3	11	6	0	1	1	1	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1663	1582	1748	304	404	272	187	141	96	171	44	35	94	69	68	90	26	21	31	11	20	7	15	8	13	6	6	21	9	3	2	4	2	11	2	4	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	756	987	1184	156	233	149	100	81	61	122	24	20	49	47	49	67	15	8	20	7	8	5	10	4	6	5	4	13	7	0	1	2	0	4	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1689	1622	1756	318	426	274	187	131	110	174	58	37	89	66	54	75	29	26	30	12	21	10	11	7	7	10	6	23	7	7	3	4	2	7	2	3	1	0	4	2	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	770	997	1165	166	234	163	106	71	70	120	33	17	49	44	35	53	16	15	19	6	9	6	5	4	3	7	4	16	5	4	2	2	0	1	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1671	1652	1667	312	420	262	157	123	132	160	64	39	103	57	45	80	28	27	32	14	28	12	10	7	3	12	6	19	6	6	3	5	2	3	2	1	2	0	4	1	1	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	772	1014	1085	163	239	173	90	71	78	104	33	17	56	40	26	58	17	15	18	10	14	7	4	5	1	7	5	15	2	4	2	2	0	1	0	1	1	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1675	1613	1769	311	424	253	158	123	146	183	71	42	108	64	34	68	30	25	34	13	33	11	8	10	3	13	7	17	7	6	5	4	1	1	0	1	2	0	3	0	1	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	763	1014	1160	153	248	155	90	69	82	127	35	18	66	41	18	47	21	15	19	9	14	5	4	7	1	7	6	15	1	4	4	3	0	0	0	1	1	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	1674	1646	1811	303	441	255	145	118	152	170	64	43	111	67	52	83	29	27	30	13	35	9	8	9	2	8	7	17	8	1	2	3	0	1	0	0	1	1	1	0	1	1	1	1	0	2	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
