label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	north1_all	80	3714	1693	571	373	319	276	141	111	51	44	150	83	37	39	15	2	13	10	12	10	1	2	0	2	7	4	1	0	3	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north1_active	80	2203	1030	285	195	177	184	66	61	19	20	92	49	21	25	13	1	7	6	9	8	0	1	0	1	4	4	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	3698	1690	553	380	317	260	127	122	60	45	142	78	50	37	16	2	19	7	15	6	1	2	0	2	7	3	0	0	3	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	2185	1032	278	208	176	165	56	70	22	22	91	43	25	21	11	1	11	4	12	5	0	1	0	1	4	2	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3520	1655	520	345	306	279	126	120	73	42	155	71	42	38	18	0	16	7	12	7	2	1	0	2	3	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2022	979	255	184	174	168	56	61	30	14	99	43	21	20	12	0	11	2	9	6	1	1	0	0	3	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3325	1529	514	336	298	282	125	136	73	38	145	67	40	37	16	5	12	4	8	7	4	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1887	897	251	165	162	167	58	72	28	15	87	41	23	22	9	4	7	0	6	5	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3058	1473	502	322	295	281	114	129	66	39	140	52	43	30	19	11	9	3	6	6	5	0	0	2	0	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1694	845	224	149	151	165	55	68	23	11	86	36	25	17	12	8	7	1	3	3	2	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3062	1362	533	342	297	279	115	120	54	38	126	83	39	37	20	14	7	6	10	7	5	1	1	1	1	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1727	770	216	158	159	167	60	66	19	18	77	54	25	26	13	9	5	3	8	2	2	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3262	1441	510	357	273	271	129	102	52	43	118	106	40	36	24	15	10	11	10	5	6	1	1	1	1	1	1	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1872	839	212	176	135	185	70	67	19	22	74	77	23	25	13	8	7	6	9	0	4	1	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3431	1540	532	345	289	294	123	101	50	44	126	128	41	39	26	14	10	16	16	5	6	1	2	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	1988	915	230	170	134	199	68	60	22	21	78	93	20	25	14	6	6	9	10	1	3	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	3575	1626	511	338	288	306	130	102	53	46	139	115	39	41	25	13	10	11	22	7	8	2	2	1	2	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
