label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	2019	998	386	205	296	445	298	53	50	39	46	34	11	14	21	10	23	18	13	5	2	4	5	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	1140	569	208	91	187	290	196	22	26	26	29	22	6	5	13	5	16	7	8	3	1	3	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1986	955	365	197	273	410	273	56	45	41	45	31	13	9	20	11	13	14	13	6	1	5	5	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north2_active	80	1095	574	186	93	173	272	192	20	23	25	30	19	7	3	14	4	6	5	8	5	0	4	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north3_all	80	1927	896	366	200	254	325	244	56	38	35	38	29	13	11	16	9	13	29	14	5	1	4	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north3_active	80	1041	543	181	86	145	208	173	22	20	19	22	20	7	4	9	2	9	10	8	4	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north4_all	80	1909	831	339	196	252	291	219	59	39	40	43	35	14	5	15	10	11	23	9	9	2	4	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north4_active	80	1021	501	157	83	147	200	160	23	27	21	27	18	10	4	9	3	7	8	4	6	0	4	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north5_all	80	1860	857	354	200	251	267	201	56	40	36	46	34	17	6	20	7	15	26	5	6	4	4	2	0	3	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2
0.03	north5_active	80	990	475	165	84	146	170	147	25	27	20	31	20	12	4	10	3	9	10	4	3	1	4	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
0.03	north6_all	80	1842	844	346	215	250	275	214	60	43	44	52	27	16	8	16	5	20	11	1	5	4	3	2	0	4	1	0	1	2	0	0	1	1	1	0	1	0	0	0	0	0
0.03	north6_active	80	968	458	165	89	146	178	150	26	30	26	32	15	9	6	7	2	15	7	1	2	1	2	2	0	3	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	1783	843	363	225	253	273	218	64	45	37	34	23	14	8	14	4	19	14	8	2	4	4	2	0	4	2	0	1	2	0	0	1	1	1	0	1	0	0	0	0	0
0.03	north7_active	80	950	451	164	94	159	181	152	27	25	22	19	15	8	4	7	0	12	11	2	0	2	2	1	0	3	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	1745	803	366	229	222	250	206	55	35	32	29	25	12	10	10	6	21	10	7	2	6	4	3	0	4	2	0	1	1	0	0	0	1	1	0	0	0	0	0	0	2
0.03	north8_active	80	929	423	172	103	128	162	130	27	14	19	14	14	7	5	6	3	14	8	1	2	3	2	1	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2
0.03	north9_all	80	1691	791	350	225	233	238	196	47	35	28	22	30	12	8	11	9	19	7	8	3	5	2	7	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2
0.03	north9_active	80	904	400	164	102	132	142	115	26	14	15	6	13	6	2	6	5	12	6	2	2	3	1	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
0.03	north10_all	80	1654	766	332	209	207	213	188	42	38	33	21	34	8	9	12	10	12	3	3	3	4	1	5	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2
0.03	north10_active	80	867	383	150	102	121	117	112	24	13	19	7	15	3	2	7	6	6	3	2	2	3	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2
0.03	north11_all	80	2035	916	389	219	293	400	292	61	43	65	46	33	22	24	21	6	23	23	17	0	4	1	14	4	0	0	0	1	1	0	1	0	0	0	1	3	0	0	0	0	0
0.03	north11_active	80	1094	527	189	110	187	249	200	28	19	43	32	25	17	9	17	4	14	13	11	0	2	1	3	2	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0
0.03	north12_all	80	2041	932	426	223	295	426	327	59	47	50	61	41	21	21	18	5	22	29	19	4	1	2	11	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
