label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	north1_all	80	8552	3483	3079	1384	1756	852	649	744	435	1127	366	271	195	183	204	141	116	253	91	113	61	105	67	45	83	32	37	26	27	27	36	34	16	16	17	18	71	20	16	9	4	5	4	8	10	2	8	1	13	1	2	6	4	2	2	0	3	2	3	0	13	0	1	2	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4757	1348	2140	322	1310	387	240	489	111	1007	185	75	86	46	114	43	30	214	40	82	25	78	28	14	57	16	19	7	15	14	30	27	7	3	9	13	67	11	14	4	2	2	2	3	5	2	6	1	7	0	2	5	1	0	1	0	3	2	0	0	10	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8643	3431	3030	1395	1787	845	705	713	414	1196	358	289	203	182	191	147	112	239	92	105	62	101	65	51	77	41	39	31	32	24	37	34	19	14	18	20	63	22	18	7	4	5	8	9	11	4	7	1	11	2	3	6	2	3	2	0	3	2	2	1	11	1	0	3	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4892	1325	2113	317	1323	379	257	466	113	1073	189	74	93	42	122	46	30	199	41	71	16	78	36	16	52	20	23	9	19	8	29	26	8	4	10	13	59	12	15	3	3	1	2	2	6	4	5	0	8	0	2	5	0	0	1	0	3	2	0	1	9	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8698	3492	3027	1396	1852	827	683	714	418	1162	363	272	215	183	175	140	116	260	91	94	61	109	65	61	82	49	34	35	36	24	31	21	18	12	16	16	49	21	29	10	5	6	7	6	11	8	7	2	8	2	3	6	2	1	2	0	2	0	1	1	8	1	5	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4868	1314	2081	308	1396	351	236	473	116	1057	193	77	103	40	99	44	29	220	36	62	15	78	37	19	54	25	17	9	17	7	24	12	10	4	7	8	45	10	27	4	3	2	1	1	7	7	5	0	5	0	2	5	0	0	1	0	2	0	0	1	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8794	3581	3050	1423	1921	810	693	713	416	1231	351	262	230	187	165	149	116	261	88	107	81	109	66	55	69	46	32	28	39	25	30	29	22	10	15	22	27	14	25	9	7	8	6	5	12	13	6	2	9	2	5	5	3	1	1	0	0	0	0	1	1	1	5	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4914	1295	2117	326	1495	331	237	470	112	1121	199	67	109	43	86	50	25	221	35	71	22	85	38	20	45	21	16	6	19	6	20	21	12	1	6	11	24	6	24	4	3	4	0	1	8	8	5	0	7	0	4	4	3	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8783	3539	2991	1447	1949	832	670	740	413	1213	372	261	239	196	144	145	111	252	95	106	81	148	63	58	87	49	39	22	33	26	29	27	23	14	9	20	15	12	25	12	8	12	6	6	10	11	4	4	8	1	5	3	4	0	1	1	0	0	1	1	0	1	6	0	0	1	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4875	1283	2070	337	1546	342	237	485	107	1106	218	75	119	47	72	59	22	217	33	66	31	125	34	24	64	18	19	3	16	6	18	22	13	1	2	12	13	7	23	6	4	9	0	5	9	6	3	1	5	0	4	2	4	0	0	0	0	0	0	1	0	0	6	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8785	3439	2933	1433	1984	846	643	711	420	1229	355	240	220	182	143	150	115	238	111	96	90	162	64	50	89	45	44	26	33	26	30	26	19	12	13	22	19	11	19	11	7	12	8	8	6	13	2	2	6	3	4	4	4	2	2	1	0	2	1	0	3	0	5	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	4904	1258	1975	311	1574	354	229	469	106	1114	206	64	107	48	74	60	29	203	46	66	38	135	36	23	69	13	20	4	19	10	21	20	13	0	6	13	16	8	17	7	4	9	1	6	5	8	1	1	5	1	4	3	4	1	1	0	0	2	0	0	2	0	5	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	8665	3413	2948	1461	1907	849	631	719	442	1253	362	238	219	181	164	156	117	249	125	102	85	157	68	44	96	51	48	30	29	26	34	20	18	11	21	21	25	13	10	13	5	9	7	8	4	6	1	4	4	3	2	3	1	3	5	3	2	2	1	0	5	1	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	4881	1251	1972	341	1505	349	223	463	118	1128	209	69	109	40	86	58	32	214	50	67	34	131	37	22	77	15	24	6	16	12	26	13	14	1	6	12	21	10	8	9	2	7	2	6	2	6	1	2	3	1	2	2	1	1	4	2	2	2	0	0	4	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	8665	3483	2979	1457	1931	871	598	703	434	1244	361	211	230	177	167	143	124	253	120	101	80	127	69	42	87	51	48	29	28	27	39	34	19	13	21	17	25	15	11	14	7	9	6	7	4	12	4	3	2	2	2	3	1	3	4	2	5	2	1	0	5	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north8_active	80	4835	1278	2025	344	1511	358	205	447	114	1125	197	61	107	35	84	50	43	212	48	66	25	102	40	19	68	21	27	8	16	11	33	21	11	3	5	10	20	9	10	9	5	4	3	5	1	9	3	2	1	1	2	2	1	1	4	2	5	2	0	0	4	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	8698	3462	3016	1491	1833	861	625	730	416	1225	358	228	245	185	186	137	116	245	118	116	81	121	67	35	77	52	50	32	35	26	32	42	21	13	24	26	27	17	12	11	7	11	3	8	4	14	15	4	1	1	0	4	2	3	5	2	6	1	4	2	2	1	1	0	2	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	4783	1251	2072	363	1413	358	220	473	117	1115	192	67	105	38	92	41	37	203	39	76	22	97	35	11	56	22	27	7	18	6	27	26	9	4	6	17	24	11	10	7	5	6	3	6	1	11	14	2	1	1	0	3	1	0	5	2	5	1	4	2	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8732	3405	3036	1465	1860	835	650	736	419	1290	362	245	240	189	188	137	116	244	102	115	76	98	67	41	65	45	58	28	36	23	28	46	18	13	21	23	29	15	28	14	10	10	3	8	4	17	15	4	3	2	4	5	3	1	4	0	6	1	4	2	0	0	2	0	3	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	4840	1236	2121	346	1437	355	227	484	107	1187	192	78	95	48	99	49	37	199	36	75	19	75	32	9	43	21	32	5	19	8	25	33	4	4	5	15	25	10	26	8	9	4	3	5	2	13	14	2	3	1	3	4	2	0	4	0	5	1	4	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	8639	3310	3096	1402	1926	870	638	731	431	1112	305	250	252	190	200	127	112	287	83	78	73	112	61	49	72	37	35	39	44	29	54	37	21	14	10	21	43	12	20	12	16	12	11	10	15	3	12	1	3	4	2	4	2	1	4	2	5	2	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	4778	1235	2093	337	1512	377	242	480	105	965	160	76	126	45	112	47	32	251	30	53	27	87	37	16	52	16	19	5	19	11	40	28	14	5	5	18	42	9	18	9	8	12	3	5	13	2	10	0	3	1	1	3	2	0	4	0	5	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8765	3332	3098	1389	1958	850	629	715	437	1136	323	244	265	193	171	138	111	289	81	83	76	108	64	45	77	38	39	39	37	25	45	40	17	12	9	21	35	13	15	11	15	6	8	8	12	7	7	2	9	3	5	3	1	1	6	1	5	1	0	1	1	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_active	80	4818	1254	2109	341	1536	357	240	479	98	986	176	62	127	47	94	52	29	252	23	56	24	77	34	12	58	19	21	5	13	8	33	34	9	4	4	21	35	10	12	8	7	6	3	3	9	5	5	0	7	1	3	2	1	0	5	0	5	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_all	80	8712	3410	3014	1399	1964	863	631	735	437	1115	320	242	268	175	173	146	120	259	89	94	66	103	57	45	74	52	36	31	32	28	31	31	16	13	5	17	48	14	14	10	11	11	7	8	7	10	16	2	7	1	5	3	0	5	2	0	9	9	0	1	1	0	0	3	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_active	80	4802	1272	2095	334	1540	342	246	487	106	988	170	57	129	44	94	50	31	225	25	66	17	76	29	13	58	32	18	5	12	13	19	27	7	3	2	17	47	11	12	7	5	11	3	3	5	8	14	0	5	0	4	3	0	2	1	0	8	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_all	80	8722	3515	2986	1426	2046	881	638	685	436	1155	329	264	268	175	170	152	120	275	93	122	67	103	51	46	77	50	38	35	28	27	26	28	17	8	9	13	49	11	13	7	6	8	6	14	5	20	16	3	6	1	6	4	0	5	2	1	5	9	2	1	8	0	1	3	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north14_active	80	4803	1342	2082	336	1612	358	240	449	107	1033	172	66	134	49	90	50	28	237	25	86	15	74	22	14	66	31	23	6	10	12	16	26	9	1	2	12	48	7	11	4	3	8	4	7	4	16	14	1	4	1	5	3	0	2	1	0	3	9	1	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_all	80	8687	3480	2981	1456	2101	876	647	695	448	1128	324	254	262	169	170	152	114	312	98	138	65	98	53	51	81	57	37	36	30	25	28	34	17	13	14	14	39	14	9	9	3	6	4	13	4	15	14	6	1	2	5	8	0	5	2	2	6	8	3	0	8	0	3	0	1	3	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	4838	1298	2044	347	1643	380	234	454	115	1022	157	66	120	48	91	55	24	271	33	97	17	70	26	14	68	32	21	3	13	10	17	31	7	5	2	12	35	11	6	5	1	6	3	7	4	12	13	3	1	1	4	4	0	2	1	0	4	8	2	0	7	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	8737	3453	3061	1458	2056	900	663	719	456	1204	327	259	243	163	184	155	106	315	88	141	64	99	59	48	79	52	38	38	31	19	42	30	14	16	24	27	27	9	12	9	7	4	3	11	7	13	14	5	3	3	7	8	0	3	6	2	3	0	3	0	13	0	3	0	1	3	1	0	3	0	0	0	0	0	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_active	80	4900	1279	2071	327	1604	403	247	458	121	1095	145	79	114	41	97	58	24	271	31	104	18	79	30	15	64	22	20	5	17	10	24	27	5	6	4	17	23	6	10	4	2	3	1	7	6	11	13	3	3	1	6	4	0	2	6	0	1	0	2	0	10	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	8854	3365	3032	1490	1992	851	659	735	457	1215	334	249	239	161	177	149	107	312	89	135	65	112	62	48	75	51	37	35	28	24	37	36	14	15	19	22	30	11	18	13	8	4	3	9	8	6	9	6	3	5	7	8	1	0	6	3	2	0	2	2	10	0	2	0	0	3	1	0	2	0	0	0	0	1	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north17_active	80	4949	1236	2038	311	1545	388	236	485	113	1097	153	78	109	42	93	60	23	262	38	103	22	90	31	18	61	25	19	6	16	15	22	34	6	7	4	13	26	9	14	4	2	2	0	7	6	5	8	3	3	1	6	4	0	0	6	0	1	0	2	1	8	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	8733	3391	2927	1475	1883	868	632	697	445	1265	349	237	229	178	164	132	110	241	82	116	62	119	64	47	68	41	42	38	26	24	29	32	20	15	15	21	18	10	21	12	12	4	5	3	8	5	10	5	10	5	8	3	1	0	5	1	4	1	1	2	5	0	1	0	0	2	1	1	0	0	0	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	4710	1236	1943	297	1450	386	220	447	109	1146	169	75	95	43	94	50	27	198	37	86	17	93	27	20	52	20	23	9	15	13	17	28	8	4	4	12	16	8	17	2	2	2	0	2	6	4	9	3	10	1	7	2	0	0	5	0	3	1	1	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
