label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north1_all	80	1534	669	730	676	327	157	120	116	207	87	84	119	177	50	93	30	27	32	19	11	30	10	38	8	10	11	17	9	6	18	18	4	4	6	6	3	5	5	1	1	3	2	1	0	4	1	2	1	0	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1
0.03	north1_active	80	758	367	452	461	189	67	61	59	120	45	46	73	108	35	55	9	16	19	11	4	17	2	24	6	2	9	12	6	2	8	17	3	2	4	6	2	2	3	1	1	0	1	1	0	3	0	1	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	1508	639	718	647	325	151	117	108	170	100	86	103	164	58	78	26	31	29	17	10	29	12	34	6	7	20	13	8	6	23	13	4	3	3	3	3	4	2	1	0	4	3	0	0	4	1	2	0	1	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	739	333	443	423	181	64	63	47	95	51	49	60	102	38	43	7	18	19	11	4	19	4	24	5	2	12	9	5	3	5	12	3	1	2	3	2	1	2	1	0	0	1	0	0	3	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	1494	647	699	619	327	149	119	105	149	99	72	109	149	57	84	27	29	23	19	11	31	11	26	3	5	22	10	3	5	22	4	6	4	3	0	2	3	2	0	4	3	4	1	0	4	0	3	0	1	1	1	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	743	330	436	403	188	59	60	52	79	54	44	70	84	35	54	12	16	12	13	5	18	5	20	2	1	13	7	1	3	3	3	5	2	2	0	1	2	2	0	4	0	0	0	0	2	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	1401	636	682	519	329	150	108	108	155	99	80	95	123	55	82	25	23	28	18	12	23	12	26	2	6	24	6	3	4	21	6	5	5	1	0	1	4	0	0	5	3	3	1	1	5	0	1	0	3	1	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	681	299	418	327	195	57	54	55	83	56	45	58	73	38	59	11	14	14	13	6	14	8	23	0	1	14	4	1	1	4	3	3	2	1	0	0	4	0	0	4	2	0	0	0	2	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	1394	655	665	514	359	147	121	107	177	108	92	111	120	53	84	30	23	23	19	13	17	11	23	5	9	24	6	4	3	5	8	4	5	3	0	1	6	1	2	5	3	3	1	1	2	1	1	0	2	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	680	312	408	325	209	57	52	59	102	60	50	73	73	32	60	14	11	10	14	7	8	8	16	2	3	14	5	0	0	3	3	3	3	2	0	0	6	1	0	4	3	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
