label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	north1_all	80	12005	4419	2198	1545	1005	806	1335	582	405	288	213	252	207	356	141	119	76	84	84	90	82	91	93	38	63	50	19	24	17	39	13	42	4	7	8	7	15	7	4	5	6	4	4	2	5	0	0	0	5	4	0	1	1	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7394	2586	1170	845	529	429	842	334	203	150	93	131	118	244	88	69	28	44	47	55	44	66	49	18	27	28	10	13	9	26	5	21	4	2	5	3	10	4	3	2	3	3	0	2	4	0	0	0	5	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11899	4423	2201	1578	1035	827	1362	554	421	303	215	230	226	346	129	121	77	79	84	80	85	101	100	35	60	59	19	29	14	46	11	45	6	5	13	10	16	6	8	7	6	7	3	2	4	1	0	0	6	8	1	0	1	2	1	1	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7358	2609	1133	892	535	453	846	313	216	148	109	131	127	228	78	62	35	37	50	48	50	75	46	19	36	35	10	15	8	35	4	22	5	2	10	5	10	4	4	5	4	5	0	1	3	1	0	0	5	3	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11994	4544	2194	1581	1074	830	1356	551	412	324	226	221	214	344	126	112	78	88	93	84	91	104	132	34	73	59	20	23	17	48	14	34	3	7	14	12	17	7	9	7	6	10	4	1	4	1	0	0	11	8	1	0	1	1	0	1	3	0	0	4	0	1	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7414	2696	1104	884	564	452	850	299	212	159	120	129	113	216	74	57	37	45	57	54	56	80	76	16	51	36	13	12	9	40	8	11	2	1	12	6	11	5	2	5	4	7	0	0	3	1	0	0	8	2	1	0	0	0	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11958	4516	2121	1624	1088	846	1357	513	394	315	217	215	215	349	123	115	79	82	95	78	90	102	122	31	66	53	25	31	18	41	15	30	7	8	17	14	15	7	9	8	8	14	2	3	4	2	0	1	9	8	3	0	2	0	1	1	3	1	0	7	3	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	7435	2684	1077	925	558	446	837	272	206	163	109	128	116	235	66	58	40	47	65	49	58	75	65	14	48	34	11	21	10	35	7	19	6	2	11	6	8	4	2	5	6	9	0	1	2	2	0	1	6	2	2	0	0	0	1	1	2	0	0	6	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12087	4597	2135	1579	1083	835	1384	522	370	285	206	214	210	343	120	123	80	86	124	83	86	109	91	27	68	56	26	26	16	38	16	26	8	12	22	12	10	6	5	7	9	12	2	2	7	4	0	1	8	3	2	0	2	0	1	4	2	2	0	7	3	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	7518	2746	1102	894	552	438	895	302	200	140	93	120	124	229	71	66	41	51	71	53	62	82	69	7	47	30	11	17	8	30	9	20	6	4	14	4	3	2	1	5	5	7	1	1	2	4	0	1	6	0	1	0	0	0	1	2	2	1	0	6	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	11760	4446	2146	1522	1043	837	1263	510	363	260	197	218	193	329	117	133	91	85	111	81	80	98	97	34	62	60	24	23	14	33	15	31	10	11	17	12	10	5	5	3	8	9	1	2	6	7	0	1	1	2	2	0	2	0	1	3	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	7342	2579	1095	842	537	431	780	284	197	132	91	118	113	227	70	77	50	47	59	44	57	65	68	10	39	37	7	15	7	22	9	21	8	5	9	6	4	1	3	2	5	6	1	1	1	5	0	1	1	2	1	0	0	0	1	1	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	11329	4189	2042	1454	1019	797	1165	498	375	241	210	203	184	304	124	122	96	71	115	84	77	88	78	42	50	70	24	18	16	29	13	29	10	12	16	9	7	4	9	2	9	9	1	1	7	8	1	2	1	2	0	0	1	0	0	4	1	2	0	2	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	6974	2406	1041	785	514	405	726	303	198	113	102	100	110	197	71	72	47	37	63	42	52	54	53	16	32	47	9	9	8	19	8	19	7	4	10	5	5	1	7	1	7	6	1	1	2	5	0	0	1	2	0	0	0	0	0	2	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	10620	3972	2011	1412	973	792	1038	470	382	245	229	206	197	279	115	123	91	65	111	70	69	60	72	40	66	72	21	18	15	25	12	26	7	10	17	9	7	4	10	1	9	2	2	1	6	6	1	3	2	2	1	0	3	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	6409	2232	1000	735	516	397	600	263	190	105	119	100	120	169	63	71	48	26	60	33	39	31	43	19	45	51	9	9	5	13	8	15	5	4	12	4	6	1	8	0	7	2	2	1	1	2	0	1	1	2	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	10216	3891	1971	1386	972	764	1029	478	407	268	216	210	178	256	136	116	82	57	107	74	68	65	65	34	51	61	24	22	15	31	8	27	7	7	13	10	7	5	8	3	12	3	2	2	3	3	1	4	1	0	1	1	2	0	0	2	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	6024	2212	987	726	497	385	594	256	206	121	110	97	105	150	66	65	46	25	62	37	40	36	39	15	36	45	14	15	7	14	3	19	4	3	10	4	5	0	7	1	11	3	2	2	2	1	0	2	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	10205	3939	1926	1369	963	732	1011	500	370	278	205	218	180	261	146	111	80	58	106	74	81	59	81	30	48	54	23	27	16	30	8	38	9	3	10	10	13	3	9	4	11	6	2	2	3	3	1	3	2	1	1	1	3	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	north10_active	80	5974	2207	944	719	494	365	602	263	191	121	103	102	110	158	68	59	43	32	60	44	52	36	54	16	34	34	15	19	7	13	3	32	4	2	8	4	8	0	8	1	8	5	2	2	2	1	0	2	1	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	north11_all	80	11973	4639	2155	1571	1094	792	1292	601	386	295	220	209	205	347	115	118	77	75	96	69	101	103	80	39	68	82	24	35	13	47	16	32	10	8	11	16	17	13	8	6	6	4	4	4	5	10	2	0	0	0	3	2	3	0	1	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	7513	2672	1182	898	579	433	814	323	222	140	87	103	115	223	60	65	29	39	56	38	50	65	53	17	52	57	11	16	4	36	8	24	5	1	9	6	7	7	5	3	3	2	3	3	3	8	1	0	0	0	3	2	3	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	12034	4562	2150	1523	1147	804	1257	587	374	299	225	216	195	305	114	121	72	82	115	75	83	80	72	34	60	64	27	32	20	43	18	30	11	8	10	16	12	10	4	4	7	5	3	3	3	9	4	0	1	0	3	1	3	1	1	1	1	0	3	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
