label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84
0.03	north1_all	80	39145	14431	8026	5030	6630	4148	2285	4193	1242	1106	973	785	604	599	787	498	300	245	271	243	200	330	107	108	130	111	68	70	46	57	66	49	26	27	31	24	20	16	8	13	36	10	19	12	4	5	9	1	1	6	3	1	1	2	0	7	0	6	1	0	7	2	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	26090	7454	3352	1652	5148	2985	908	3663	318	470	509	331	181	324	634	344	91	91	154	164	131	273	26	64	94	66	38	41	22	38	57	33	16	17	24	13	15	15	6	12	28	5	12	9	1	1	5	0	1	5	1	0	0	2	0	6	0	6	0	0	7	2	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38794	14376	7997	5012	6580	4141	2251	4152	1316	1127	966	798	596	633	752	509	282	243	245	239	219	273	103	120	122	109	75	77	49	41	64	49	31	25	41	22	24	13	13	18	36	14	19	10	7	4	11	3	2	16	1	1	1	0	0	7	0	7	1	0	7	2	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	25804	7527	3384	1652	5168	2966	898	3633	323	483	499	320	172	336	608	357	89	95	137	151	151	228	31	68	96	67	38	42	21	28	54	33	19	19	32	12	18	11	10	15	29	10	13	7	2	0	8	0	2	15	0	0	0	0	0	6	0	7	0	0	7	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	38975	14332	7997	5029	6560	4017	2295	4159	1326	1099	962	771	560	622	696	482	293	249	254	236	213	249	105	119	120	98	73	61	62	34	79	51	33	24	40	25	22	16	8	23	38	13	15	28	7	3	7	5	3	19	5	1	1	1	1	0	1	5	1	0	7	2	1	0	0	0	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0
0.03	north3_active	80	26014	7496	3390	1710	5145	2847	920	3660	329	465	477	316	157	342	539	326	101	110	153	143	139	205	38	65	90	63	31	29	30	25	68	34	21	19	33	16	14	14	5	20	34	11	9	14	2	0	4	2	3	19	4	0	0	0	1	0	0	5	0	0	7	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	38713	14164	7958	5133	6360	4036	2238	4137	1374	1066	970	767	594	598	672	500	308	246	284	228	233	240	114	124	129	92	72	52	70	40	71	50	37	36	34	26	25	15	13	26	17	13	13	26	8	3	17	8	6	18	6	2	2	2	1	0	1	4	4	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north4_active	80	25887	7340	3401	1729	4966	2881	913	3618	343	443	458	322	179	342	509	358	107	104	182	132	142	202	43	55	98	53	30	24	35	27	59	34	27	30	27	18	17	13	7	23	14	12	10	14	2	0	15	4	6	17	5	0	1	0	1	0	0	4	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	38842	14182	7914	5207	6340	4048	2251	4029	1355	1051	1000	753	588	583	713	511	307	251	281	231	227	294	133	124	127	92	66	50	61	60	65	57	42	46	17	30	22	20	13	22	8	11	11	20	6	3	15	6	6	6	6	4	2	2	1	0	1	0	3	0	0	2	1	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
0.03	north5_active	80	25896	7232	3265	1757	4909	2921	907	3501	342	443	504	326	190	322	538	357	124	113	176	139	139	253	45	59	98	48	33	26	34	34	48	40	32	37	11	22	12	20	8	19	5	10	6	8	0	1	15	5	6	5	5	2	1	0	1	0	0	0	3	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	38978	14167	7813	5162	6310	3992	2223	4186	1270	1066	1003	749	612	611	810	545	306	255	269	231	203	298	136	126	146	85	64	43	61	58	67	44	42	46	12	28	20	30	15	16	7	12	8	15	4	5	12	5	4	4	2	3	1	2	1	0	1	1	3	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	25868	7241	3188	1670	4974	2872	888	3658	333	487	507	327	193	345	631	387	110	113	164	144	108	258	44	63	106	40	37	27	35	31	49	30	31	38	8	14	12	29	10	11	4	10	5	4	0	3	12	4	4	2	1	2	1	0	1	0	0	1	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	38851	14299	7827	4987	6335	3997	2249	4089	1242	1084	1006	732	592	598	832	527	311	253	246	238	197	400	131	127	138	78	59	47	58	52	60	47	39	48	17	32	22	38	17	14	9	10	6	5	4	5	12	4	2	4	2	3	0	1	0	0	1	1	0	0	0	2	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	25704	7376	3160	1625	4990	2875	908	3591	309	485	521	324	184	334	657	361	112	107	133	153	120	360	47	68	104	36	35	26	35	26	40	35	27	40	14	17	10	36	13	8	6	7	3	4	0	3	12	3	2	3	1	2	0	1	0	0	0	1	0	0	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	39184	14488	7787	4958	6273	3907	2240	4380	1221	1122	983	758	583	588	836	501	295	244	246	249	196	412	111	126	144	78	71	53	47	46	66	53	40	42	20	21	17	29	11	12	10	17	7	5	3	4	3	5	2	5	1	1	4	1	0	0	2	1	0	0	5	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	26085	7462	3172	1643	4927	2779	907	3888	286	533	483	320	180	329	674	327	109	93	126	156	113	375	34	60	107	44	36	29	28	27	49	39	25	35	17	11	5	27	9	7	8	14	4	4	1	3	3	4	2	3	0	1	0	1	0	0	1	1	0	0	5	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	39047	14354	7885	5013	6260	4074	2243	4218	1249	1144	959	738	592	572	740	447	274	255	251	246	185	391	109	118	121	83	70	53	54	55	76	60	40	49	27	22	23	27	14	13	9	10	11	5	4	5	9	7	1	4	1	0	7	3	0	0	2	1	1	0	5	1	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
