label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	35783	13557	15681	4572	3024	2303	3026	2282	1218	947	1664	1001	1157	800	386	434	250	397	347	270	203	181	123	141	60	67	97	53	52	44	62	48	40	24	34	39	26	23	7	12	10	14	22	11	7	15	2	1	3	6	3	3	0	3	3	2	3	1	1	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north1_active	80	20413	7274	9846	2235	1420	1092	1809	1321	568	458	1006	591	736	465	182	238	124	228	196	157	114	93	71	89	28	41	51	22	20	27	45	34	21	9	17	24	18	16	4	8	6	7	15	4	5	13	1	1	2	2	2	2	0	1	1	2	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north2_all	80	34529	13291	14826	4533	3019	2260	2958	2161	1174	878	1519	1057	1125	751	367	428	227	364	343	255	191	180	123	119	50	72	101	45	53	48	49	45	37	22	38	22	29	25	8	12	8	14	13	9	4	16	3	3	4	6	1	4	0	1	2	0	1	1	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north2_active	80	19499	6992	9351	2184	1422	1050	1755	1226	537	411	926	591	713	423	182	237	107	207	198	143	106	82	69	63	18	48	54	18	24	30	32	28	18	10	14	7	18	16	6	8	4	7	6	2	3	12	1	1	3	2	1	3	0	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north3_all	80	33575	13065	14101	4403	2983	2258	2911	2137	1142	816	1434	1045	1098	730	361	415	219	357	336	239	188	167	113	104	49	80	100	45	54	55	41	44	39	23	45	24	21	16	8	12	7	8	14	12	3	22	3	2	3	4	0	5	0	1	3	0	1	1	0	0	6	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north3_active	80	18724	6830	8859	2046	1337	1026	1681	1194	529	394	867	590	689	418	193	235	105	223	192	130	98	75	68	53	18	54	49	16	29	32	22	28	21	9	29	14	14	8	6	8	4	4	4	4	2	16	1	0	3	2	0	5	0	0	2	0	1	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_all	80	33919	13128	14307	4415	3030	2306	2892	2193	1145	836	1431	1049	1069	749	379	442	218	389	317	260	190	167	114	117	55	82	102	37	50	55	41	43	51	20	43	26	16	14	9	8	10	5	14	13	5	27	2	3	4	3	0	4	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_active	80	18976	7001	9075	2038	1365	1020	1680	1213	540	394	878	597	634	439	205	251	97	233	188	137	104	85	67	64	24	56	52	13	28	32	24	27	26	9	29	15	10	8	6	4	7	2	8	4	2	13	0	0	2	2	0	4	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_all	80	34728	13432	15199	4442	3047	2326	2967	2284	1194	874	1520	1051	1099	859	393	439	228	437	319	296	182	166	124	107	66	75	100	41	54	54	49	34	52	25	43	35	15	18	10	12	14	8	10	11	4	19	2	5	4	1	0	6	0	1	1	0	0	1	2	2	1	1	0	0	15	1	0	0	0	0	0	0	0	4	0	0	0	0	0
0.03	north5_active	80	19708	7149	9691	2076	1403	1040	1719	1286	582	416	927	616	625	510	216	254	102	264	200	174	97	87	75	63	32	41	51	18	25	31	26	24	28	10	29	28	9	12	5	9	11	4	5	3	2	7	1	1	1	0	0	5	0	0	1	0	0	0	1	1	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	35910	13730	15936	4502	3069	2342	3062	2358	1197	915	1627	993	1242	820	408	487	230	428	293	335	173	185	131	133	65	84	115	41	49	54	62	37	47	20	37	32	19	21	10	10	14	10	11	5	7	16	3	5	3	6	4	6	0	2	1	0	0	0	2	2	1	1	0	0	15	0	0	0	0	1	0	0	0	4	0	0	0	0	0
0.03	north6_active	80	20618	7328	10243	2132	1462	1054	1833	1327	586	450	994	563	774	484	221	284	100	253	183	208	101	107	76	86	31	44	53	22	27	34	45	22	24	7	24	24	12	16	5	7	11	6	9	1	5	7	2	1	0	5	3	4	0	1	1	0	0	0	1	1	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	36962	14148	16239	4557	3120	2374	3159	2352	1207	965	1656	1005	1376	829	388	517	238	422	292	344	175	169	146	145	67	88	113	45	47	48	64	37	38	18	39	36	17	26	8	11	9	11	7	3	4	4	4	5	6	5	4	4	0	2	1	0	0	0	1	2	0	1	0	0	15	0	0	0	0	1	0	4	0	5	0	0	0	0	0
0.03	north7_active	80	21306	7637	10410	2178	1490	1099	1939	1326	579	462	1039	582	908	489	201	298	103	256	170	215	104	101	77	105	29	45	50	26	27	31	46	21	22	8	27	29	12	20	6	7	9	7	4	2	3	3	2	1	1	5	3	2	0	1	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	37092	14304	16538	4629	3164	2349	3247	2349	1221	948	1648	994	1421	766	377	530	235	432	274	336	169	207	154	149	68	77	115	46	39	45	79	40	32	17	32	42	18	19	7	8	4	12	29	5	4	8	6	7	3	5	5	2	1	1	2	0	1	0	0	3	0	1	0	0	0	0	0	1	0	1	0	4	0	1	0	0	0	0	0
0.03	north8_active	80	21391	7722	10681	2185	1484	1092	1997	1352	593	451	1034	592	952	449	190	306	108	284	154	219	95	130	90	107	29	40	61	24	25	29	48	20	20	5	26	34	14	14	6	6	3	6	24	2	3	6	2	3	1	5	4	0	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	37439	14126	16522	4690	3109	2408	3233	2275	1249	961	1700	997	1327	805	377	539	247	448	331	373	179	211	130	140	69	75	139	44	43	45	81	44	25	25	37	41	18	12	4	7	9	12	31	6	4	5	5	4	4	0	2	0	3	2	2	0	1	2	0	1	0	0	0	2	0	0	0	1	0	1	0	4	0	1	0	0	0	0	0
0.03	north9_active	80	21586	7725	10551	2238	1450	1086	1963	1334	602	460	1079	579	851	454	178	306	113	287	193	256	95	125	70	89	31	40	85	22	25	25	49	24	14	11	30	24	12	7	3	5	5	6	26	2	1	3	1	2	2	0	2	0	3	1	1	0	1	2	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north10_all	80	37464	14182	16959	4711	3058	2351	3375	2334	1232	962	1751	1052	1293	818	386	500	242	443	355	342	189	215	123	137	64	72	111	45	36	40	89	40	37	31	40	46	18	8	5	12	12	10	30	7	8	8	2	4	4	0	2	2	3	3	1	0	1	2	0	3	5	0	1	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
