label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30
0.03	north1_all	80	479	472	139	76	41	25	28	13	18	6	18	2	7	3	3	4	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0
0.03	north1_active	80	142	390	55	42	10	8	17	3	6	0	17	2	5	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north2_all	80	499	412	134	74	45	30	25	11	19	7	28	4	9	3	2	2	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0
0.03	north2_active	80	144	325	55	40	11	8	12	2	10	0	28	4	6	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north3_all	80	536	418	127	70	46	31	25	11	19	12	45	3	7	3	3	1	2	0	1	1	0	0	1	0	0	0	0	0	0	1	0
0.03	north3_active	80	154	331	51	34	10	8	13	3	9	1	44	3	5	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	531	431	115	69	44	29	26	14	20	15	51	4	8	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	137	340	40	31	13	6	13	4	10	3	50	3	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	511	424	124	69	42	30	21	15	18	16	40	3	7	1	3	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	115	333	35	27	9	5	10	5	9	3	36	1	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	488	379	119	70	38	38	27	13	12	14	22	5	5	3	2	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	98	275	34	19	13	6	14	4	4	3	17	1	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	460	294	117	71	37	45	26	19	7	9	21	5	3	3	2	1	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	94	200	30	15	12	8	13	7	2	1	16	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	452	268	114	76	35	42	28	23	7	9	8	8	3	3	0	2	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0
