label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31
0.03	north1_all	80	400	187	269	271	61	35	25	18	8	17	4	10	3	4	6	2	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	180	94	162	195	41	19	14	13	5	8	3	9	2	2	6	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	401	186	295	298	54	37	19	20	8	12	4	9	5	4	5	1	0	2	1	0	1	0	0	0	0	0	0	1	0	1	0	0
0.03	north2_active	80	171	87	174	213	38	22	10	16	4	5	3	7	4	2	5	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	400	192	301	279	56	39	24	28	10	11	3	5	5	3	3	1	1	2	1	0	1	1	0	0	0	0	0	1	0	1	0	0
0.03	north3_active	80	180	100	184	190	36	24	12	18	4	5	2	3	4	1	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	388	194	259	269	49	47	30	23	9	9	3	5	5	2	2	1	2	2	1	0	1	1	0	1	0	0	0	1	0	1	0	0
0.03	north4_active	80	170	86	169	173	30	27	15	13	3	7	3	3	5	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	386	189	222	281	43	40	28	26	12	6	3	6	4	1	1	3	2	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	166	89	136	186	24	20	15	16	6	4	3	5	4	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	384	192	228	300	42	34	27	29	12	9	3	6	6	1	1	3	2	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	174	91	141	200	24	17	14	19	7	8	3	5	5	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	373	183	225	323	48	25	22	23	11	11	2	9	12	1	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	168	89	132	217	28	13	13	17	7	10	2	8	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	393	179	245	304	47	23	19	21	10	12	2	8	10	1	1	2	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	178	89	151	197	29	15	10	16	6	9	2	4	9	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
