label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91
0.03	north1_all	80	5912	2281	1765	1860	1353	1153	406	469	442	250	223	174	376	98	100	151	82	62	66	151	82	63	45	30	58	33	23	21	17	17	10	20	28	9	7	7	5	10	7	6	10	4	0	2	6	6	4	3	2	4	6	3	3	1	0	0	0	0	2	1	0	0	2	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2753	1019	810	963	716	589	142	235	228	113	94	84	236	40	38	64	38	21	30	86	34	29	23	16	23	17	7	10	10	8	5	11	18	3	5	1	3	5	4	1	6	3	0	1	4	1	3	2	1	3	2	1	2	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5846	2272	1779	1826	1303	1165	396	484	464	239	211	167	350	103	110	142	73	57	70	148	82	54	51	26	52	30	24	20	20	15	11	22	22	12	10	4	11	8	6	2	6	4	0	3	6	4	4	3	3	3	4	3	4	2	0	0	0	0	4	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2700	1001	818	938	676	570	148	245	236	105	84	76	207	43	42	55	37	21	34	91	33	21	22	11	22	15	8	10	11	9	7	9	13	5	4	1	3	2	4	1	4	3	0	2	3	1	3	2	2	3	0	1	3	1	0	0	0	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5885	2274	1781	1843	1264	1240	390	495	453	238	224	158	344	103	102	143	69	55	63	140	79	49	56	28	37	26	25	29	20	12	9	20	29	8	12	9	10	9	3	1	4	3	4	2	7	2	3	1	3	3	2	2	4	1	1	1	0	0	2	2	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2748	976	820	962	642	657	154	230	242	106	97	67	202	41	38	53	35	22	28	85	34	24	28	11	12	11	10	17	10	8	5	5	15	2	5	3	3	5	3	0	3	3	3	2	2	0	3	0	2	3	0	0	3	1	1	1	0	0	2	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5860	2372	1775	1840	1291	1255	411	492	431	238	197	179	313	104	99	140	58	51	61	131	71	46	66	40	39	30	20	30	20	16	12	17	22	7	13	10	14	10	0	1	4	3	6	2	8	2	2	1	2	2	2	1	2	1	1	1	0	0	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2735	998	836	984	651	670	165	228	230	108	85	70	164	46	37	51	34	22	27	82	41	26	32	17	15	14	10	17	9	9	7	4	11	3	6	5	5	5	0	1	4	3	3	2	3	0	2	0	2	2	0	0	1	1	1	1	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5953	2364	1772	1862	1286	1201	389	468	435	247	203	181	323	110	113	153	64	50	48	118	98	53	62	41	36	30	26	31	19	14	15	31	20	5	11	12	16	12	2	2	6	3	6	3	3	1	2	3	1	1	2	0	1	0	2	1	0	1	1	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2750	983	875	1021	648	648	148	218	234	106	87	71	170	47	43	64	26	22	22	69	49	31	33	17	17	16	8	17	8	7	9	8	9	2	4	8	7	6	0	1	5	3	3	2	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
