label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94
0.03	north1_all	80	12484	5551	2822	1822	2134	904	683	689	488	522	309	283	223	192	171	153	129	106	87	111	128	75	74	67	48	47	28	52	44	11	39	62	31	13	21	13	12	16	4	6	6	10	6	9	8	4	7	4	4	5	4	15	2	3	0	4	5	3	0	2	0	4	0	2	2	8	0	1	2	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north1_active	80	8148	3629	1552	908	1521	252	201	324	185	340	133	89	53	42	53	43	76	31	23	65	94	29	29	33	29	21	9	37	26	3	37	41	19	2	15	7	7	9	2	3	0	8	4	2	6	2	5	0	1	3	0	15	2	1	0	2	5	0	0	1	0	4	0	2	1	8	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	13143	5994	2936	1920	2256	896	714	718	502	582	343	283	214	206	156	142	136	107	90	113	115	75	76	67	44	50	27	44	56	16	43	64	25	11	19	12	10	14	7	6	5	9	7	6	8	5	6	5	4	4	5	16	1	3	0	2	8	1	0	2	0	2	1	2	2	6	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
0.03	north2_active	80	8901	4061	1690	974	1614	262	202	352	199	390	165	96	62	47	39	33	79	33	28	74	89	28	28	38	27	27	9	35	37	4	36	44	14	4	9	7	6	7	2	2	0	6	6	1	5	3	1	3	1	3	1	16	1	1	0	1	8	0	0	1	0	2	0	2	1	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	13354	6104	2870	1934	2231	898	676	693	501	590	366	277	193	210	164	137	146	102	106	102	106	68	66	62	49	45	30	45	52	19	51	60	26	14	21	13	8	9	9	5	4	7	6	3	7	3	8	6	4	9	6	18	7	1	1	1	7	2	0	2	0	2	1	0	1	3	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north3_active	80	9000	4127	1619	960	1629	269	178	331	198	379	173	85	59	55	45	28	67	30	28	67	79	23	25	35	27	27	10	36	36	6	39	42	14	6	9	6	3	3	2	1	1	5	5	0	4	2	3	4	2	7	1	18	6	1	1	0	7	1	0	2	0	2	0	0	1	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13165	5934	2837	1928	2194	885	667	675	505	631	346	277	207	213	182	143	159	87	112	106	125	72	63	49	50	48	32	36	45	25	51	45	26	14	19	11	9	11	13	8	6	14	6	4	7	1	8	7	5	6	4	17	9	0	1	2	5	2	0	2	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	8835	3909	1607	971	1616	261	177	337	197	400	162	87	57	56	51	33	79	24	31	75	88	27	23	23	27	26	9	24	32	7	40	34	12	6	9	4	2	5	3	2	1	12	5	0	3	1	4	5	2	4	1	17	7	0	1	1	4	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12524	5650	2719	1826	2124	907	666	619	506	598	327	284	216	199	183	143	161	87	108	101	125	69	60	50	62	42	36	35	44	26	41	28	26	15	19	11	10	7	12	7	8	13	6	5	5	5	8	8	2	7	3	3	9	0	2	2	4	2	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8102	3596	1441	879	1520	253	177	294	192	376	143	81	52	52	63	36	80	25	29	65	82	23	23	26	35	25	10	25	32	7	31	18	15	4	10	3	2	3	4	2	1	11	4	0	2	2	6	6	1	5	0	3	6	0	1	1	3	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12049	5490	2762	1796	2020	896	702	661	486	547	300	284	227	189	178	143	161	86	102	102	124	67	59	60	72	45	36	48	42	29	52	27	22	16	14	13	11	7	15	10	8	10	8	4	4	5	7	6	2	3	2	1	12	1	1	1	1	1	0	2	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	7683	3448	1453	868	1438	242	197	308	187	329	118	76	48	54	58	36	83	25	29	60	80	28	26	29	34	24	10	36	31	8	43	14	13	3	7	5	4	4	5	5	1	8	6	0	2	1	4	5	0	2	0	1	6	0	0	1	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12373	5729	2872	1844	2073	894	724	698	459	525	309	273	237	189	163	137	144	93	103	104	118	70	67	64	78	38	32	48	46	26	50	32	18	18	16	11	16	11	11	8	5	11	9	6	2	6	6	5	2	6	2	1	7	1	5	1	0	1	0	2	1	1	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
0.03	north7_active	80	8021	3611	1534	891	1474	247	216	321	164	338	120	75	60	49	53	35	79	27	26	58	72	31	30	31	44	19	9	39	33	8	44	21	9	3	10	5	9	8	5	6	1	9	7	1	2	1	3	5	0	6	0	1	2	0	0	1	0	1	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	13056	5983	2931	1871	2220	877	737	738	456	551	316	281	218	201	155	138	138	88	96	90	130	83	67	50	78	49	35	56	55	25	70	40	23	13	24	13	20	12	13	11	4	23	9	6	2	8	4	8	1	17	2	0	5	1	7	0	2	2	0	3	2	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
0.03	north8_active	80	8713	3916	1638	931	1644	256	229	357	163	358	131	77	56	47	44	36	74	24	20	45	93	32	29	20	39	26	12	42	42	6	61	29	10	2	20	7	11	7	4	7	1	21	6	1	2	1	2	5	0	17	0	0	1	0	1	0	2	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	13834	6156	3065	1926	2415	828	695	760	476	580	337	271	213	212	148	134	155	86	97	94	139	84	64	52	77	63	37	72	66	20	74	48	23	9	29	12	19	13	13	8	2	21	6	7	2	7	4	4	0	19	3	1	4	0	6	0	2	1	0	4	2	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	9565	4145	1788	982	1850	254	219	392	174	393	154	80	58	42	45	34	82	23	24	57	104	30	31	20	40	26	15	60	53	5	67	39	10	3	25	5	9	8	4	6	0	20	5	2	2	1	2	1	0	18	0	1	2	0	1	0	2	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	14479	6350	3139	1932	2635	820	667	763	483	610	360	271	213	193	146	127	157	98	85	119	168	84	57	51	69	65	35	68	59	21	98	37	27	7	27	13	22	11	10	7	2	16	3	6	2	8	3	4	2	21	4	2	8	1	2	1	2	2	0	2	1	0	3	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	10222	4366	1815	1009	2022	240	220	407	186	415	168	88	57	39	49	29	89	24	21	74	141	28	26	22	28	24	16	56	50	2	89	31	17	4	22	5	13	6	2	5	0	13	2	2	1	3	1	0	1	20	0	2	5	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
