label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	north1_all	80	7974	4295	2677	1276	1020	1561	990	495	379	471	229	178	319	99	98	164	94	72	39	55	60	26	17	16	42	11	24	15	9	10	8	13	4	12	7	3	4	3	5	2	11	2	2	1	3	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north1_active	80	3988	2359	1482	556	525	1010	619	266	204	293	120	93	210	59	59	105	49	41	27	23	38	15	8	9	31	4	15	12	4	4	4	11	2	9	3	3	3	0	2	2	8	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	7996	4257	2731	1218	1006	1625	1063	498	388	458	257	181	355	107	85	154	114	68	38	66	59	24	18	20	51	18	23	7	13	11	7	11	8	10	4	2	4	2	2	3	12	1	1	1	1	3	2	0	3	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	4032	2298	1503	555	519	1076	662	244	205	289	139	93	248	55	51	96	66	40	27	27	37	15	12	10	36	9	14	4	6	3	5	10	7	7	3	1	3	0	2	2	8	0	0	1	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7898	4198	2723	1249	1025	1565	1104	494	402	468	261	189	331	97	92	134	97	61	43	67	63	21	21	25	54	20	20	5	14	10	5	13	10	4	2	1	5	3	2	3	7	1	1	1	0	3	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3951	2283	1524	591	536	1056	702	259	208	282	145	98	220	46	46	85	51	32	30	33	36	9	12	12	35	11	11	3	7	5	4	11	7	2	2	0	3	0	2	2	3	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7866	4280	2705	1278	1066	1528	1100	475	396	469	271	193	339	111	94	123	94	53	48	65	83	22	20	27	39	19	15	7	19	9	4	8	9	5	2	1	5	2	2	3	8	1	1	1	0	2	2	0	2	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3930	2362	1549	589	546	1019	701	254	199	270	154	98	219	57	41	76	46	31	30	38	56	8	12	13	21	11	5	5	14	4	3	5	6	3	2	0	2	0	2	2	4	0	0	1	0	0	1	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7755	4311	2748	1260	1074	1548	1081	468	371	503	265	216	318	117	100	126	94	57	52	64	94	21	20	26	32	20	18	7	17	8	4	5	9	4	3	0	3	1	1	1	2	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3866	2405	1572	603	549	1001	686	252	182	293	146	112	200	57	43	80	51	33	33	47	71	9	10	15	16	15	7	6	10	4	3	3	5	2	2	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
