label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58
0.03	north1_all	80	39757	21885	9355	5356	3683	3421	1810	3199	1064	1309	1692	1274	565	689	423	326	297	159	100	81	72	75	60	73	28	30	30	21	10	17	4	13	8	4	3	2	1	4	4	1	2	0	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	21036	15360	4616	1793	1349	2184	397	2827	411	1012	1483	1149	394	607	312	250	229	113	27	43	46	60	46	67	10	6	24	5	3	11	0	11	8	2	1	0	0	3	2	0	0	0	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	39554	21482	9321	5456	3733	3400	1817	3169	1089	1331	1611	1257	616	654	478	325	288	178	92	79	76	87	49	64	29	29	26	17	8	16	4	24	9	4	1	2	2	5	4	1	4	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	20822	14985	4609	1873	1348	2159	379	2787	441	1047	1405	1121	428	561	368	241	211	131	25	46	43	76	34	61	8	3	20	5	3	10	0	21	7	2	0	0	0	4	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	39584	21483	9374	5456	3704	3263	1856	3187	1052	1298	1517	1255	636	649	465	316	286	186	103	82	82	61	53	52	24	26	27	13	10	20	5	26	7	3	0	3	2	5	6	0	4	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	20777	14895	4589	1920	1328	2119	388	2784	420	1030	1333	1115	436	556	362	235	204	139	29	39	47	49	39	49	4	3	17	5	4	12	2	25	3	2	0	1	0	4	3	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	39062	20513	9200	5404	3689	3160	1853	3028	1066	1252	1415	1211	586	621	453	270	255	187	83	80	83	71	49	47	29	22	18	11	13	19	8	24	7	4	1	4	3	1	2	1	4	7	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
0.03	north4_active	80	19450	13750	4264	1838	1298	1973	410	2609	393	948	1224	1049	389	529	350	189	180	128	23	37	51	57	33	40	3	4	7	1	5	11	2	23	3	2	0	3	1	1	1	1	3	6	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north5_all	80	37599	19282	8933	5278	3619	3017	1898	2792	1034	1138	1275	1099	538	556	386	265	219	178	93	76	80	62	47	44	28	27	17	15	12	13	8	23	6	5	4	6	3	1	3	1	0	5	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0.03	north5_active	80	16951	12112	3729	1582	1131	1743	504	2299	305	794	1068	910	341	453	279	175	141	124	28	28	44	47	29	34	3	7	5	1	4	8	2	21	4	1	2	3	1	1	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0.03	north6_all	80	35919	17913	8569	5166	3563	2877	1862	2423	1006	1002	1141	1022	440	492	311	244	179	154	102	67	70	58	41	40	28	29	18	19	13	8	9	3	11	5	5	4	2	2	2	1	0	2	1	4	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0
0.03	north6_active	80	14197	10229	3106	1271	978	1471	567	1856	251	620	907	830	256	383	203	147	116	95	29	23	38	44	21	28	7	7	7	2	5	4	2	2	7	1	2	2	1	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0
0.03	north7_all	80	34822	16694	8307	5129	3441	2800	1850	2066	981	963	1082	942	388	452	280	226	131	135	108	68	68	63	39	37	21	28	17	17	13	9	9	2	10	6	6	3	1	2	3	1	1	0	1	4	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	12138	8542	2626	1060	804	1294	576	1444	203	558	841	753	204	320	178	124	68	75	29	21	38	41	16	24	7	7	9	2	5	4	0	0	7	0	2	1	0	1	0	1	0	0	0	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	35569	17573	8397	5240	3495	2867	1804	2332	965	977	1153	979	410	555	298	249	160	144	110	88	60	56	55	39	22	27	21	13	12	19	10	2	8	7	5	0	3	2	2	2	1	0	2	3	3	3	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north8_active	80	13581	9578	2954	1212	887	1417	552	1733	230	607	928	805	234	416	192	151	97	79	25	33	32	37	34	28	7	7	14	4	5	12	1	1	5	2	2	0	0	0	0	1	0	0	1	3	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	37527	18919	8695	5414	3538	3102	1792	2678	1024	1134	1340	1169	426	583	346	269	180	154	89	86	62	72	57	57	17	20	20	11	11	23	13	7	7	11	2	0	3	2	3	2	1	0	1	2	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	16520	11393	3513	1507	1096	1698	478	2151	293	750	1132	1004	251	465	249	185	122	81	22	34	33	53	33	47	4	7	13	4	5	17	2	6	5	4	0	0	1	1	2	1	0	0	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	38964	20345	9003	5390	3695	3340	1850	3046	1045	1219	1523	1170	474	675	354	303	210	151	94	106	74	65	62	48	22	23	23	10	6	30	13	10	5	13	1	1	3	2	4	1	6	0	1	1	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	19165	13426	4082	1705	1279	2042	437	2554	328	864	1335	1021	303	572	264	222	153	89	21	52	34	52	44	42	6	8	18	5	2	23	2	9	2	4	0	0	1	1	2	0	3	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	39734	21173	9402	5382	3677	3493	1815	3171	1026	1359	1729	1466	587	771	439	322	181	165	89	82	77	82	64	54	25	29	14	15	16	30	6	15	3	5	4	6	0	1	3	1	0	5	2	1	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north11_active	80	21043	14528	4566	1940	1387	2311	349	2743	397	1047	1530	1319	423	692	368	251	120	124	36	40	51	62	42	43	5	6	7	4	4	24	0	14	1	0	2	6	0	1	2	0	0	3	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	39918	21167	9360	5388	3697	3500	1765	3260	1017	1308	1625	1414	610	721	425	361	212	172	98	78	67	69	64	50	21	28	12	15	12	28	9	8	6	4	5	6	2	1	1	2	0	2	2	2	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0
0.03	north12_active	80	20994	14557	4494	1912	1389	2331	349	2831	401	1011	1422	1270	428	637	339	279	144	124	34	37	44	52	47	41	6	8	4	4	4	22	0	7	1	0	3	6	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	40058	21070	9420	5348	3772	3482	1728	3280	1031	1318	1734	1289	570	726	408	350	207	196	102	83	63	74	66	57	18	23	26	16	17	38	8	15	9	3	3	6	2	1	1	5	0	2	2	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	21163	14579	4566	1901	1383	2302	330	2849	403	992	1529	1133	387	635	312	265	149	146	31	42	36	58	54	47	5	7	17	5	5	31	1	15	4	1	2	5	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	40115	21287	9272	5373	3741	3497	1721	3200	1066	1345	1717	1186	526	661	368	305	207	216	96	83	62	84	56	93	26	18	32	16	14	35	8	18	19	4	3	1	2	2	7	4	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	21226	14753	4535	1957	1358	2323	356	2791	427	1001	1505	1035	356	562	268	230	139	170	32	44	35	70	47	76	6	6	22	5	3	32	1	16	14	2	1	0	1	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	39331	20513	9142	5266	3706	3404	1757	2928	1109	1322	1677	1128	491	647	367	304	210	185	102	85	58	90	54	73	24	23	37	18	12	24	6	18	18	5	1	2	1	2	7	4	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	19822	13689	4249	1807	1218	2101	418	2502	401	962	1463	975	326	541	265	221	139	140	34	47	28	73	46	56	4	8	26	6	5	21	1	16	13	2	0	1	1	1	6	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_all	80	38267	19378	8924	5287	3662	3205	1778	2686	1123	1267	1457	1079	476	571	344	276	189	172	111	83	60	96	47	61	29	23	32	15	10	24	3	10	14	5	1	4	0	4	6	4	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_active	80	18093	12240	3861	1661	1131	1863	475	2238	398	883	1245	926	318	463	235	175	120	123	35	42	25	81	36	44	6	5	20	5	4	21	0	6	11	3	0	2	0	4	6	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_all	80	38117	19440	8886	5288	3657	3156	1816	2799	1104	1212	1585	1090	513	566	373	276	209	172	105	81	76	93	60	43	33	19	27	12	10	14	5	5	4	2	1	7	1	3	0	1	5	1	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2
0.03	north17_active	80	17792	12391	3842	1642	1146	1822	483	2324	372	866	1374	928	330	471	257	182	142	116	29	41	35	79	33	31	8	2	14	3	3	9	0	2	2	1	1	6	1	3	0	0	5	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2
