label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	north14_active	80	13224	6853	5601	4253	5021	3821	837	503	495	563	499	618	146	127	83	103	101	102	50	77	36	29	56	42	10	12	10	8	3	5	13	2	2	0	1	0	2	0	2	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north15_all	80	28784	13828	10205	7218	7983	5838	1673	1060	1040	962	925	973	294	268	186	213	188	149	89	94	59	65	84	67	20	23	16	23	8	13	15	4	7	4	7	3	4	1	6	1	1	1	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north15_active	80	13091	6851	5602	4306	5094	3761	827	493	526	544	543	606	147	123	69	126	92	84	60	61	32	35	48	33	10	13	10	11	1	6	13	2	3	0	2	1	4	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north16_all	80	29007	13974	10037	7199	7904	5889	1729	1091	1025	950	892	922	302	269	208	221	180	158	90	88	57	62	75	62	21	22	16	18	10	9	25	4	5	9	5	4	6	3	6	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north16_active	80	13216	6959	5516	4247	5012	3779	855	498	519	528	538	596	139	115	75	130	98	95	55	54	32	33	34	36	11	11	11	8	2	4	20	2	2	4	1	1	6	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north17_all	80	28992	14079	10160	7273	7813	5996	1789	1125	994	953	886	958	286	248	204	246	143	162	84	75	62	83	67	78	25	33	15	24	9	13	18	5	6	7	6	4	7	7	5	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north17_active	80	13268	6987	5669	4325	4918	3870	880	522	503	517	528	622	137	113	77	150	69	91	52	43	36	51	35	47	10	22	8	18	3	5	13	3	5	5	2	1	6	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north18_all	80	28962	14109	10142	7315	7876	6000	1836	1144	967	926	877	980	273	246	223	237	144	135	74	83	62	76	94	86	25	37	27	22	9	9	17	4	6	9	7	4	9	6	2	3	1	1	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
0.03	north18_active	80	13195	7086	5769	4306	5015	3935	887	516	473	497	512	649	129	115	92	133	82	74	35	49	36	46	54	58	8	26	13	15	4	3	11	2	5	6	5	2	7	0	1	3	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north19_all	80	28960	14029	10283	7498	7854	6011	1780	1075	973	917	840	1073	263	251	227	220	127	137	83	88	70	77	102	72	28	38	33	24	5	10	12	4	7	4	7	6	6	5	2	3	2	1	2	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0
0.03	north19_active	80	13287	7092	5836	4370	5052	3889	859	467	464	507	477	694	135	123	102	123	70	76	38	55	32	43	64	47	12	26	14	16	4	4	8	2	6	2	5	3	4	0	1	3	1	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
0.03	north20_all	80	28830	14019	10202	7392	8137	5982	1755	1044	974	889	787	1109	268	266	225	223	140	139	80	88	70	71	125	77	23	21	32	16	9	8	12	6	9	4	10	5	10	0	2	3	2	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0
0.03	north20_active	80	13166	7175	5725	4278	5245	3818	864	453	450	484	443	694	142	122	105	115	80	78	31	63	26	38	75	49	10	14	14	9	7	3	8	1	7	2	7	3	5	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	south21_all	80	29030	13929	10200	7440	7910	5974	1723	1109	1031	970	869	947	334	258	181	226	161	142	97	120	54	86	98	60	31	19	36	14	12	10	8	3	5	5	6	3	5	0	4	1	1	0	3	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
0.03	south21_active	80	13302	6929	5780	4337	4983	3904	839	489	521	551	491	629	157	118	84	147	99	76	54	73	29	55	57	41	19	8	25	11	7	5	3	2	3	5	4	1	2	0	4	1	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south22_all	80	29168	14012	10157	7458	7830	5985	1712	1082	1041	1000	856	1011	339	263	189	223	178	149	110	113	51	88	91	56	33	18	22	19	12	11	4	3	7	3	4	3	4	1	1	0	1	1	4	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
0.03	south22_active	80	13407	7019	5806	4394	4962	3993	827	490	523	582	468	666	154	120	87	145	111	78	56	70	25	54	59	43	22	4	11	12	7	9	2	2	3	2	1	1	1	0	1	0	1	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south23_all	80	29102	14138	10133	7388	7641	6164	1781	1075	1036	1032	834	991	310	274	177	232	171	147	100	113	49	82	109	55	31	20	25	18	14	12	8	6	7	2	4	1	6	1	3	1	2	1	1	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0
0.03	south23_active	80	13412	7036	5774	4363	4839	4063	875	478	509	595	470	638	144	117	75	133	100	64	52	66	19	44	74	42	22	9	14	11	8	8	2	3	3	1	1	0	0	0	3	1	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south24_all	80	28983	14136	10092	7458	7777	6113	1739	1094	1028	1021	884	995	311	310	186	212	163	140	102	120	47	79	125	50	26	37	27	14	10	9	10	7	3	4	4	1	7	3	3	3	1	2	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_active	80	13425	6985	5668	4303	4928	3955	879	477	522	618	535	625	152	145	80	112	94	62	48	70	19	42	96	36	19	22	18	7	7	7	1	3	0	2	1	1	1	0	3	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
