label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57
0.03	north1_all	80	36129	15002	18263	5504	3524	2551	1905	2769	2810	796	681	483	347	326	412	191	131	109	151	268	104	43	81	38	49	92	12	10	14	10	9	25	9	2	7	1	3	0	2	3	1	6	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	14486	5503	15588	2157	707	803	715	2249	2520	218	372	173	84	174	305	76	38	25	115	251	81	12	50	22	42	88	4	2	11	1	2	23	9	1	6	0	3	0	0	2	1	4	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	35817	14895	18157	5479	3539	2477	1849	2707	2754	788	689	497	336	335	370	185	136	108	140	206	98	47	77	43	48	81	12	15	18	5	6	29	6	3	5	2	5	1	1	4	2	3	17	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	14079	5425	15415	2111	725	747	680	2190	2465	217	347	170	85	183	263	71	37	25	105	191	70	9	44	25	42	74	3	3	15	1	2	21	6	1	3	1	5	1	0	1	1	1	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35516	14642	17303	5418	3544	2430	1829	2592	2591	769	684	482	346	342	348	176	142	100	132	210	86	51	79	47	42	61	16	12	30	5	7	25	14	5	4	3	5	1	2	6	3	2	1	3	0	0	10	1	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	13330	5125	14385	1987	736	700	655	2032	2299	187	331	159	88	181	238	62	36	28	90	196	56	10	52	22	35	54	4	2	27	1	2	17	14	1	2	2	5	1	0	3	1	1	0	3	0	0	10	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	35033	14661	16458	5400	3466	2463	1807	2551	2301	785	710	472	368	362	323	188	149	98	139	168	93	46	42	35	47	33	17	18	29	8	5	26	23	5	6	2	4	1	1	6	2	0	1	1	0	0	10	2	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	12626	4927	13363	1920	729	650	631	1989	1989	177	340	153	99	190	227	57	32	22	84	148	61	6	29	13	42	29	4	2	26	1	0	17	23	1	2	2	4	1	0	3	0	0	0	1	0	0	10	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	35475	14664	16297	5390	3501	2463	1838	2626	2315	782	717	467	345	363	336	202	146	103	126	181	88	51	58	42	58	21	22	13	37	12	8	31	25	3	5	2	2	6	1	14	1	0	1	2	0	1	10	2	1	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	12772	4947	13251	1930	728	620	648	2079	2008	170	362	164	104	181	244	70	31	24	74	158	53	5	41	19	55	17	6	3	31	2	1	29	24	0	2	2	2	6	0	11	0	0	0	2	0	0	10	2	0	0	0	1	0	0	0	0	0	0
