label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91
0.03	north1_all	80	5837	4261	3004	1856	1584	667	983	370	386	584	455	282	154	139	113	103	110	112	68	60	56	89	92	38	33	68	23	40	20	20	25	25	23	11	16	14	5	10	8	4	7	1	11	5	4	5	6	7	5	3	1	4	0	3	4	2	1	7	0	0	1	0	1	0	1	1	0	3	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	2790	2551	1835	1089	1008	309	593	165	206	359	263	157	68	55	56	50	50	62	34	30	25	56	56	18	19	50	13	27	11	13	13	16	16	6	9	7	3	5	4	4	4	1	10	3	2	3	4	3	2	0	1	2	0	3	2	2	0	7	0	0	0	0	1	0	1	0	0	3	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	5796	4058	2899	1754	1502	648	928	385	376	538	428	273	138	124	118	90	106	116	65	65	59	84	103	40	30	63	27	35	20	22	29	31	22	9	14	12	3	6	10	7	9	1	13	4	3	4	10	3	3	1	2	2	0	7	5	1	1	7	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
0.03	north2_active	80	2753	2402	1766	1014	928	302	596	175	206	315	247	151	61	55	60	41	49	73	34	28	28	49	65	21	15	44	12	24	10	14	20	16	11	4	9	7	1	2	7	5	4	1	12	1	2	2	7	3	1	1	1	0	0	6	2	1	0	7	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
0.03	north3_all	80	5811	4035	2798	1712	1499	643	931	392	389	476	424	248	130	124	127	88	107	121	54	68	54	97	84	41	34	62	29	27	23	21	27	29	24	9	10	7	4	9	13	4	13	2	5	6	3	0	10	6	2	1	3	3	1	8	4	1	1	3	0	1	1	0	1	0	1	1	0	3	0	1	1	0	0	4	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0
0.03	north3_active	80	2763	2381	1679	969	893	312	598	174	212	285	234	129	64	52	65	39	50	90	29	33	23	59	53	21	15	46	11	13	11	10	19	16	9	4	9	4	1	5	10	2	4	2	3	1	2	0	7	5	2	1	1	1	0	7	3	1	0	2	0	1	0	0	1	0	1	0	0	2	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
0.03	north4_all	80	5815	3998	2813	1705	1528	659	983	390	375	463	419	255	140	132	121	83	97	121	57	70	53	76	101	38	39	58	23	27	20	32	26	35	24	7	13	6	7	8	11	5	13	5	8	7	4	1	5	7	2	1	3	3	2	8	4	1	0	2	1	2	2	0	0	0	1	0	0	3	0	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
0.03	north4_active	80	2768	2371	1688	973	897	311	616	176	193	264	236	136	66	54	62	38	52	82	32	34	27	45	59	18	19	38	9	14	11	21	18	18	6	3	9	5	3	5	9	3	4	3	5	2	4	0	3	5	2	1	1	1	1	7	3	1	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
0.03	north5_all	80	5812	4137	2707	1672	1576	677	1043	382	380	481	451	254	152	144	122	88	101	114	65	63	47	70	112	32	46	46	17	29	19	30	26	27	21	10	14	8	13	9	12	3	10	7	7	13	2	1	2	9	2	1	3	2	3	1	2	4	0	2	1	2	2	1	0	1	1	1	0	3	0	0	0	0	0	4	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2771	2468	1607	974	931	331	670	175	187	275	242	133	72	51	56	41	47	71	32	32	20	42	68	17	22	32	7	15	11	18	16	14	12	5	8	7	8	6	11	2	2	3	5	8	2	0	0	7	1	1	2	1	1	1	2	4	0	0	0	1	1	1	0	1	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5854	4203	2665	1613	1602	675	1042	418	362	482	434	261	161	147	127	99	114	100	69	65	54	70	104	32	51	67	17	30	21	25	27	23	20	13	13	10	15	7	12	3	10	7	9	14	3	1	2	4	1	2	3	1	4	1	3	4	0	1	3	1	1	1	0	1	1	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north6_active	80	2792	2494	1571	950	955	307	655	185	174	274	239	141	79	57	59	53	53	50	34	31	21	44	62	19	26	47	7	15	13	19	13	9	13	6	7	6	10	5	11	2	4	3	8	9	3	0	0	2	0	2	1	1	2	1	3	4	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north7_all	80	5656	4161	2609	1656	1590	665	1030	419	353	466	444	241	144	135	121	104	107	102	74	66	49	73	98	33	47	74	23	30	19	31	19	18	19	14	13	13	13	6	9	4	13	5	6	20	2	2	5	3	2	2	4	1	4	2	3	3	0	1	7	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north7_active	80	2672	2483	1528	985	973	306	646	184	168	265	257	131	77	64	55	52	51	58	39	27	16	46	60	21	24	58	13	16	11	20	10	6	14	5	6	6	9	4	9	2	6	3	6	16	2	1	3	2	0	2	3	1	2	0	2	3	0	0	7	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north8_all	80	5650	4237	2604	1651	1528	610	984	431	360	466	443	235	138	147	118	102	110	113	75	67	53	80	86	39	44	93	31	23	17	26	18	15	22	15	11	13	9	7	5	7	12	6	6	14	3	2	9	6	3	4	3	1	2	4	2	0	0	1	7	0	0	0	2	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_active	80	2655	2490	1519	932	944	284	627	191	187	267	264	123	75	79	60	50	55	66	43	26	20	53	57	24	23	76	15	14	8	15	7	6	16	5	5	7	4	5	3	5	5	6	6	9	3	2	5	3	0	2	2	1	1	1	1	0	0	0	7	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
