label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	south34_active	80	4266	1059	1041	593	393	215	131	172	221	167	49	114	79	19	46	24	12	8	16	34	6	9	8	5	4	4	3	0	8	3	3	2	0	7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	7233	2097	1787	1025	711	404	249	289	334	238	91	197	121	52	70	52	24	22	26	63	7	14	9	7	5	12	4	5	10	5	5	6	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south35_active	80	4170	1067	1043	562	414	211	104	156	219	157	41	113	77	21	51	29	10	10	13	44	5	9	7	5	4	5	3	0	6	3	4	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	7215	2095	1787	1007	669	415	254	277	311	253	100	202	110	50	75	57	23	21	22	69	4	15	9	4	5	14	4	5	6	3	5	9	1	3	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south36_active	80	4157	1042	1032	558	382	218	119	144	192	160	54	114	67	19	50	31	9	6	11	44	3	8	7	1	2	10	3	0	4	2	5	6	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	7199	2099	1803	1003	610	412	235	245	320	227	94	181	117	53	75	59	21	20	19	54	8	18	11	3	5	13	5	3	7	5	3	9	4	2	1	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south37_active	80	4229	1039	1026	558	335	218	104	140	186	133	50	105	76	22	48	34	10	8	8	29	6	11	8	1	2	8	4	2	5	3	3	7	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	7222	2052	1743	1048	644	403	216	252	323	224	110	164	93	42	73	47	20	22	20	50	8	22	6	6	5	11	1	6	8	3	4	7	4	0	1	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	4266	1026	1007	585	353	216	98	157	189	137	58	101	62	19	44	24	11	9	11	27	6	11	4	5	1	8	1	2	6	1	4	5	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	7329	2025	1737	1041	683	392	211	238	339	213	110	150	117	43	57	49	22	17	14	33	9	26	8	6	6	4	2	7	6	3	5	5	3	1	2	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	4360	1006	1007	590	383	208	86	153	196	132	53	88	82	19	31	20	16	12	8	15	6	14	5	6	2	2	2	2	4	1	5	2	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	7233	2057	1774	1025	696	377	200	262	357	201	117	143	102	48	54	51	19	25	22	40	5	28	12	7	4	13	2	5	9	4	4	4	3	1	2	0	1	0	0	0	0	2	0	1	0	3	0	0	0	6	0	0	0	0
0.03	south40_active	80	4285	1026	1049	575	387	191	87	165	207	120	49	84	70	18	32	30	15	15	12	21	2	17	5	7	1	11	2	0	5	2	4	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
