label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167
0.03	north1_all	80	7089	6474	2204	1662	2403	1061	2177	718	868	602	572	867	428	384	275	224	220	282	176	276	132	148	130	272	207	94	96	70	95	106	63	49	54	78	121	196	57	34	27	57	52	35	28	34	18	32	27	26	15	18	25	55	18	16	19	7	14	27	10	10	9	13	11	6	9	8	14	5	2	5	7	4	1	9	3	4	2	7	4	2	5	2	1	1	3	2	2	2	1	1	3	1	0	1	1	3	1	2	0	0	0	1	0	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	2353	5143	657	818	1947	549	1898	328	632	368	372	748	293	226	115	84	68	207	54	219	51	52	75	247	178	24	56	12	49	81	38	19	31	47	107	176	40	11	12	39	42	16	10	5	7	13	8	19	8	1	12	53	11	9	18	4	5	24	7	6	4	9	7	5	9	2	14	0	0	3	3	1	0	2	2	2	2	5	1	0	2	0	0	0	3	2	0	1	1	0	3	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7103	6248	2270	1711	2426	1086	2214	670	885	564	559	885	415	361	269	222	233	297	168	259	134	146	138	281	183	93	96	73	79	105	57	47	63	66	123	173	52	26	27	52	53	39	29	32	14	28	21	30	15	18	19	63	18	11	22	10	11	30	16	11	9	19	8	8	7	6	12	4	5	7	7	5	1	5	4	8	4	5	7	1	3	2	1	0	3	6	3	5	0	1	3	0	0	3	4	0	1	4	0	2	0	1	1	0	0	0	1	0	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2369	4922	679	811	1985	563	1922	312	644	343	379	749	284	201	102	79	79	216	50	202	47	50	73	255	149	23	52	15	41	83	34	18	28	36	105	154	34	12	8	37	42	17	9	6	4	9	6	24	8	2	8	62	12	5	22	6	4	24	15	7	7	15	5	6	4	3	8	0	0	2	3	2	0	2	2	7	2	3	1	1	1	1	0	0	2	6	1	3	0	0	2	0	0	2	2	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7116	6206	2248	1732	2341	1148	2186	643	864	581	549	974	413	377	247	199	213	277	159	250	138	150	139	276	188	85	97	81	82	99	61	49	66	61	117	125	52	29	34	50	51	43	34	33	10	23	17	37	19	19	20	62	20	6	31	7	17	33	14	10	6	23	9	9	9	9	13	4	5	6	5	5	2	5	4	11	4	4	5	2	3	3	1	2	2	7	3	4	0	1	4	0	1	4	4	1	2	3	1	3	0	1	1	0	0	0	1	1	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north3_active	80	2351	4895	679	816	1906	597	1889	284	636	357	372	841	268	217	91	69	69	201	53	190	57	49	76	248	156	25	52	16	39	72	33	13	31	34	102	108	36	15	11	41	39	18	12	9	2	6	7	27	7	4	8	59	16	4	29	5	9	26	13	8	4	18	6	6	6	4	9	0	0	1	1	3	0	1	1	11	2	2	1	1	1	2	0	2	1	6	1	3	0	0	3	0	0	3	2	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	7070	6403	2219	1759	2424	1154	2251	636	861	631	577	967	419	375	237	210	198	274	151	271	136	133	130	335	185	90	102	88	80	108	80	56	60	60	101	121	52	31	32	48	56	44	36	29	15	16	16	32	20	22	19	56	22	4	30	13	18	29	16	8	9	21	7	8	12	9	31	3	4	8	5	4	4	2	2	11	5	2	5	3	1	2	1	3	2	8	2	6	0	1	4	1	1	4	3	2	2	4	1	3	0	1	1	0	0	0	1	1	1	1	0	2	2	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
0.03	north4_active	80	2394	5128	696	850	1989	587	1946	286	628	385	393	828	268	217	78	75	68	206	51	213	63	47	61	307	147	28	54	18	29	78	49	14	22	39	88	109	34	15	12	43	47	16	12	10	5	3	9	21	7	7	8	50	16	1	27	4	10	23	14	5	5	17	4	4	7	5	27	0	0	0	3	2	1	1	0	11	3	0	0	1	1	2	0	2	1	7	1	3	0	0	3	1	0	3	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	7086	6663	2216	1717	2512	1118	2340	638	839	668	578	952	433	366	230	231	212	290	160	286	140	122	127	337	219	93	105	86	82	103	95	61	55	65	116	134	69	41	34	49	63	41	41	29	24	19	25	27	21	18	14	62	25	10	40	11	20	30	9	8	10	11	5	10	17	6	37	3	1	8	8	2	3	3	3	10	4	2	6	4	3	3	0	3	1	4	1	2	0	1	5	1	2	2	1	3	2	4	3	2	0	0	0	0	0	0	0	1	1	1	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
0.03	north5_active	80	2485	5413	701	847	2068	584	2045	287	614	419	387	822	290	210	83	80	66	230	60	232	67	45	62	310	174	31	59	15	31	73	63	16	18	45	104	121	46	17	13	42	53	15	13	9	10	7	11	18	7	5	6	56	18	4	36	3	12	27	7	4	5	8	5	7	13	4	34	0	1	0	4	2	1	1	2	10	4	1	2	1	2	3	0	2	1	3	0	0	0	0	4	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	7078	6638	2199	1722	2488	1131	2225	649	807	632	594	956	450	352	244	236	209	307	183	287	138	131	128	378	193	102	101	91	84	105	96	63	51	64	113	136	68	35	31	50	74	34	33	28	27	19	30	26	20	15	13	49	22	14	51	15	15	26	7	7	10	10	3	12	22	6	42	6	2	10	7	3	3	4	3	8	4	2	5	4	3	1	0	1	0	5	1	2	0	2	4	1	2	2	1	2	2	2	2	1	0	1	0	0	0	0	0	2	0	1	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2456	5392	691	846	2051	591	1944	299	602	389	398	824	301	199	88	77	65	237	69	235	63	39	62	345	153	29	61	19	30	76	59	19	18	42	100	124	47	14	11	44	64	14	9	8	12	4	11	17	6	6	5	43	15	4	45	5	9	23	5	4	4	6	3	9	19	6	39	0	1	1	4	3	1	3	3	8	4	2	2	2	2	1	0	0	0	3	0	0	0	0	4	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7104	6663	2221	1699	2461	1147	2164	673	860	627	613	917	459	362	252	239	223	345	199	279	129	131	131	332	208	111	106	84	74	92	88	67	55	50	118	148	73	42	32	42	82	19	31	26	25	25	26	28	21	15	9	54	20	16	57	16	13	21	12	7	7	11	5	12	24	6	32	8	4	7	9	5	4	10	4	11	2	5	4	4	3	2	1	0	3	3	1	1	1	1	3	1	2	3	2	3	1	1	2	3	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2417	5390	699	832	2073	619	1896	292	654	400	406	783	311	188	95	71	64	271	74	226	56	36	67	295	160	29	63	18	27	69	55	23	26	34	107	135	51	16	14	32	70	9	8	7	12	7	10	17	7	5	1	47	11	5	52	7	9	18	9	5	3	8	5	8	22	6	28	0	1	1	7	5	0	8	3	10	2	5	2	2	2	2	0	0	3	1	0	0	0	0	3	1	0	3	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7145	6674	2159	1701	2446	1156	2286	734	867	618	593	931	482	368	257	218	211	352	198	294	150	127	128	365	198	110	108	91	66	94	92	54	57	46	90	145	66	44	34	34	62	29	22	24	19	17	28	30	21	12	16	46	16	17	67	13	14	24	20	9	7	10	8	13	27	8	36	7	4	5	6	8	6	10	3	13	0	6	3	2	5	2	1	0	5	3	0	1	1	1	4	0	1	3	2	2	0	0	4	2	0	2	0	1	1	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2390	5408	675	806	2072	625	2015	321	658	395	385	802	333	207	102	51	65	275	81	221	60	35	63	327	163	31	72	24	23	71	56	16	30	28	79	132	51	14	10	24	51	18	4	7	11	3	12	18	6	4	5	40	10	7	62	7	9	22	16	5	4	8	6	10	25	8	34	0	1	2	5	7	0	9	2	12	0	6	1	1	4	2	0	0	4	1	0	1	0	0	4	0	0	3	1	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7136	6704	2160	1674	2416	1131	2348	725	869	607	563	927	504	364	276	235	215	333	195	293	146	123	144	316	184	110	107	83	78	94	80	55	52	51	103	129	53	48	31	36	72	36	20	21	25	16	22	28	19	12	16	43	23	15	47	7	11	29	22	10	7	9	12	6	19	13	28	7	5	8	4	7	7	8	4	14	3	12	2	0	5	4	3	0	6	1	0	1	2	2	1	1	1	1	2	2	0	1	2	2	2	3	0	2	1	1	1	1	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2419	5454	669	795	2020	597	2074	322	645	381	364	800	349	206	102	62	75	266	72	221	57	39	75	274	153	30	67	23	29	66	44	13	30	33	89	115	36	19	12	25	64	18	4	7	11	8	8	20	7	3	5	38	15	7	45	4	4	26	17	4	4	7	9	4	17	9	27	2	0	3	4	5	0	7	3	13	1	11	0	0	3	2	1	0	5	0	0	1	0	0	1	0	0	1	0	1	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
