label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166
0.03	north1_all	80	10902	8674	2172	1641	1416	1058	814	666	729	487	1366	470	344	294	313	632	227	573	193	246	198	219	130	234	105	92	83	77	78	65	81	144	132	57	50	46	97	75	38	45	29	83	33	21	21	36	30	14	26	23	22	12	38	16	11	17	7	24	8	10	17	6	5	10	29	6	13	9	3	4	5	10	4	6	5	1	0	6	2	5	1	3	5	7	3	4	3	8	2	2	2	9	1	0	2	3	2	1	2	6	3	1	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	north1_active	80	7956	7515	577	745	765	510	341	235	484	245	1227	314	135	88	197	578	120	502	39	157	139	162	54	202	20	35	28	14	30	26	54	126	109	36	33	13	87	57	9	22	9	74	11	8	6	21	24	3	13	18	14	5	33	4	1	10	0	16	4	4	11	1	2	7	29	3	8	9	1	3	1	9	3	3	3	1	0	5	1	4	1	3	3	6	2	1	2	7	0	2	1	7	0	0	2	3	0	0	1	6	3	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	10857	8801	2114	1633	1387	1028	851	693	732	498	1381	456	343	307	302	648	222	567	184	217	226	237	135	241	102	96	83	83	86	66	75	115	123	58	53	49	116	84	41	43	25	81	28	27	22	30	28	17	23	22	17	13	40	15	11	18	9	28	8	9	13	7	6	10	19	8	10	19	6	4	7	9	5	5	4	1	2	5	4	5	0	5	5	15	2	2	3	5	3	1	2	5	2	1	2	4	1	0	0	6	0	1	0	1	6	1	0	2	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7945	7611	572	745	763	521	351	249	483	246	1253	306	140	83	193	575	112	505	43	146	181	179	67	211	19	36	26	15	36	24	50	104	101	37	33	13	106	70	15	24	8	75	10	13	7	16	17	3	14	19	11	4	36	8	3	12	3	19	3	4	10	1	2	7	19	4	8	18	2	2	3	8	3	3	3	1	1	5	2	4	0	4	3	14	2	0	2	4	1	1	1	4	0	0	2	3	0	0	0	6	0	1	0	0	6	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11085	8815	2057	1608	1400	1048	816	649	710	498	1430	486	336	301	327	677	210	630	179	230	259	223	134	261	109	82	85	81	85	78	56	107	131	61	69	50	123	98	40	46	30	59	28	34	21	33	38	16	23	21	20	16	44	13	16	13	9	14	12	13	7	7	8	6	20	10	13	22	6	4	7	2	4	7	1	1	3	8	4	4	0	3	6	15	1	2	2	0	6	2	2	4	2	1	4	1	0	0	0	3	0	1	0	1	7	2	1	2	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8134	7641	559	722	776	535	355	238	460	225	1290	331	133	95	214	597	101	570	48	159	205	164	64	228	24	37	24	11	32	28	37	91	116	38	48	14	111	88	18	27	13	55	12	21	8	19	20	3	14	17	13	4	40	7	6	8	3	7	6	6	4	1	3	4	19	5	11	21	2	2	2	0	2	4	1	1	1	6	2	4	0	2	3	14	1	0	2	0	1	2	1	4	0	0	4	0	0	0	0	3	0	1	0	0	6	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11247	8725	2080	1592	1427	1081	816	672	715	518	1460	491	339	296	342	684	206	677	182	221	259	203	137	297	118	82	87	94	78	75	64	115	125	54	79	50	121	121	44	36	35	70	27	31	21	31	38	18	19	16	15	15	35	16	22	18	9	13	13	10	4	8	12	5	22	7	7	19	5	5	8	5	5	11	0	0	6	6	3	5	0	4	2	16	1	1	1	3	5	3	3	4	1	1	5	2	0	1	0	1	1	1	1	0	6	4	1	0	1	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north4_active	80	8248	7533	583	723	803	540	370	241	463	260	1332	341	132	88	218	607	98	620	47	157	205	145	64	262	27	33	30	20	24	31	42	97	107	34	54	14	106	108	18	22	12	64	7	20	7	17	25	5	15	12	9	5	29	8	11	13	3	10	7	5	3	2	3	2	20	2	6	18	2	4	3	1	3	6	0	0	3	4	1	3	0	2	0	16	1	1	0	2	1	3	2	4	0	0	4	1	0	1	0	1	0	1	0	0	5	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_all	80	11269	8662	2050	1576	1469	1069	774	675	678	540	1558	460	345	303	322	659	224	646	193	225	273	193	146	301	114	76	86	87	71	72	82	132	126	52	73	51	117	122	46	34	31	74	29	31	23	33	37	19	18	12	16	14	32	12	25	20	9	13	13	9	10	10	15	8	17	8	6	17	6	3	8	6	5	10	3	4	6	5	2	2	1	2	1	8	3	1	2	7	3	8	2	2	1	0	3	3	0	1	0	1	1	0	1	0	1	3	1	0	1	0	1	2	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north5_active	80	8288	7475	596	696	814	509	353	240	442	272	1432	317	138	93	206	587	109	591	42	156	212	130	63	266	27	31	31	20	21	25	55	113	109	32	48	15	103	106	18	20	10	63	7	18	10	21	25	7	12	7	10	6	27	4	11	15	1	9	6	6	9	3	3	2	15	4	5	16	3	2	4	2	4	4	1	4	2	3	0	0	1	1	0	7	2	1	1	6	0	6	1	2	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
