label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82
0.03	north1_all	80	29649	20635	13527	6844	3395	4974	4279	1411	1491	1417	1700	1176	802	653	766	375	294	285	208	269	207	152	145	105	131	68	80	85	59	81	27	32	33	25	15	30	15	21	13	13	14	10	3	12	5	6	7	3	1	2	3	6	1	2	2	2	1	0	4	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
0.03	north1_active	80	14736	12330	8140	3868	1569	2959	2630	613	834	798	1092	699	436	356	466	192	148	147	102	153	137	77	77	46	87	36	46	58	32	47	13	15	25	16	12	20	11	16	10	5	4	4	0	12	3	4	6	1	1	1	0	6	0	1	1	1	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29670	20869	13507	7022	3491	5102	4375	1447	1483	1396	1688	1201	791	648	725	424	301	291	234	280	213	156	140	104	122	67	86	97	72	70	22	32	30	25	18	23	12	23	17	22	11	15	3	13	7	7	14	7	1	2	3	5	1	3	1	2	0	0	4	1	0	1	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	14677	12542	8123	3957	1587	3059	2656	660	809	809	1089	721	445	341	448	221	151	154	116	166	138	71	68	43	71	35	52	66	44	42	10	15	19	13	13	11	9	18	15	6	4	10	0	12	4	4	13	4	1	1	0	5	0	1	1	1	0	0	4	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	29690	21054	13466	7069	3455	5126	4452	1499	1492	1401	1641	1190	800	647	742	445	292	281	234	303	207	159	123	87	140	68	87	90	72	71	21	28	34	27	16	39	12	26	16	20	13	13	3	10	6	4	10	4	1	3	4	2	1	2	2	0	0	1	4	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	14793	12758	8162	3969	1568	3145	2694	677	845	798	1063	728	454	360	466	237	131	144	122	185	121	74	60	35	88	34	54	64	46	47	13	10	19	15	12	22	8	22	14	5	10	11	1	9	3	2	10	3	1	2	1	1	0	0	2	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	29466	21286	13891	7051	3443	5040	4489	1509	1540	1386	1755	1180	813	648	717	449	302	270	211	296	214	157	133	85	136	65	89	98	75	80	23	20	29	32	16	30	13	33	10	19	16	12	5	15	6	6	11	4	2	3	2	2	1	1	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	14725	12873	8450	3896	1564	3119	2763	700	856	793	1137	693	454	366	446	246	129	133	112	176	124	72	63	42	88	34	60	64	45	60	12	7	17	19	8	18	8	28	10	8	13	10	2	14	2	4	10	3	1	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	29541	21053	14006	7006	3412	5041	4519	1491	1582	1439	1757	1153	829	643	756	436	330	266	190	258	205	156	131	91	135	60	88	90	61	77	18	18	35	26	14	31	14	25	9	14	24	12	5	7	5	7	4	2	2	3	2	2	2	0	3	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	14865	12656	8499	3903	1541	3162	2733	663	833	837	1136	674	465	368	475	239	156	137	108	154	116	78	59	44	86	31	59	52	38	54	7	7	24	14	6	22	6	20	7	10	19	8	2	5	2	4	1	2	1	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
