label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80
0.03	north1_all	80	30780	13358	7733	6090	3702	6707	4942	3330	1553	1139	1999	724	805	510	395	384	300	367	289	518	198	141	115	117	73	90	93	87	69	45	76	63	28	26	35	33	18	11	15	18	27	14	15	4	5	11	8	6	1	3	3	4	1	2	1	6	0	1	2	1	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	11307	4240	2174	2944	887	5746	4182	2688	833	214	1681	263	420	127	98	118	64	279	206	466	134	41	35	59	16	51	65	68	39	17	52	52	8	5	27	31	3	4	9	12	21	13	14	0	4	11	7	1	1	1	0	1	1	1	1	6	0	1	2	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	30762	13339	7780	6067	3706	6635	5128	3448	1587	1137	1984	715	828	512	396	393	301	383	283	546	214	141	99	132	79	93	81	106	67	45	64	44	29	19	55	32	18	13	9	29	21	12	3	5	9	5	5	5	1	2	2	3	3	0	0	4	0	2	1	0	4	1	0	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	11086	4177	2216	2898	895	5652	4312	2772	858	215	1641	238	446	130	96	124	64	278	191	493	146	42	37	61	17	52	53	85	37	15	45	37	11	5	48	30	3	7	5	22	15	12	1	0	8	5	4	1	1	1	0	1	2	0	0	4	0	1	1	0	2	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	30798	13422	7913	6027	3683	6449	4999	3500	1542	1110	1888	746	755	508	393	377	308	420	292	476	229	150	108	149	95	99	82	110	56	47	80	46	26	24	70	18	12	12	5	30	32	12	4	4	23	6	4	1	0	3	2	3	4	0	0	3	0	2	1	1	3	1	1	4	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10926	4238	2256	2869	902	5487	4206	2837	844	206	1554	234	424	122	85	123	64	314	192	412	153	44	44	57	20	55	56	96	30	13	62	39	12	8	62	12	3	7	1	25	29	11	3	0	22	4	3	0	0	1	1	1	2	0	0	2	0	1	0	0	2	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	30875	13348	7884	5932	3789	6511	4886	3410	1595	1084	1924	772	728	505	414	384	293	447	287	430	246	144	114	145	95	90	75	119	57	41	66	40	24	24	60	24	9	10	7	34	37	14	5	3	21	6	6	2	0	3	6	1	5	1	0	4	1	1	1	1	1	1	1	4	1	1	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	11056	4214	2231	2830	923	5573	4122	2763	863	207	1589	227	429	106	82	129	63	327	185	369	176	47	49	53	19	54	52	97	34	12	49	33	9	7	54	18	3	7	4	28	31	12	4	0	21	3	2	0	0	0	5	1	2	1	0	3	1	0	0	0	1	1	0	3	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	30735	13363	8046	5991	3778	6527	4805	3418	1597	1123	1896	740	700	502	414	387	293	464	290	549	222	156	133	132	81	87	60	106	60	40	64	48	28	24	94	23	13	5	14	22	43	11	8	3	18	10	5	2	2	6	5	1	10	2	0	4	1	0	1	1	0	0	1	1	1	2	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	11119	4229	2281	2896	961	5625	4056	2745	862	227	1571	209	398	109	76	130	64	350	187	485	159	50	62	52	15	51	39	80	34	17	46	40	6	7	87	17	5	2	8	17	37	9	5	1	18	5	1	1	1	3	5	1	8	1	0	2	1	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0
