label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64
0.03	north1_all	80	10924	5622	1753	1041	1259	1108	411	545	441	302	157	123	282	93	73	67	59	67	43	29	31	56	33	14	14	33	14	26	7	5	6	9	5	3	2	4	3	4	1	20	1	5	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	8295	4531	928	346	941	880	108	395	332	205	27	27	236	23	16	27	23	51	22	18	18	50	27	6	5	33	12	24	4	5	3	6	4	2	0	1	1	1	1	20	1	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	10363	5238	1745	1051	1155	1022	430	493	411	332	136	127	256	94	71	67	48	63	43	29	32	47	25	17	10	33	5	21	6	4	5	8	4	6	4	4	2	1	1	20	1	5	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7614	4133	872	325	832	774	106	352	311	232	30	25	214	20	15	27	18	50	25	15	20	42	19	6	3	32	4	18	4	4	2	5	4	3	1	2	0	0	1	19	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9712	4797	1730	1025	1061	965	454	474	421	318	140	125	249	89	68	69	42	64	31	27	21	36	19	14	14	40	6	8	7	2	3	6	4	3	3	3	0	0	2	20	1	5	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6858	3656	823	290	734	710	105	332	311	217	32	19	210	19	15	29	14	51	19	12	10	33	13	4	5	38	3	7	4	2	0	4	3	1	1	2	0	0	2	19	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9272	4652	1766	1035	968	916	454	417	398	298	142	108	230	96	77	76	45	60	32	24	26	49	21	13	18	21	13	10	5	2	4	4	3	6	3	3	0	1	1	3	1	2	2	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north4_active	80	6380	3523	855	295	656	655	109	264	283	198	30	20	184	26	16	43	13	48	17	10	13	42	15	3	7	18	9	9	2	2	2	3	2	4	1	2	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	9679	4899	1810	1039	1053	977	433	467	454	280	163	102	247	98	77	66	51	70	35	28	31	41	30	17	22	21	22	12	8	1	5	4	2	8	3	2	0	2	1	3	1	0	2	2	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north5_active	80	6834	3801	916	330	730	743	108	304	333	195	38	23	198	28	16	34	16	57	18	9	16	35	20	5	14	16	16	12	6	1	2	3	1	4	0	0	0	1	1	2	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	10345	5351	1865	1100	1119	1013	437	453	478	306	157	105	277	93	80	76	54	72	36	28	35	47	35	19	22	16	22	16	9	0	7	3	2	8	2	3	0	2	0	3	1	0	1	1	0	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0
0.03	north6_active	80	7618	4253	981	365	797	806	119	306	369	224	39	33	230	27	18	46	17	60	20	12	18	38	22	8	16	12	18	15	7	0	5	2	1	4	0	1	0	1	0	3	0	0	0	1	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	10779	5654	1874	1116	1209	1101	421	509	513	330	160	104	294	93	72	78	48	71	40	39	39	49	32	16	21	23	16	14	9	3	7	5	1	11	4	2	0	2	0	3	2	0	1	1	0	4	0	0	2	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	8119	4618	994	374	895	896	117	351	407	240	44	30	260	29	17	48	20	59	24	14	20	45	18	6	16	19	13	13	8	1	5	4	0	7	2	1	0	1	0	3	2	0	0	1	0	3	0	0	2	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	10905	5620	1897	1151	1209	1142	416	523	486	329	142	115	278	95	74	74	48	76	44	37	33	53	21	16	15	23	13	10	8	3	7	5	4	11	3	2	0	1	0	3	2	0	1	1	0	7	0	0	2	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	8249	4529	1002	372	881	924	106	359	381	236	43	33	247	34	18	42	25	59	33	16	17	48	12	6	9	18	10	9	7	1	5	3	2	8	2	1	0	1	0	3	2	0	0	1	0	6	0	0	2	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	10892	5662	1919	1116	1261	1146	409	530	478	316	147	134	247	86	70	65	42	86	49	35	36	57	22	13	21	27	12	7	4	6	6	5	3	12	3	1	0	2	1	3	2	0	0	0	0	7	1	0	2	0	0	1	3	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	8211	4538	1041	379	942	917	104	351	375	224	40	41	210	32	17	36	25	65	36	12	20	54	12	5	15	22	11	6	3	2	4	4	2	8	3	1	0	2	0	3	2	0	0	0	0	5	1	0	2	0	0	1	3	3	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_all	80	10620	5670	1956	1099	1265	1154	394	485	454	286	137	138	253	92	65	62	54	86	47	35	33	70	29	11	21	27	15	13	5	5	6	6	4	6	4	0	0	3	3	2	3	0	1	1	0	6	1	0	1	0	0	1	0	0	0	0	0	1	12	0	0	0	0	0	0
0.03	north10_active	80	7984	4568	1047	403	944	941	100	330	348	204	38	46	210	31	17	34	28	68	31	12	17	65	15	4	17	19	13	13	4	2	4	3	3	2	4	0	0	2	1	2	2	0	1	0	0	5	1	0	1	0	0	1	0	0	0	0	0	1	12	0	0	0	0	0	0
0.03	north11_all	80	9504	5033	1738	1033	1075	1066	438	482	417	276	161	125	261	91	83	68	45	61	39	28	21	62	29	15	23	32	9	28	10	2	6	6	3	5	4	2	2	1	1	2	2	3	3	1	0	3	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	6778	3801	864	319	731	840	108	340	332	187	30	32	224	30	22	29	13	48	20	12	6	52	20	7	12	28	6	25	8	1	4	3	3	4	3	0	0	1	0	2	1	2	2	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8917	4644	1694	1046	973	885	434	470	389	263	151	133	183	81	78	65	48	58	46	25	24	64	26	19	21	28	11	21	12	2	0	4	4	4	3	4	2	2	2	1	1	2	0	4	0	4	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1
0.03	north12_active	80	6086	3390	800	297	609	666	98	311	290	160	27	29	144	22	18	27	13	42	24	10	13	53	18	10	10	25	8	19	9	0	0	2	3	4	1	1	0	2	0	1	0	1	0	3	0	3	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	8610	4150	1700	1055	946	835	410	420	405	253	150	146	160	88	73	59	44	60	45	23	27	48	21	16	22	28	12	11	10	4	1	2	5	4	4	3	5	1	2	1	1	0	1	4	0	1	0	0	4	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
0.03	north13_active	80	5650	2920	774	288	585	620	86	267	297	141	25	29	118	19	12	28	14	44	28	9	17	38	14	5	11	24	8	8	8	1	1	2	3	4	1	1	1	1	0	1	0	0	0	3	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	9221	4435	1766	1064	1053	832	410	444	435	293	168	141	204	98	71	57	58	59	48	24	25	46	30	14	15	22	12	11	11	4	1	2	3	1	4	2	5	1	2	0	0	1	1	4	0	1	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
