label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	47431	23405	7965	7463	8964	2342	1646	2896	2190	728	741	361	299	240	186	169	114	83	118	100	113	41	31	70	28	15	14	48	20	8	7	7	4	0	1	1	2	9	2	0	1	1	2	0	1	0	0	0	0	0	0	0	2	0
0.03	north1_active	80	31245	17363	2441	5193	7928	617	561	2486	1889	347	513	77	66	63	61	72	62	22	100	88	91	24	7	62	23	4	7	41	18	8	5	4	2	0	1	1	1	8	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	47056	23612	8020	7451	8914	2317	1668	2891	2149	736	749	366	324	240	187	161	107	84	106	117	106	38	33	68	24	12	8	41	17	8	8	7	4	1	2	0	2	9	1	0	1	1	2	0	1	0	0	0	0	0	0	0	2	0
0.03	north2_active	80	30996	17666	2504	5209	7884	596	601	2496	1850	354	498	78	55	70	62	74	51	24	87	105	87	18	10	62	19	3	4	35	16	7	6	3	1	0	2	0	1	8	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	47307	23718	8000	7365	8736	2322	1707	2828	2205	738	734	380	332	240	179	145	121	90	109	111	97	39	31	55	23	14	10	23	18	6	12	3	3	2	4	0	1	5	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	7
0.03	north3_active	80	31165	17814	2482	5148	7753	609	627	2433	1912	358	477	75	56	63	57	65	59	24	86	93	74	17	10	50	20	5	2	20	16	5	6	0	0	1	4	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	7
0.03	north4_all	80	47057	23947	7964	7378	8547	2340	1711	2875	2118	739	717	388	334	250	172	145	132	97	121	138	85	44	25	42	22	16	8	20	17	6	11	5	2	3	4	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	7
0.03	north4_active	80	30707	18037	2523	5139	7539	608	624	2475	1829	353	487	72	60	65	59	74	71	27	98	118	56	15	11	37	18	5	1	19	16	1	4	0	0	1	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7
0.03	north5_all	80	47331	24000	7922	7358	8536	2345	1698	2844	2231	780	726	388	333	251	165	158	129	102	137	136	76	52	23	38	30	18	10	13	12	7	11	4	1	11	5	0	0	0	1	1	1	3	0	0	4	0	0	0	0	1	0	0	0	7
0.03	north5_active	80	30783	17975	2432	5134	7533	635	600	2438	1929	375	506	79	64	70	49	80	60	27	115	118	49	23	11	29	24	7	1	12	11	2	3	0	0	9	4	0	0	0	1	1	0	2	0	0	4	0	0	0	0	1	0	0	0	7
