label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55
0.03	north1_all	80	37235	30909	8052	5730	3348	5182	2113	1308	1171	802	1174	989	298	356	204	253	113	64	60	125	110	40	35	27	14	16	16	11	10	7	5	3	1	7	2	7	3	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	15974	25873	2612	2722	794	4385	1316	462	755	393	1009	876	54	259	117	190	26	17	22	107	92	18	18	22	3	8	4	6	2	5	2	1	0	6	0	6	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37242	30439	8273	5722	3225	5210	2156	1292	1215	741	1053	1023	313	355	226	263	96	75	54	119	111	32	32	25	11	19	16	13	5	7	6	3	2	7	0	6	3	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	15927	25523	2694	2705	768	4433	1334	454	781	382	893	892	53	264	134	198	25	17	14	103	94	13	21	20	1	11	4	9	1	6	2	2	1	5	0	6	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	37036	30296	8304	5705	3252	5089	2141	1277	1166	676	1148	1024	300	346	220	265	94	82	75	95	99	30	38	27	16	17	13	16	7	5	5	4	2	5	5	1	1	0	2	0	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	15850	25386	2714	2701	771	4326	1296	433	746	333	977	895	64	261	130	204	21	22	28	80	80	18	21	21	3	9	5	12	3	5	1	2	1	3	0	1	0	0	2	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	37083	30053	8356	5552	3353	4971	2205	1229	1183	737	1178	937	306	346	211	265	105	87	75	84	92	27	37	29	16	12	11	16	6	4	5	4	1	4	6	1	0	1	2	0	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	16001	25268	2713	2609	785	4191	1319	404	740	340	1015	812	68	264	128	202	21	24	33	68	75	18	19	22	4	7	3	13	4	4	0	2	1	3	1	0	0	0	2	0	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	37329	29837	8265	5530	3374	4925	2185	1259	1156	786	1261	990	318	327	197	259	110	91	75	83	120	29	42	27	16	7	13	15	7	8	6	7	1	4	6	7	0	1	2	0	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	16057	24995	2673	2622	759	4145	1306	424	705	359	1088	866	69	242	110	195	27	26	42	61	106	16	24	20	4	3	4	12	4	8	0	3	1	3	1	4	0	0	2	0	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	37306	30093	8164	5433	3400	4997	2131	1248	1153	834	1231	965	301	363	203	293	114	92	73	97	129	41	43	23	16	8	12	15	10	6	4	8	2	3	9	7	1	3	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	15953	25206	2656	2567	740	4151	1294	405	724	389	1060	851	59	282	123	226	27	25	34	73	109	23	24	17	3	4	3	9	2	6	0	4	2	3	3	4	0	2	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	37428	30566	8195	5556	3374	5124	2067	1259	1177	831	1260	1035	328	380	217	345	108	92	67	105	131	52	51	16	16	18	12	11	13	6	2	8	4	3	3	6	1	4	4	0	1	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	15955	25630	2667	2614	750	4279	1256	427	734	396	1072	908	73	302	133	270	29	27	26	77	109	26	32	11	2	11	3	6	5	5	0	3	2	2	2	4	0	3	4	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	37350	30252	8168	5602	3350	5076	2071	1260	1244	814	1268	980	313	416	258	319	112	93	75	86	122	52	49	33	19	23	7	9	14	7	2	6	3	3	3	4	1	4	2	0	1	9	0	0	1	2	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	15876	25334	2664	2606	775	4236	1256	429	801	400	1085	863	83	325	165	256	26	25	29	59	94	29	24	22	2	14	1	4	5	5	0	1	1	2	2	4	0	3	2	0	1	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	37225	30851	8132	5595	3314	4914	2159	1263	1248	791	1312	998	323	384	234	265	120	95	68	96	110	45	43	34	18	21	5	12	17	7	4	3	2	4	3	0	1	2	0	0	2	9	0	0	1	0	0	2	0	1	0	0	0	0	0	0
0.03	north9_active	80	15825	26002	2622	2564	774	4098	1321	445	816	403	1138	881	90	301	146	214	32	31	28	70	84	22	18	26	4	12	0	6	7	1	0	0	0	2	2	0	1	1	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	37246	30919	8105	5626	3303	4775	2175	1272	1201	733	1276	992	314	376	245	239	126	106	75	103	92	38	43	52	17	17	6	12	12	8	5	3	3	1	3	2	1	1	0	0	2	8	0	0	1	0	0	2	0	1	0	0	0	0	0	0
0.03	north10_active	80	15911	25947	2631	2656	767	3993	1304	441	751	363	1115	883	78	291	157	191	28	38	37	80	69	20	22	37	4	8	0	9	6	2	1	0	3	0	2	1	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	37362	30633	8261	5835	3332	5050	2151	1241	1237	753	1037	903	357	358	269	267	125	92	93	88	132	39	37	32	23	19	13	13	7	7	4	1	5	2	4	2	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north11_active	80	15869	25601	2655	2773	765	4203	1293	443	761	368	866	784	93	268	181	199	36	38	30	68	114	18	18	22	10	6	2	4	4	5	1	0	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north12_all	80	37700	30659	8346	5748	3333	4855	2052	1236	1210	777	997	979	337	362	278	254	110	89	79	88	105	35	36	32	19	20	14	11	7	8	3	0	5	2	2	2	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north12_active	80	16040	25645	2630	2738	776	4012	1252	443	744	385	833	870	99	251	181	185	31	33	25	65	89	14	23	23	8	8	3	7	5	4	0	0	3	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north13_all	80	37673	30614	8283	5729	3320	5033	2025	1250	1228	780	1065	1040	326	393	257	273	103	86	67	96	88	37	31	42	13	19	18	11	11	9	1	0	1	7	1	2	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	16128	25690	2651	2760	754	4213	1220	442	749	358	897	920	84	272	154	202	28	26	22	76	70	16	18	28	4	7	5	6	9	5	0	0	0	7	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	37623	30762	8105	5616	3299	5040	1958	1251	1264	784	1236	1055	313	428	221	239	104	91	75	95	93	41	28	34	10	16	16	12	11	7	2	2	0	10	2	3	1	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	16124	25919	2565	2685	756	4278	1191	415	800	362	1080	934	71	309	143	176	19	20	22	72	76	19	17	23	3	9	5	8	9	5	1	1	0	10	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	37236	30910	8082	5534	3280	5123	2029	1229	1288	766	1191	963	303	397	230	239	111	81	70	89	124	50	26	35	15	14	17	12	10	5	2	3	0	10	2	4	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	15954	26064	2592	2684	739	4361	1226	413	802	356	1025	847	64	291	149	175	26	17	22	66	109	21	17	24	9	8	6	7	9	3	1	1	0	10	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	37194	30671	8022	5573	3314	5065	2037	1246	1313	775	1159	974	305	404	245	220	125	78	73	87	124	50	27	31	16	11	9	14	14	2	3	3	0	6	1	4	1	3	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	15943	25792	2597	2725	743	4308	1241	434	838	378	1016	845	67	298	160	168	35	21	26	59	110	20	17	21	10	5	3	10	12	0	1	1	0	5	0	2	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	37203	30114	8006	5628	3304	5072	2153	1270	1285	751	1123	975	311	384	257	212	109	74	70	90	117	55	27	34	16	12	11	17	8	3	3	3	0	8	0	3	2	3	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	15913	25277	2531	2718	750	4271	1293	434	801	357	963	864	76	289	166	163	27	22	27	65	100	27	16	24	9	4	4	11	6	0	0	2	0	7	0	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	37050	30630	8053	5654	3295	5068	2126	1311	1275	742	1075	916	322	392	237	208	114	84	66	113	119	52	25	37	17	19	12	17	8	3	3	5	3	8	1	3	2	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	15797	25752	2565	2757	762	4217	1258	442	792	359	925	797	83	298	141	161	25	28	25	88	103	29	14	28	9	4	6	11	6	0	0	3	3	7	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
