label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	31082	30612	10043	4390	3045	4677	1541	1926	1018	1090	693	383	305	294	189	239	178	108	96	95	38	69	61	24	10	35	11	7	6	5	8	1	1	8	6	0	3	1	4	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0
0.03	north1_active	80	14348	19510	5654	1998	1429	2873	752	1102	543	698	392	197	165	152	107	136	106	65	56	67	19	39	42	13	3	24	9	4	3	1	3	1	1	6	4	0	1	1	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	31144	31038	10111	4432	3049	4670	1564	1863	1047	1091	654	368	298	275	181	231	186	110	84	69	43	62	53	22	15	31	15	6	7	3	7	2	4	9	3	0	2	0	4	3	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0
0.03	north2_active	80	14592	19810	5736	2040	1463	2907	756	1119	571	674	368	190	151	134	102	133	111	61	47	49	24	29	34	13	3	21	13	2	4	0	3	1	3	6	3	0	1	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0
0.03	north3_all	80	31280	31278	10121	4442	3075	4624	1515	1919	1050	1084	605	393	322	263	190	228	189	123	84	75	45	48	70	28	22	27	19	6	8	8	9	4	3	10	3	1	2	0	0	1	1	0	1	0	1	1	2	2	0	0	0	0	0	0	0
0.03	north3_active	80	14788	19848	5743	2048	1475	2937	749	1153	583	672	341	197	153	135	101	146	122	65	49	38	25	29	36	19	2	17	14	1	4	4	1	1	2	7	3	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0
0.03	north4_all	80	31251	31056	10223	4416	3042	4670	1534	1939	1031	1100	657	407	339	273	187	241	175	139	72	81	48	69	61	28	21	22	18	16	9	9	8	5	3	4	1	1	2	0	0	1	0	0	1	1	1	1	0	2	0	0	0	3	0	0	0
0.03	north4_active	80	14786	19682	5819	2041	1440	2953	728	1231	568	620	373	202	169	144	92	146	115	76	40	38	20	44	25	21	2	12	9	8	2	6	2	2	2	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0
0.03	north5_all	80	31032	30507	10355	4433	2984	4673	1551	1986	1018	1051	693	432	327	266	198	242	163	124	65	99	48	74	61	29	20	19	18	15	7	10	7	5	1	3	1	1	4	0	2	1	0	0	1	1	2	1	0	0	0	0	0	3	0	0	0
0.03	north5_active	80	14572	19156	5906	2004	1370	2949	721	1229	541	612	391	209	161	154	99	151	108	72	37	52	17	54	24	23	5	10	4	9	3	6	1	2	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
