label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179
0.03	north1_all	80	23735	10962	15904	7184	3782	4578	5552	2010	2055	3429	1333	1466	2168	1165	1712	1001	633	829	541	458	420	422	386	341	571	321	261	312	227	224	223	212	402	159	141	134	262	134	242	113	112	91	109	86	72	76	57	53	54	63	59	50	59	33	105	34	44	50	31	39	37	40	55	59	34	44	44	15	18	61	19	16	13	16	10	31	32	13	14	9	6	18	10	8	9	6	5	4	8	8	8	10	3	8	1	1	2	3	5	4	0	3	2	1	4	0	0	2	2	1	0	5	9	0	1	0	1	1	1	0	1	2	0	2	1	0	0	2	0	0	2	4	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8257	2457	13604	4913	800	3180	4727	461	1024	2895	323	862	1813	710	1367	581	156	549	110	150	105	129	119	119	470	170	61	184	50	75	111	106	369	68	35	55	224	88	215	20	52	41	84	34	36	28	28	14	10	47	16	28	26	7	95	18	29	38	12	22	27	21	49	41	24	43	37	2	2	59	15	8	7	11	4	31	25	10	11	2	1	16	8	7	8	2	4	3	8	2	6	7	1	7	0	0	1	1	3	3	0	2	0	0	4	0	0	2	0	0	0	1	9	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	4	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23883	10958	17224	7552	3833	4713	5991	1965	2079	3457	1311	1500	2269	1235	1745	988	647	823	510	504	454	430	401	357	614	337	249	314	227	242	222	211	487	163	139	159	341	148	298	100	117	87	128	89	71	80	59	61	62	48	56	47	64	36	130	40	40	48	30	38	36	45	53	57	43	38	66	17	23	46	18	16	14	14	11	28	45	11	13	12	6	10	10	11	13	7	5	5	4	6	11	9	2	10	0	1	3	4	5	8	1	0	1	0	3	2	0	2	1	1	1	5	8	2	1	0	1	1	1	0	1	2	0	1	1	0	0	3	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	8696	2559	14973	5327	826	3365	5211	428	1119	2967	342	926	1899	764	1405	588	168	551	98	178	120	133	129	122	506	190	65	193	51	71	124	112	445	68	34	64	299	95	272	15	59	43	99	38	35	25	27	22	7	32	14	27	29	8	120	23	30	41	15	23	28	23	49	37	33	36	62	5	3	40	17	10	7	10	6	28	39	9	11	3	1	7	9	8	12	1	4	4	4	0	10	8	1	8	0	0	1	2	3	8	0	0	0	0	3	1	0	2	1	0	0	1	8	2	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	23976	10957	17584	7742	3879	4765	5941	1939	2114	3515	1363	1515	2323	1269	1594	973	645	812	524	527	449	409	380	338	609	361	255	340	224	229	211	208	483	158	138	156	349	170	320	96	112	88	129	85	73	75	56	66	62	83	51	49	65	43	123	45	30	52	26	32	24	54	36	75	39	39	62	22	20	57	20	13	12	16	13	13	42	14	12	11	12	7	10	11	9	7	18	5	6	2	20	9	2	11	0	2	3	5	13	5	2	0	0	0	0	3	0	3	1	3	1	5	1	2	2	0	2	1	1	1	0	2	1	0	1	0	0	2	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north3_active	80	8896	2573	15386	5539	858	3399	5149	399	1186	3036	348	946	1953	796	1290	582	168	553	107	186	125	138	124	119	479	211	63	203	54	70	124	111	438	62	31	68	305	104	286	23	56	45	95	32	32	25	26	25	5	64	9	26	29	12	110	29	18	45	15	19	16	20	31	52	32	37	58	4	3	50	17	7	6	11	6	12	36	12	11	2	3	5	8	7	8	1	16	4	6	0	20	8	0	9	0	0	1	4	10	5	0	0	0	0	0	1	0	3	1	2	0	0	1	2	1	0	2	1	1	0	0	0	1	0	1	0	0	1	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	24127	11024	17622	7751	3875	4759	6045	1934	2105	3526	1390	1579	2330	1298	1526	898	631	767	527	517	444	400	392	355	561	372	250	314	231	195	200	228	475	160	131	157	296	163	330	99	100	87	125	76	71	68	52	54	68	103	44	42	57	46	112	39	26	54	26	27	33	54	41	61	36	41	43	27	21	31	15	6	15	18	10	9	28	10	28	12	13	12	25	14	7	13	20	4	6	1	14	5	6	10	0	1	3	4	13	7	2	3	2	1	0	3	1	2	1	2	1	4	1	2	1	0	4	0	0	1	0	0	1	0	1	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north4_active	80	8926	2615	15388	5544	851	3379	5262	419	1156	3070	336	1008	1967	839	1226	523	166	526	120	176	117	129	136	126	432	224	59	175	61	58	107	115	426	68	37	66	252	101	296	25	54	43	81	31	30	18	22	20	13	84	5	20	22	17	99	25	12	46	13	15	26	20	30	43	29	37	39	7	3	24	9	3	5	12	4	7	26	8	24	2	3	9	21	8	5	5	18	4	5	0	14	4	2	9	0	0	0	4	11	6	0	1	2	0	0	1	0	2	1	2	0	1	1	2	1	0	3	0	0	0	0	0	1	0	1	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	24152	11147	17536	7694	3816	4853	5831	2038	2072	3656	1342	1594	2330	1280	1459	945	637	789	543	521	443	386	379	354	570	360	249	311	212	178	209	253	484	166	141	146	292	158	286	105	94	103	122	65	79	53	49	57	62	117	47	40	50	41	89	40	39	55	23	30	42	48	38	56	40	58	21	20	17	32	17	6	16	20	12	12	17	12	21	7	12	12	23	9	3	11	21	6	8	3	18	3	7	11	1	1	3	4	14	2	1	5	4	1	0	2	5	3	3	2	2	5	1	0	1	1	7	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north5_active	80	8945	2665	15354	5512	868	3404	5057	457	1136	3153	316	1040	1986	840	1170	544	170	542	137	158	117	118	138	120	437	230	63	188	50	68	100	140	425	70	36	64	248	95	249	24	46	52	73	26	32	13	22	17	16	100	5	14	19	16	76	25	20	47	11	19	33	24	26	43	35	53	14	5	2	27	11	4	4	15	5	9	14	10	17	1	3	9	19	5	2	4	19	4	7	0	18	3	2	11	0	0	1	4	11	1	0	2	4	0	0	1	4	3	3	2	0	3	1	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	24100	11176	17285	7651	3864	4969	5817	2111	2076	3733	1355	1519	2247	1300	1454	922	647	829	537	522	447	392	391	344	571	362	231	310	208	177	222	232	453	166	131	148	266	134	234	116	97	105	117	72	81	60	59	47	65	126	54	40	58	37	103	48	44	32	28	29	41	39	45	37	51	54	19	19	17	32	21	12	18	31	13	13	10	11	22	9	12	15	28	7	9	12	21	8	6	8	18	2	7	13	1	1	5	4	7	3	1	5	4	3	4	0	6	4	8	2	1	5	0	0	0	3	5	1	0	1	1	0	1	0	0	0	0	0	3	0	0	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north6_active	80	8980	2607	15122	5445	893	3475	5025	469	1137	3237	314	981	1886	866	1135	558	167	562	120	146	115	122	156	116	437	240	48	206	59	73	120	121	398	65	32	62	226	90	207	25	44	49	68	31	31	23	24	14	21	109	6	14	25	15	94	34	20	25	9	18	31	23	32	33	46	49	10	9	2	29	13	6	6	29	7	9	8	9	19	1	4	11	25	4	6	4	20	5	3	1	18	2	2	13	0	0	1	4	4	2	0	2	4	1	4	0	5	4	8	2	0	3	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
