label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178
0.03	north10_active	80	12315	12877	5530	4240	1690	3315	593	549	934	2764	285	309	189	848	138	176	1400	135	173	1283	241	170	602	96	821	317	285	524	220	328	55	51	68	35	38	328	25	194	23	24	22	29	33	119	28	45	38	16	70	21	47	12	19	32	56	15	63	11	35	14	11	29	17	11	12	75	15	6	5	5	14	2	2	7	2	4	27	5	5	4	15	5	8	3	10	1	2	4	4	6	1	9	1	4	2	0	20	0	4	1	2	0	0	1	3	2	1	5	26	2	1	0	1	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	25677	17188	9002	6702	4004	4633	2714	2084	1946	3383	1373	1138	1042	1247	786	706	1576	586	549	1295	507	457	745	341	958	418	437	770	313	339	195	163	169	158	129	466	82	204	114	103	76	101	84	131	69	89	68	64	102	43	78	54	43	47	48	36	119	29	16	31	18	34	25	17	43	44	14	15	16	10	29	12	9	12	15	16	15	5	9	5	43	5	10	3	20	4	10	6	7	9	4	11	4	2	1	4	13	1	4	1	4	4	5	3	2	1	1	2	1	4	0	0	1	1	5	2	5	1	0	0	2	0	2	7	3	1	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	12445	12397	5470	4142	1652	3342	619	557	881	2820	272	276	197	822	137	148	1350	140	163	1155	239	171	607	89	873	302	322	688	183	275	54	55	71	34	34	415	22	176	29	19	20	37	44	110	22	51	39	22	77	12	64	16	16	31	42	22	110	7	11	18	6	18	14	5	32	42	5	6	1	5	23	0	1	9	4	6	11	0	6	2	42	1	6	1	19	1	1	3	2	6	0	8	1	0	1	3	13	0	2	0	2	1	5	1	1	1	1	0	0	2	0	0	1	0	4	0	4	0	0	0	2	0	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	25815	17289	9019	6710	4031	4692	2602	2073	1934	3356	1381	1178	1071	1257	760	742	1590	586	538	1285	510	456	743	352	918	389	441	718	317	378	185	165	180	154	129	477	104	212	103	117	76	97	76	157	70	77	77	59	112	45	94	37	45	42	41	34	72	25	17	30	19	33	25	25	31	49	13	15	16	12	31	9	8	8	16	16	17	6	10	4	32	8	10	4	17	6	13	4	6	9	7	10	4	6	1	5	3	2	7	2	6	4	5	5	2	0	2	4	0	4	1	0	1	1	4	0	5	1	0	1	0	0	2	0	2	1	4	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	12558	12443	5474	4171	1630	3348	601	561	899	2808	279	282	207	817	157	163	1374	134	168	1141	261	172	610	93	830	281	324	647	194	314	47	58	81	28	36	428	32	185	30	22	18	35	40	132	26	45	35	20	86	13	76	11	17	29	36	26	65	7	13	14	7	20	16	7	20	45	4	6	2	4	25	0	1	4	4	5	12	1	4	2	31	3	6	1	14	2	1	2	1	5	2	6	1	3	0	4	3	0	5	1	4	1	5	0	1	0	0	2	0	2	1	0	1	0	4	0	4	0	0	1	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	25758	17158	8898	6747	3994	4710	2564	2074	1935	3225	1420	1187	1087	1256	780	733	1617	543	552	1206	513	433	726	346	876	407	406	673	353	400	196	161	201	151	125	490	116	222	106	114	84	91	72	175	72	82	70	62	105	38	109	35	55	48	38	39	98	37	32	34	25	45	26	27	24	42	17	14	22	13	31	13	11	17	13	10	27	12	13	5	19	6	12	8	18	9	14	4	5	11	6	16	6	8	2	6	2	2	6	2	4	2	6	5	1	0	2	4	1	3	1	1	0	0	0	1	4	0	1	1	1	0	0	0	2	1	4	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	12611	12364	5442	4221	1624	3418	546	583	903	2687	298	279	214	811	156	169	1408	138	167	1061	254	171	602	101	786	288	298	611	218	336	48	49	84	33	42	442	35	192	32	23	15	33	37	151	24	43	31	22	82	8	94	10	22	33	32	26	89	12	22	21	11	33	15	10	18	35	9	6	3	3	27	2	2	10	5	2	22	1	3	4	17	3	9	1	15	5	2	1	0	9	2	13	1	6	1	4	1	0	5	2	2	0	5	1	0	0	0	2	0	2	1	1	0	0	0	1	3	0	0	1	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	25759	17553	9182	6863	3943	4954	2529	2074	1914	3213	1396	1188	1069	1229	796	735	1645	557	551	1257	513	407	745	357	766	410	426	647	356	417	187	179	192	135	129	442	127	212	111	123	99	99	76	172	70	92	74	76	117	38	111	37	49	58	37	53	92	37	40	37	26	43	24	24	28	53	22	15	19	16	31	11	12	21	15	10	19	14	11	5	20	6	7	8	16	10	8	2	4	8	7	15	7	8	4	18	4	1	7	2	3	2	6	14	0	0	3	3	1	0	2	1	1	0	0	1	10	0	1	1	1	0	2	0	2	0	4	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	12632	12779	5677	4301	1508	3591	547	561	897	2658	290	281	210	801	154	172	1435	156	167	1105	247	164	612	106	685	276	304	586	218	355	47	53	80	32	39	402	37	182	37	27	17	35	35	146	27	52	38	33	94	9	95	13	18	42	29	30	84	8	26	25	13	30	17	10	17	44	12	5	4	4	28	3	2	11	3	2	16	1	0	3	19	2	5	0	13	6	2	0	0	7	3	14	4	6	1	14	2	0	7	2	2	0	5	10	0	0	1	2	0	0	2	1	0	0	0	1	8	0	0	1	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	25483	17682	8999	6940	3972	4922	2499	2108	1889	3205	1369	1199	1063	1220	802	713	1614	558	537	1230	498	399	740	353	757	421	428	607	328	410	181	169	201	131	133	375	118	204	130	117	99	99	81	179	81	91	79	65	126	40	104	45	49	67	40	42	84	40	55	42	33	50	29	26	21	62	28	14	19	16	15	13	14	25	12	8	43	13	7	6	19	5	6	9	16	9	6	2	2	11	7	16	7	6	3	29	4	1	4	3	0	1	8	12	1	0	2	3	1	2	2	1	1	0	0	1	6	2	4	1	1	0	3	7	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
