label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172
0.03	north1_all	80	29759	15752	8291	6952	3865	6130	3864	1979	2628	1445	1534	2236	958	784	670	1556	632	798	475	498	473	377	359	720	591	407	528	462	197	339	269	279	169	187	204	119	143	114	182	84	74	71	93	151	97	99	121	35	45	85	63	52	31	32	38	30	19	35	32	29	30	25	44	23	12	22	24	19	25	22	8	20	25	14	12	14	12	11	4	5	19	6	8	10	17	6	12	6	5	7	5	10	4	11	4	4	5	2	3	0	2	4	1	0	0	3	3	0	6	0	5	1	3	1	1	2	2	0	2	1	0	0	0	0	0	0	1	0	1	0	0	2	2	4	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	16613	9162	4543	3922	1947	3801	2270	923	1532	690	819	1394	507	368	301	963	307	459	201	239	229	187	194	458	354	244	317	271	77	212	145	174	92	115	125	54	75	47	122	43	31	32	48	91	47	59	77	14	22	53	32	28	13	16	15	17	5	20	10	19	24	14	22	9	8	10	10	6	9	10	3	16	18	6	5	11	8	5	1	3	15	3	4	8	12	3	5	3	0	2	2	0	2	3	2	1	4	2	1	0	2	2	0	0	0	3	1	0	3	0	4	0	3	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29829	15493	8283	6957	3865	6177	3846	2021	2801	1420	1608	2231	981	833	673	1618	615	794	473	514	472	393	361	686	568	384	490	476	192	326	251	281	159	220	212	114	144	120	197	82	80	64	85	153	80	102	99	35	49	76	67	50	33	30	36	33	19	39	28	24	31	26	28	18	12	28	24	18	16	20	6	18	25	15	11	21	17	13	4	4	24	31	11	5	11	7	11	6	5	5	5	11	3	12	4	4	5	0	4	2	2	4	1	0	0	4	4	0	3	0	2	2	1	1	1	0	2	0	2	2	0	1	0	0	0	0	1	0	4	2	0	2	3	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north2_active	80	16778	8932	4552	3964	1918	3792	2216	965	1673	678	862	1403	510	415	310	1055	290	464	202	252	232	192	196	430	340	225	302	274	84	231	147	186	84	130	124	52	64	45	133	38	36	30	45	99	39	61	60	15	24	43	42	28	16	15	15	16	6	23	7	14	24	16	16	6	8	15	9	7	9	7	3	13	17	5	5	16	10	6	0	1	20	4	4	3	8	4	4	3	0	1	3	1	1	3	2	1	3	0	2	1	1	1	0	0	0	4	1	0	2	0	1	0	1	0	1	0	2	0	2	1	0	1	0	0	0	0	1	0	3	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	29753	15338	8307	6997	3838	6250	3841	1996	2857	1402	1627	2170	980	818	666	1631	614	796	454	507	455	384	354	793	598	411	425	507	188	347	230	302	142	225	233	105	141	118	194	85	85	73	68	180	101	106	82	40	49	85	65	48	32	35	33	38	14	40	27	38	27	24	31	18	13	35	22	17	18	14	9	20	21	14	11	20	15	11	5	5	21	40	8	6	12	5	14	5	11	4	7	4	1	13	5	2	3	0	3	2	2	7	2	0	0	4	5	0	3	1	0	2	1	0	1	0	1	1	3	3	0	1	0	0	0	0	1	0	3	2	2	0	3	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	16798	8883	4617	4009	1880	3967	2272	948	1697	654	877	1370	489	404	325	1061	287	466	184	239	230	199	181	517	383	240	257	307	84	237	137	198	85	131	141	46	72	47	129	39	38	29	34	118	53	58	50	16	23	58	36	27	13	21	13	15	6	27	8	26	18	15	12	6	7	18	8	7	9	6	6	17	8	10	5	12	9	6	2	2	12	11	2	2	9	3	7	2	6	2	1	2	1	3	2	1	1	0	2	1	1	1	0	0	0	3	1	0	2	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	2	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_all	80	29715	15529	8339	6874	3723	6257	3828	1992	2853	1374	1619	2230	990	846	739	1634	579	807	441	488	459	381	377	838	580	432	442	530	180	360	241	290	146	223	243	112	144	108	193	71	87	78	77	219	90	111	88	43	53	101	59	44	36	37	23	32	18	48	27	38	29	20	32	14	15	39	16	10	30	10	13	24	31	18	14	23	15	12	7	6	22	41	10	6	8	3	11	5	9	5	6	6	1	12	5	11	7	0	2	2	2	7	1	0	0	4	4	1	1	1	0	2	1	0	2	1	1	1	2	4	0	2	0	0	0	0	1	0	3	2	2	0	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	16791	8926	4694	4081	1798	4047	2287	977	1734	642	878	1413	488	419	364	1108	264	477	190	233	227	213	190	531	341	249	238	309	92	251	153	186	81	127	138	53	65	44	116	36	45	31	37	140	60	55	49	19	26	65	36	25	14	21	9	10	9	29	12	28	18	11	10	4	8	20	4	4	19	4	8	16	11	11	8	14	9	8	2	3	14	11	4	2	4	1	8	1	6	3	1	3	1	5	1	10	3	0	1	1	1	2	0	0	0	3	1	1	0	1	0	1	1	0	1	1	1	0	0	3	0	1	0	0	0	0	1	0	2	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	29254	15555	8381	6803	3779	6286	3869	1981	2849	1331	1580	2229	995	803	766	1694	593	812	450	510	449	387	389	793	644	459	436	530	174	374	235	286	154	211	215	90	123	97	164	73	81	91	73	229	97	109	105	47	48	107	53	44	36	40	16	27	21	53	27	43	35	26	40	12	13	34	21	12	31	12	14	32	28	20	16	16	13	5	5	7	13	24	6	5	10	1	18	7	9	6	7	5	2	14	4	11	7	0	2	1	4	6	1	0	1	2	3	1	0	2	1	3	1	0	1	1	1	2	2	3	0	1	8	0	0	0	0	0	3	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	16602	9065	4727	3992	1848	4046	2349	957	1752	611	833	1409	485	366	365	1136	285	487	192	244	221	214	189	495	395	256	234	303	90	245	136	182	82	121	125	47	58	41	94	36	37	42	28	145	66	60	68	20	24	76	31	22	14	22	7	11	10	29	11	30	23	14	18	7	6	18	3	4	23	8	9	18	9	11	9	7	5	4	2	4	6	19	2	1	5	0	10	3	8	5	2	2	2	12	0	11	2	0	2	1	2	2	0	0	0	0	0	1	0	1	0	2	1	0	0	1	1	1	0	2	0	0	8	0	0	0	0	0	2	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
