label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173
0.03	south36_all	80	20633	18570	7687	8534	6377	4660	2030	2142	1973	3458	1693	1223	1561	1418	850	946	1188	521	541	916	387	504	307	396	267	545	229	247	319	279	350	316	248	205	159	202	292	227	233	254	157	95	130	81	107	58	102	118	58	42	40	32	26	48	54	36	38	72	57	27	24	87	16	23	54	37	22	25	27	19	14	21	8	10	20	19	13	11	9	17	6	7	2	2	3	2	7	8	14	5	7	26	8	6	14	3	12	5	6	6	0	4	3	3	1	2	1	2	0	1	1	0	1	1	0	0	4	4	0	0	0	0	0	2	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	9643	11415	4075	5131	3831	2812	913	1068	1075	2128	979	624	930	831	444	574	764	237	256	609	177	278	135	212	130	304	97	149	195	155	216	193	155	115	88	126	165	133	137	169	108	55	82	42	65	18	66	73	22	27	23	15	9	29	36	13	22	42	34	21	9	63	6	13	28	18	5	15	19	9	9	14	4	6	11	7	9	6	6	13	4	3	1	2	0	2	4	6	10	3	4	21	4	5	14	2	10	5	3	4	0	1	0	1	1	2	0	1	0	1	0	0	0	1	0	0	1	4	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	20626	18709	7746	8501	6329	4769	2030	2179	1981	3539	1617	1234	1565	1445	830	902	1173	528	521	899	393	489	330	373	271	559	233	254	327	262	346	315	249	191	160	174	285	227	283	220	152	107	126	72	107	59	100	133	54	44	46	37	27	49	57	35	46	61	62	26	28	106	19	24	48	35	23	23	17	19	13	22	11	15	13	22	11	10	6	17	9	7	3	1	1	2	6	8	17	6	1	25	7	6	10	5	13	3	4	5	0	4	2	2	0	2	1	1	0	2	2	1	1	2	1	0	3	7	0	3	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	9587	11570	4052	5054	3823	2899	890	1094	1032	2189	929	623	922	868	418	540	726	256	253	584	183	277	142	198	129	314	99	138	182	132	205	209	148	104	88	102	176	140	184	138	98	68	74	37	69	20	55	90	25	29	27	16	8	27	30	18	19	32	39	20	12	77	7	16	31	27	6	14	12	11	5	14	3	7	8	10	4	6	4	10	6	4	2	1	0	2	3	4	12	4	0	21	5	4	10	4	10	2	1	4	0	2	0	1	0	2	1	1	0	1	1	1	0	2	0	0	1	7	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	20780	18924	7735	8432	6384	4732	2082	2183	1969	3580	1660	1198	1530	1512	806	963	1201	523	501	880	413	483	296	353	276	578	231	269	332	281	316	334	211	197	166	188	243	206	275	183	156	99	143	97	116	67	92	145	59	39	48	41	25	46	61	41	47	64	72	21	27	112	20	22	49	40	23	19	20	14	8	22	14	23	16	23	17	12	6	23	8	7	7	2	1	7	5	9	10	8	1	6	3	2	9	4	13	3	3	1	0	6	3	1	0	0	1	0	1	2	2	1	1	1	1	0	1	5	0	3	1	0	0	0	1	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	9631	11733	4064	5085	3872	2835	922	1096	1010	2241	991	597	881	879	413	565	745	266	255	564	191	268	125	178	115	368	107	136	187	156	188	215	128	104	94	103	165	124	192	125	105	60	92	52	81	25	47	82	33	23	25	13	11	27	31	19	16	34	45	15	14	86	8	14	34	29	8	8	15	7	0	13	7	13	11	17	9	6	4	16	6	5	3	2	0	6	3	6	7	5	0	5	3	1	8	3	10	2	1	1	0	3	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	20674	18554	7649	8358	6424	4574	2077	2073	1925	3542	1703	1173	1513	1495	793	942	1160	502	516	865	393	477	307	344	273	571	213	269	324	288	309	337	212	196	165	202	228	181	226	143	148	97	125	97	116	58	117	153	70	33	44	47	29	36	66	41	42	48	69	18	26	90	23	24	35	39	16	19	22	15	13	12	15	22	14	22	21	14	7	15	8	8	12	3	2	5	9	6	6	6	5	3	3	2	5	3	13	3	3	20	0	4	3	0	2	1	2	1	1	2	2	1	2	1	2	0	3	3	0	4	1	0	0	0	3	0	1	0	0	0	0	4	0	0	7	0	1	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south39_active	80	9602	11378	4054	5004	3861	2676	902	1039	981	2202	1001	579	875	885	387	543	706	260	274	560	178	260	143	167	113	356	103	130	195	157	190	218	124	106	87	102	152	104	144	86	92	61	77	52	74	26	59	83	47	13	25	16	15	21	30	26	12	33	52	8	15	71	10	18	24	28	8	11	18	6	0	4	7	13	12	15	10	6	3	8	6	4	5	1	0	4	5	4	4	2	3	1	3	0	3	2	9	1	1	19	0	2	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	20301	17694	7298	7889	6101	4242	2109	2017	1809	3267	1676	1115	1387	1457	767	900	1052	510	484	850	366	495	306	337	264	567	220	271	324	301	308	342	240	169	168	211	206	176	198	143	147	94	118	95	96	56	107	138	61	33	42	45	31	31	55	43	30	66	63	15	26	58	20	23	41	33	17	18	24	14	9	10	20	20	15	22	17	18	11	19	5	8	9	9	1	6	8	7	5	4	5	6	3	2	13	1	2	4	2	22	0	2	4	0	2	1	2	2	2	2	1	2	1	3	1	0	4	3	0	3	0	1	1	0	3	1	1	0	0	1	0	6	0	0	6	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south40_active	80	9406	10588	3833	4660	3659	2391	909	976	915	2046	959	536	785	855	379	501	624	254	263	518	157	295	140	159	109	357	116	138	200	167	184	207	146	95	82	115	131	101	131	86	91	54	72	44	59	25	60	73	37	14	21	13	20	15	27	24	11	47	45	5	14	43	8	14	29	19	8	11	18	7	1	2	11	11	12	17	9	11	7	8	3	4	3	5	0	4	5	6	2	1	3	2	2	0	8	0	1	1	1	19	0	1	2	0	0	0	1	1	1	2	1	2	0	3	1	0	1	3	0	0	0	1	1	0	1	0	0	0	0	0	0	6	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
