label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191
0.03	north8_all	80	6914	2049	1351	3359	1335	709	501	685	343	328	275	332	284	207	204	216	135	131	239	122	103	95	233	109	64	69	49	86	124	58	43	80	49	42	40	43	46	31	35	28	35	27	52	26	30	24	17	31	18	26	11	16	12	10	16	12	7	30	26	15	2	13	15	7	6	7	35	13	14	5	9	23	5	5	2	4	10	5	6	3	10	1	2	1	1	10	2	7	6	6	2	2	1	1	1	0	4	2	5	2	0	1	1	7	1	2	0	0	1	2	1	1	0	2	0	0	2	1	0	1	0	1	1	3	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4908	518	578	3010	997	365	138	506	120	80	79	208	184	46	100	134	38	59	184	36	29	47	191	77	14	20	17	61	103	12	11	60	8	21	9	30	34	11	7	12	18	13	46	17	24	4	9	21	9	14	7	7	4	2	4	7	3	25	20	11	1	8	12	1	0	5	33	11	12	3	8	22	1	3	0	1	8	5	2	0	9	0	1	0	1	6	2	6	6	4	1	0	0	0	0	0	1	0	3	0	0	1	1	7	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	1	3	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7424	2011	1395	3956	1468	735	506	801	379	337	274	365	280	209	213	260	149	124	245	125	104	103	255	110	75	58	52	90	149	60	46	89	38	44	52	39	53	30	33	35	30	28	77	28	37	23	14	34	18	21	8	18	14	10	15	23	10	52	24	15	5	15	14	8	8	18	45	14	11	6	11	18	5	7	3	3	13	7	8	6	15	3	6	2	1	12	0	12	5	8	2	2	2	2	2	0	2	2	5	2	0	2	1	4	1	1	0	1	2	3	1	1	0	2	0	0	0	1	0	1	0	2	2	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	2	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	5535	501	625	3648	1162	409	140	623	155	76	76	237	179	52	112	178	48	59	191	35	31	55	222	83	20	19	18	67	130	16	10	62	8	22	10	26	45	10	7	19	17	17	70	13	27	3	5	24	14	13	5	9	5	2	5	18	4	49	20	13	3	9	11	2	1	16	42	9	8	3	9	16	1	3	1	1	11	6	4	1	13	1	5	1	1	8	0	12	5	8	1	0	1	1	1	0	1	0	4	1	0	2	1	4	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7775	2040	1394	4476	1457	756	523	881	383	328	267	413	273	212	230	274	141	141	268	133	95	113	258	121	84	61	50	100	154	52	51	84	28	39	57	38	54	29	28	36	30	31	94	30	35	17	20	39	31	20	11	22	19	8	14	38	12	57	23	22	7	15	12	8	8	25	45	15	7	7	9	22	6	6	2	5	11	6	10	7	27	4	11	2	1	12	2	6	3	6	1	6	3	2	2	1	2	3	11	2	0	2	1	2	1	1	0	1	3	3	1	2	0	2	0	0	0	2	0	1	0	1	2	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	5995	514	631	4181	1179	439	156	701	159	86	78	291	177	54	123	198	40	72	210	44	31	57	222	93	25	19	14	77	139	15	11	57	4	18	13	23	44	11	8	23	13	20	89	12	28	3	8	30	25	13	7	12	5	1	8	34	4	52	17	19	4	6	10	2	3	22	43	10	4	4	6	21	3	4	1	5	10	5	5	1	25	2	8	1	1	7	2	6	3	6	1	0	1	1	1	0	0	0	10	1	0	2	1	2	1	1	0	0	3	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7796	2028	1454	4439	1522	697	497	837	372	334	314	394	381	195	197	238	160	181	234	99	116	103	278	131	85	68	68	95	154	60	42	88	45	37	46	47	56	33	31	32	34	36	69	18	46	24	21	26	36	21	16	25	13	15	8	26	9	25	17	37	12	7	16	7	7	29	49	27	13	11	25	6	10	3	9	12	7	4	0	4	1	4	5	4	4	4	2	10	1	13	4	0	4	5	3	3	6	1	3	3	3	1	0	2	2	0	4	0	0	0	2	1	1	4	0	2	5	1	0	1	0	0	0	2	1	5	1	2	0	2	0	0	1	1	0	1	0	0	0	0	0	1	1	7	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	6042	511	688	4107	1215	414	153	660	143	101	98	269	261	65	110	158	29	99	192	34	39	50	241	99	20	14	20	74	142	10	11	62	10	10	16	27	40	17	8	17	10	19	63	9	42	5	5	21	23	15	4	12	7	4	3	25	2	20	9	31	5	1	14	1	2	24	48	24	7	5	21	5	6	2	0	7	5	2	0	1	1	1	4	1	3	3	0	9	1	12	2	0	1	2	2	0	1	1	2	2	3	1	0	2	2	0	3	0	0	0	1	1	0	4	0	2	5	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0
0.03	north12_all	80	7746	1979	1435	4469	1427	737	524	817	386	330	289	363	370	192	184	211	158	178	248	94	103	105	287	115	87	62	69	99	146	65	45	78	39	36	35	44	58	30	27	36	36	36	96	18	61	21	25	30	40	19	19	19	14	15	6	22	4	35	19	23	12	8	14	9	4	23	26	18	12	7	22	2	7	2	9	9	6	4	0	4	2	4	2	3	3	4	3	5	1	6	4	1	2	3	3	4	6	1	9	2	1	0	0	0	2	0	3	0	0	0	1	1	1	4	0	1	5	1	1	0	2	0	0	2	1	5	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	6006	499	666	4153	1153	437	158	651	144	98	90	244	255	68	93	139	33	91	202	34	36	60	260	87	24	13	21	79	132	9	13	51	8	11	13	25	46	15	10	20	13	20	85	10	58	3	8	25	31	16	6	10	7	4	2	21	1	31	13	16	5	2	10	1	2	19	26	16	8	2	19	2	5	1	0	8	4	1	0	1	1	2	1	1	2	3	1	4	1	5	2	0	0	1	1	0	1	1	9	2	1	0	0	0	2	0	2	0	0	0	0	0	0	4	0	1	5	0	1	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	7445	2001	1421	4039	1301	727	485	733	404	319	304	345	336	171	197	178	161	174	228	91	95	104	258	128	83	58	64	102	127	52	38	71	33	42	41	43	59	26	30	29	29	38	86	18	48	18	21	29	34	11	13	14	10	9	10	23	10	35	15	20	10	8	15	8	3	15	21	11	13	8	16	8	5	1	6	11	3	4	0	4	2	4	2	3	3	8	3	4	0	6	4	1	2	2	3	4	2	0	9	3	2	1	0	1	2	0	4	0	1	0	0	1	0	1	0	1	2	1	1	0	2	0	0	2	1	5	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	5604	521	629	3723	999	422	150	561	147	88	96	224	222	64	94	112	36	84	177	33	31	60	230	93	23	12	20	79	112	10	10	52	6	13	15	24	45	13	9	15	9	20	74	8	44	4	6	24	24	10	6	7	5	2	3	21	3	32	12	15	4	2	12	0	2	10	21	10	8	4	13	6	4	0	0	9	1	2	0	1	1	1	1	1	2	3	1	3	0	5	2	0	0	0	1	0	0	0	9	2	2	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	2	0	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6856	2002	1405	3462	1209	711	493	685	396	341	289	307	290	183	187	170	146	160	202	90	92	103	230	129	78	61	64	100	116	48	34	51	37	45	34	52	52	26	34	29	27	42	84	19	53	14	17	35	37	11	14	9	8	7	14	29	9	39	13	16	13	9	16	9	5	10	19	7	8	8	9	12	5	1	3	7	2	5	2	2	4	5	2	3	2	4	4	4	1	3	3	1	2	3	1	6	1	0	7	1	2	2	0	1	2	1	3	0	4	0	0	1	0	0	1	2	1	0	1	0	2	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	4924	530	576	3127	890	396	146	508	146	88	80	197	186	58	86	113	36	64	153	29	30	57	199	88	19	15	18	74	97	5	4	32	9	16	8	27	35	14	8	20	10	22	70	9	48	4	6	29	27	9	6	5	4	1	3	26	4	35	11	12	3	1	12	0	2	6	19	6	6	3	8	9	3	0	0	4	1	1	0	1	1	1	1	1	2	0	1	4	0	2	1	0	0	0	0	1	0	0	7	0	1	0	0	0	2	1	1	0	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	6324	2066	1383	2871	1165	652	491	647	399	352	291	305	280	197	183	183	156	143	212	100	89	115	162	116	79	70	68	93	94	40	35	54	41	45	42	52	39	32	33	34	24	42	53	20	32	14	16	35	26	18	16	12	8	5	14	33	12	33	16	9	12	7	11	9	9	13	19	3	5	8	17	25	6	2	3	7	3	6	2	3	6	4	2	3	3	8	4	6	7	5	4	1	2	2	0	5	0	0	7	2	2	2	0	1	1	1	4	2	4	1	1	0	0	0	1	2	1	0	0	0	0	0	1	1	0	5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
