label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	north1_all	80	624	657	171	126	175	91	106	110	108	97	47	58	41	36	29	44	44	33	79	13	13	23	8	32	9	41	23	7	39	14	13	15	8	7	8	11	7	17	4	6	7	5	6	5	2	4	5	9	0	4	3	3	2	1	6	7	3	2	2	2	7	0	0	3	2	0	3	0	0	2	2	4	4	1	1	1	0	0	1	1	1	0	0	0	0	1	0	5	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	340	420	79	63	92	56	57	69	63	61	21	36	15	18	16	27	31	20	49	4	6	15	3	18	3	25	15	4	27	6	7	11	5	6	4	9	4	10	2	4	4	1	4	3	2	1	3	5	0	1	2	3	1	1	6	7	2	1	0	1	6	0	0	3	1	0	3	0	0	2	1	4	4	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	635	643	176	122	176	89	94	130	116	92	43	63	37	43	24	35	43	21	68	15	15	31	10	28	6	37	26	8	38	13	13	14	6	9	10	10	5	26	6	4	5	5	5	5	1	4	12	10	0	4	4	4	2	0	5	6	2	2	1	3	9	0	0	3	1	1	3	0	0	0	3	5	0	4	1	2	0	0	1	3	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	343	398	87	58	95	47	50	88	71	60	19	38	17	25	14	17	29	14	45	4	7	23	6	16	2	20	14	6	23	5	7	12	3	7	5	6	3	13	3	3	2	1	3	3	0	1	9	6	0	2	2	4	1	0	5	6	1	1	0	2	7	0	0	3	0	0	3	0	0	0	2	5	0	1	0	0	0	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	639	684	178	123	185	92	72	120	96	87	39	56	36	42	30	38	41	24	73	19	19	35	9	28	7	46	36	8	51	15	14	14	3	10	11	15	3	30	8	4	8	6	4	7	2	2	10	10	1	4	5	9	1	0	3	5	1	2	1	6	5	0	2	3	2	2	6	0	1	1	2	6	0	4	1	2	0	1	1	3	1	0	1	0	0	0	1	3	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	339	415	86	60	89	46	41	87	55	52	20	37	20	23	15	22	26	14	54	8	8	24	4	18	5	30	19	5	36	6	10	10	2	7	6	6	2	15	5	2	3	2	3	5	0	1	8	8	0	1	3	8	1	0	3	5	1	2	0	5	3	0	1	1	1	0	6	0	0	0	1	6	0	1	0	0	0	1	1	3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_all	80	654	656	196	125	158	90	82	133	86	84	36	66	32	35	24	34	50	23	74	21	19	38	11	26	11	48	39	10	48	10	23	14	5	11	9	11	5	29	9	1	5	6	8	3	4	2	10	12	2	3	5	9	0	1	2	2	2	2	0	5	3	0	2	3	2	2	6	0	1	3	3	4	0	4	0	1	1	1	0	3	3	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north4_active	80	332	404	89	65	83	42	50	87	50	50	18	38	21	22	12	21	33	13	52	8	7	26	5	18	7	35	20	8	38	4	16	10	3	7	6	4	3	18	6	0	2	4	7	2	1	0	8	10	0	2	2	8	0	0	1	0	1	2	0	4	1	0	1	1	1	0	6	0	0	0	1	4	0	1	0	0	0	1	0	3	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_all	80	630	655	206	141	164	98	90	131	90	77	37	62	36	38	29	33	41	25	83	20	21	35	15	25	15	49	34	7	51	9	26	7	8	10	7	9	6	31	7	1	7	7	6	4	3	2	4	11	2	3	4	5	1	2	1	2	1	1	2	5	2	1	4	3	2	2	5	9	2	4	1	3	0	0	0	1	1	1	0	3	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north5_active	80	311	405	90	66	88	52	54	78	52	43	22	36	21	22	12	19	31	13	53	9	8	25	6	20	8	37	16	5	42	4	21	2	3	5	4	3	5	20	5	0	3	5	4	4	1	1	4	8	0	1	1	4	1	1	0	0	0	1	1	3	1	0	1	1	1	0	5	8	0	1	0	1	0	0	0	0	0	1	0	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
