label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	15684	11248	2576	1685	920	603	577	481	246	195	128	227	93	48	46	52	38	13	18	16	7	8	2	8	0	7	4	1	5	3	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	10816	9727	1150	901	352	152	330	344	75	109	39	195	63	14	18	40	20	6	9	10	3	5	1	8	0	4	3	0	2	1	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	15783	11014	2614	1688	941	590	593	475	247	185	126	204	96	55	47	49	37	17	14	16	10	12	4	8	1	7	3	1	5	4	7	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	10874	9497	1184	936	362	139	348	334	71	105	40	176	71	17	21	34	19	5	8	9	4	8	2	7	0	5	3	0	2	2	7	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	15707	10932	2580	1740	934	603	575	456	233	180	116	188	91	48	45	54	28	23	13	16	9	18	4	9	3	3	4	2	5	4	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	10853	9423	1169	948	359	141	344	314	58	105	32	163	62	16	17	33	10	5	6	10	4	15	2	8	0	2	3	0	1	3	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15836	10871	2558	1716	956	590	578	460	232	189	117	200	91	47	44	34	19	25	11	17	11	17	3	7	4	3	5	1	2	4	3	0	1	0	2	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	10899	9359	1135	915	376	144	338	311	56	101	31	168	56	17	16	20	7	6	4	7	6	14	2	6	1	3	3	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15747	10847	2574	1733	985	593	581	472	215	191	107	211	90	50	39	34	25	23	7	14	11	25	2	8	4	3	6	1	2	2	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	10775	9372	1152	931	394	156	331	311	52	97	26	178	54	18	14	20	12	5	2	7	6	23	2	7	1	3	4	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
