label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	south30_all	80	16940	6903	2747	3613	1181	752	1098	563	397	406	198	87	91	69	41	23	27	26	24	10	7	8	4	2	9	3	1	1	2	4	1	2	1	0	0	0	1	0	0	0	0	1	0
0.03	south30_active	80	11502	4541	1020	3028	581	223	942	396	308	340	133	45	37	31	20	7	12	16	22	4	2	2	4	1	6	0	0	0	2	4	1	0	0	0	0	0	1	0	0	0	0	1	0
0.03	south31_all	80	19365	7865	2675	4305	1241	763	1341	654	487	474	233	108	71	50	41	34	29	27	66	8	13	2	5	2	7	3	4	3	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0
0.03	south31_active	80	14336	5617	1090	3791	677	251	1163	519	385	421	191	56	31	19	19	10	10	16	65	1	6	0	3	1	6	2	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	19316	7774	2689	4326	1211	738	1381	672	479	459	228	108	68	48	36	38	25	29	51	10	15	3	8	4	7	2	3	2	2	0	0	0	2	1	0	0	0	1	0	0	0	0	0
0.03	south32_active	80	14277	5534	1063	3797	637	255	1212	545	379	403	186	56	28	22	19	9	8	16	48	2	7	1	5	2	6	1	1	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	19263	7690	2757	4137	1222	729	1386	713	443	505	245	117	76	52	34	35	28	24	29	10	13	2	7	5	2	5	3	3	3	0	0	0	2	1	0	0	0	1	0	0	0	0	0
0.03	south33_active	80	14187	5475	1099	3609	632	252	1226	583	343	451	196	57	29	24	16	11	12	12	27	3	7	1	4	3	1	1	1	2	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	18432	7260	2727	3835	1177	693	1266	658	426	506	221	100	73	58	35	37	29	26	25	10	9	5	7	5	1	5	1	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	13051	5032	1020	3295	612	232	1098	495	320	429	167	47	28	27	14	10	15	14	23	4	4	1	4	3	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	17408	6878	2730	3561	1145	684	1164	604	407	479	206	99	61	65	34	31	27	21	25	10	7	7	3	4	6	5	1	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south35_active	80	11785	4558	979	2974	586	214	987	425	295	392	142	42	17	26	11	8	14	11	24	4	2	2	1	2	5	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	16481	6568	2620	3244	1100	651	1042	574	377	429	210	99	63	59	41	34	26	24	22	10	6	9	2	2	8	5	3	6	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south36_active	80	10640	4153	892	2597	521	171	846	382	260	333	139	34	18	22	11	6	13	12	20	4	1	2	1	0	7	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	16289	6430	2585	3204	1107	655	1053	583	393	421	212	102	65	55	37	35	29	15	27	13	7	7	3	2	10	2	5	2	0	1	3	1	2	0	0	0	0	0	0	1	0	0	1
0.03	south37_active	80	10459	3983	857	2523	503	165	850	385	280	328	140	44	21	21	8	11	12	7	24	3	1	2	1	0	9	1	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	16275	6398	2593	3095	1129	693	1011	576	415	355	209	111	77	55	41	32	29	16	24	10	7	8	4	3	7	1	5	4	0	12	2	0	2	0	0	0	0	0	0	1	0	0	1
0.03	south38_active	80	10458	3987	908	2445	501	171	807	385	309	280	145	44	26	27	10	8	12	9	21	3	2	3	1	0	6	1	2	3	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	16252	6335	2700	3075	1129	717	973	540	406	377	193	121	83	50	37	31	30	18	27	11	10	8	7	3	6	1	5	4	0	15	2	0	2	0	0	0	0	0	0	1	0	0	0
0.03	south39_active	80	10508	3960	972	2428	506	174	768	369	301	301	141	52	34	26	10	11	14	10	24	4	3	2	2	0	6	1	2	2	0	13	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	16420	6303	2774	3038	1130	742	944	476	388	313	178	108	88	58	39	32	30	19	26	7	9	8	8	2	7	1	2	3	4	15	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south40_active	80	10636	3958	990	2446	533	196	739	323	260	238	127	44	36	28	13	11	15	12	23	4	3	2	4	0	7	0	0	1	4	13	1	0	0	0	0	0	0	0	0	0	0	0	0
