label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168
0.03	north1_all	80	6139	1910	1567	2034	872	782	1076	1155	317	231	617	274	235	399	174	251	132	123	292	103	81	96	99	71	88	91	73	70	68	70	107	62	43	59	64	56	54	34	27	49	27	25	14	21	41	15	9	18	11	13	10	24	22	10	8	5	10	23	7	14	4	5	8	7	13	17	7	6	4	5	2	4	4	6	4	7	0	1	6	10	4	1	4	0	7	8	1	3	4	2	0	2	3	1	1	0	6	0	3	0	0	2	1	0	0	1	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3639	965	919	1288	509	424	670	724	153	103	430	141	132	264	87	154	66	51	199	54	39	50	59	30	58	55	38	39	43	39	80	39	25	42	50	34	27	18	14	36	17	13	7	13	18	2	2	10	8	9	5	10	12	5	6	2	5	17	4	9	2	3	5	4	9	14	7	6	0	3	2	1	1	4	1	4	0	1	3	7	2	1	3	0	5	6	1	2	2	0	0	1	2	0	0	0	6	0	3	0	0	2	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6068	1944	1560	2043	867	760	1052	1189	324	250	554	266	254	386	166	249	131	122	263	109	77	91	101	73	86	94	67	74	63	81	109	51	53	56	77	69	53	33	27	55	28	23	15	21	39	13	14	13	11	11	7	18	22	7	5	6	9	22	5	16	3	6	8	5	9	19	7	6	4	6	2	4	6	5	4	7	1	1	5	4	5	0	5	0	7	9	1	3	2	2	0	2	2	2	1	1	6	1	3	0	0	2	4	0	2	0	2	1	3	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3549	972	908	1274	484	432	661	799	146	110	372	143	140	255	87	157	61	51	181	58	41	45	62	29	54	59	33	43	44	43	73	29	35	34	54	45	29	20	13	37	18	14	5	11	17	4	6	6	5	7	3	5	9	3	3	1	5	15	4	9	1	3	4	3	6	14	7	6	0	3	1	1	1	3	1	5	1	0	3	4	3	0	4	0	5	7	1	3	1	0	0	1	2	0	0	1	6	0	3	0	0	2	3	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5931	1916	1560	2021	874	776	1085	1024	311	246	550	276	261	360	171	256	120	121	241	110	71	81	99	61	95	84	72	53	54	79	99	45	52	53	75	71	42	27	28	57	25	17	15	21	31	12	10	14	15	11	7	15	21	13	9	11	8	22	3	15	4	9	6	5	11	14	5	8	6	6	1	3	5	4	4	5	2	2	6	2	6	1	4	0	3	7	4	3	1	2	1	3	0	2	0	1	7	1	3	0	0	2	3	0	2	1	1	1	2	1	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	3438	946	883	1289	472	441	683	673	129	102	371	158	143	229	98	165	62	57	156	57	37	34	63	20	59	49	34	28	40	46	62	25	34	27	53	50	20	14	13	38	14	11	3	14	13	4	4	9	6	7	4	10	6	5	5	3	6	15	3	9	0	4	2	3	8	10	5	7	2	2	0	1	0	2	0	4	2	0	4	2	4	0	3	0	1	5	4	3	0	0	0	3	0	0	0	1	6	0	3	0	0	1	2	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	5675	1871	1531	1882	862	713	1088	1019	303	251	518	244	236	356	146	243	106	119	232	105	73	88	89	64	95	79	70	42	61	70	92	53	51	61	63	64	42	22	26	58	23	15	17	27	28	13	15	12	15	11	9	23	18	16	8	9	10	12	2	16	4	9	6	7	16	15	9	9	9	5	1	1	4	3	2	5	3	2	5	2	7	2	3	2	2	1	5	1	2	0	1	2	0	3	0	3	7	2	2	0	0	1	3	0	5	1	3	0	2	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	3216	904	868	1194	455	404	684	686	120	119	330	142	141	220	82	150	54	62	147	49	32	40	54	22	54	51	30	18	45	38	58	32	25	36	40	50	17	10	14	40	12	7	4	17	12	4	8	6	5	8	7	16	5	8	4	3	6	7	2	10	0	5	3	3	8	10	7	8	6	2	0	1	0	1	0	3	3	0	3	2	4	1	2	2	1	1	4	1	1	0	0	2	0	0	0	3	6	1	2	0	0	0	2	0	2	0	3	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	5412	1856	1443	1762	824	684	1011	913	285	236	517	236	213	318	160	224	113	126	209	87	73	87	81	55	84	82	57	34	59	66	90	53	48	55	64	54	49	25	33	53	21	12	16	23	27	15	16	16	12	12	12	24	17	18	8	10	7	6	3	15	3	6	5	6	21	10	6	11	10	3	1	1	5	2	1	2	4	2	4	1	6	2	3	3	1	1	5	0	2	0	1	4	2	1	0	3	1	1	0	0	0	1	0	0	3	1	3	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	3079	867	789	1108	426	376	630	578	114	108	328	131	126	184	89	135	51	63	133	41	28	42	46	22	43	50	24	14	40	33	65	33	24	27	43	36	21	13	19	37	8	3	4	15	9	2	9	12	5	9	10	14	10	10	3	3	4	2	2	8	0	4	2	2	12	5	3	7	6	1	0	1	0	1	0	0	4	0	2	0	2	1	1	2	0	1	4	0	1	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
