label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155
0.03	south30_all	80	2302	1083	673	666	966	377	215	183	175	410	127	129	104	312	248	199	208	69	155	81	101	50	36	50	77	113	68	34	20	24	29	32	26	41	23	18	15	21	14	12	20	13	13	11	10	9	8	8	9	23	9	4	8	9	16	6	4	6	4	8	6	7	5	1	4	3	17	5	3	1	3	3	1	6	10	2	2	3	12	0	5	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south30_active	80	1161	530	325	377	650	199	97	84	81	283	59	59	45	208	167	117	157	31	103	51	72	25	14	37	53	82	42	21	12	14	16	11	16	25	9	9	9	6	8	8	17	9	4	4	4	5	5	4	3	20	4	3	6	5	9	2	3	5	1	7	4	7	3	0	4	2	15	2	0	1	3	0	0	3	3	1	2	2	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	2263	1125	639	740	1066	392	256	173	175	414	127	116	92	330	247	221	248	95	136	62	131	46	45	51	74	95	58	63	28	22	17	25	47	56	22	13	14	9	12	5	20	21	21	13	9	12	6	2	12	26	1	10	1	8	21	3	2	17	6	9	4	3	4	3	9	4	8	3	0	1	5	2	0	4	3	1	1	0	2	0	2	2	4	2	0	1	1	0	4	2	1	1	0	0	1	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	1145	575	315	427	681	209	119	73	78	260	64	52	40	213	165	130	168	46	104	29	90	18	25	34	42	62	32	33	16	13	10	14	25	41	15	4	7	6	11	2	14	8	11	8	3	8	4	1	9	12	0	6	1	3	18	1	2	15	5	7	3	1	2	1	4	3	7	2	0	0	2	0	0	3	1	1	0	0	2	0	2	0	3	0	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	2190	1089	612	657	911	370	265	176	152	376	127	127	91	256	238	168	211	91	118	70	137	35	41	45	60	99	48	49	23	24	19	27	36	45	24	14	17	7	9	9	21	17	21	9	11	13	9	2	13	14	0	6	1	7	19	5	1	25	2	11	4	6	6	4	7	3	5	3	1	1	5	2	1	1	4	1	0	1	1	0	1	1	3	0	0	0	1	0	5	2	0	2	0	0	1	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	1093	534	299	383	555	186	119	79	62	254	64	55	39	156	159	119	138	39	88	39	94	12	21	30	34	64	21	28	13	13	9	13	21	34	16	5	10	6	7	4	17	5	14	4	2	9	7	0	8	6	0	3	1	4	16	2	1	20	1	8	2	1	5	1	3	1	5	2	1	0	2	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	2090	1021	596	614	817	338	264	193	155	332	118	122	98	217	203	129	186	87	96	50	96	37	42	44	62	105	47	47	21	22	21	25	27	30	18	14	18	11	10	10	20	12	15	7	13	9	9	5	6	11	4	4	2	10	13	8	2	25	2	5	4	7	5	3	4	3	5	1	1	1	4	3	2	2	4	3	0	2	2	0	1	1	3	0	0	0	0	0	2	1	0	1	0	0	0	1	1	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	982	467	296	346	488	177	120	81	79	220	49	55	41	129	137	82	117	37	67	26	61	10	21	27	30	67	19	29	10	9	12	12	13	22	10	6	9	6	7	5	15	6	9	4	2	5	6	1	3	3	2	2	2	5	10	5	0	20	1	4	2	2	4	1	2	1	5	0	1	1	2	1	2	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	2078	998	585	554	715	333	255	214	157	331	136	113	89	208	148	147	155	78	90	53	82	35	34	31	65	95	43	40	26	22	21	31	25	34	15	12	18	14	9	10	18	13	9	7	13	5	9	10	4	11	4	4	3	9	6	7	2	16	1	3	5	6	4	2	4	2	7	0	1	1	2	1	3	1	2	4	1	3	2	2	1	1	2	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	967	458	273	300	409	174	105	101	77	215	49	50	35	115	97	94	71	34	57	30	57	10	17	20	41	58	17	25	13	6	11	17	11	22	8	5	9	4	6	5	9	7	6	4	4	2	6	4	1	4	2	2	3	5	3	4	0	9	1	2	2	2	3	1	1	1	7	0	1	1	2	1	3	1	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
