label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170
0.03	north1_all	80	9706	2971	1476	1058	1150	660	1967	1422	460	345	413	230	309	219	191	149	157	374	149	108	181	89	311	75	95	176	83	57	176	74	111	114	50	92	151	33	84	39	42	28	29	65	20	19	19	18	34	16	14	10	19	11	44	34	22	8	8	4	10	8	7	8	9	9	4	17	3	3	6	6	7	0	4	9	4	9	4	10	3	17	8	0	4	3	7	0	4	0	3	0	2	2	1	1	1	0	1	0	2	0	5	2	0	8	0	8	0	0	0	1	0	0	0	0	0	2	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7898	1894	329	403	756	150	1787	1254	232	142	266	81	183	117	102	56	81	342	87	40	150	35	290	24	53	151	47	35	155	53	98	98	21	74	146	14	73	25	32	14	6	57	5	8	2	5	26	4	2	4	6	5	39	29	15	3	6	3	8	3	1	5	5	8	1	15	0	2	5	3	2	0	3	8	2	6	2	7	1	16	8	0	1	1	5	0	0	0	2	0	0	1	0	0	1	0	1	0	1	0	5	1	0	8	0	8	0	0	0	1	0	0	0	0	0	2	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9809	2957	1446	1051	1100	633	2077	1461	478	348	409	245	316	226	187	141	164	439	126	114	215	77	297	75	91	196	81	67	183	63	103	113	40	78	128	31	91	33	37	27	24	69	15	11	19	12	33	17	14	13	16	17	41	25	22	7	10	7	9	7	6	3	8	5	6	21	3	5	6	6	5	1	7	19	3	7	3	7	5	21	7	0	4	3	8	1	5	0	3	0	1	3	2	1	3	0	12	0	3	1	3	2	1	8	0	11	0	0	0	6	0	1	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	8021	1879	312	398	723	139	1902	1300	233	148	256	90	183	121	99	60	78	404	70	44	177	29	271	24	55	167	51	38	167	48	94	95	17	57	122	13	80	19	27	16	7	62	5	2	3	4	27	3	2	3	3	7	35	22	16	2	5	7	7	3	2	2	6	4	1	16	0	2	4	3	1	0	6	18	1	3	3	6	1	20	7	0	1	1	5	0	0	0	2	0	0	1	0	0	3	0	12	0	1	1	3	1	1	8	0	11	0	0	0	6	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9758	2932	1457	1085	1026	596	2037	1388	455	348	384	239	303	221	182	155	169	594	116	108	246	82	273	80	92	185	73	69	189	73	86	105	38	77	132	36	87	38	40	36	21	61	18	15	17	8	28	18	15	11	19	19	47	34	21	10	13	12	6	5	9	4	8	12	7	14	3	5	16	4	5	3	6	15	4	7	3	10	5	9	9	1	4	3	9	1	3	0	1	0	1	1	3	1	4	0	12	0	2	1	3	1	1	4	0	11	0	0	0	6	0	3	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7930	1847	323	403	652	140	1859	1248	202	139	244	85	187	126	87	61	79	555	63	43	204	26	248	25	50	149	40	31	166	63	71	89	17	59	126	14	80	24	31	23	4	54	8	2	3	4	22	4	2	3	7	9	42	28	19	1	5	10	5	1	3	2	7	10	1	9	0	2	12	2	0	0	4	13	0	3	3	9	1	8	9	0	1	1	7	0	0	0	1	0	0	0	0	0	4	0	12	0	1	1	3	0	1	4	0	11	0	0	0	6	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9844	2971	1455	1079	955	599	2131	1437	463	328	365	247	262	209	170	167	180	619	115	104	232	85	298	77	87	188	80	69	171	71	82	98	32	109	141	38	82	39	37	25	18	51	20	17	16	11	44	14	14	12	17	22	39	29	21	8	13	14	7	5	9	7	5	22	5	13	5	5	27	2	2	3	5	13	6	6	2	7	2	11	4	2	2	2	9	1	2	0	0	0	0	2	2	1	6	1	12	0	1	1	3	1	2	4	0	16	1	0	0	5	1	3	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7940	1900	328	391	591	145	1951	1293	214	128	223	88	160	114	83	60	77	577	68	34	189	20	277	29	46	147	50	32	149	59	66	79	15	92	131	18	76	28	26	18	4	45	5	3	5	7	34	2	3	5	10	8	35	26	17	1	2	10	3	1	6	5	5	19	0	8	1	3	24	1	0	0	4	12	1	2	2	5	0	9	4	0	0	0	7	0	0	0	0	0	0	1	0	0	6	0	12	0	0	1	3	0	2	4	0	16	0	0	0	5	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9716	2951	1501	1045	1038	615	2029	1510	439	337	375	236	261	221	164	177	186	580	131	102	228	89	361	78	86	190	78	68	162	67	95	77	35	98	184	35	63	44	39	25	21	33	18	16	23	16	50	12	19	11	18	21	27	36	19	7	13	11	10	3	10	8	8	28	7	5	3	4	26	5	2	5	3	5	7	3	2	18	1	4	12	2	0	2	5	1	0	0	1	0	1	3	1	1	4	1	4	1	1	1	3	1	1	0	0	5	4	0	0	1	1	2	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7793	1892	331	375	608	146	1857	1380	209	134	241	79	167	126	73	62	77	530	71	25	179	18	337	28	42	158	48	31	142	50	73	62	16	86	171	16	55	37	27	18	11	27	5	4	9	8	39	3	4	5	8	8	20	32	15	1	1	6	5	1	6	6	6	25	0	4	1	2	24	2	0	1	1	4	1	1	0	17	0	3	12	0	0	0	3	0	0	0	1	0	0	3	0	0	4	0	3	0	0	0	3	0	1	0	0	5	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
