label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	north1_all	80	5818	2637	1589	1288	1083	805	530	463	305	326	190	208	138	124	129	139	60	67	71	75	39	35	57	44	23	32	29	35	31	21	19	11	14	13	11	8	9	10	2	4	6	4	8	2	4	5	3	4	0	1	2	3	1	2	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north1_active	80	2767	1206	705	687	674	522	270	243	151	173	76	91	47	65	81	85	24	40	41	45	12	17	36	19	9	16	12	22	19	11	7	4	6	10	5	2	7	7	2	2	1	1	2	1	1	2	0	0	0	0	2	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	5868	2657	1559	1282	1095	803	551	441	336	354	212	198	151	123	135	136	86	90	81	79	45	37	49	47	29	30	32	32	20	18	15	17	15	17	13	9	9	9	6	5	7	4	6	4	5	4	1	4	0	1	2	2	0	2	2	1	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	2771	1231	683	685	714	532	276	217	169	183	78	88	50	61	81	88	28	55	49	49	18	16	32	22	12	15	12	22	10	8	7	4	5	7	8	4	5	7	3	3	1	1	2	3	1	1	1	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5780	2664	1569	1331	1115	810	551	447	362	341	197	189	146	109	140	140	84	86	90	69	40	34	40	40	23	36	27	23	17	15	14	19	14	16	13	7	12	13	6	5	6	5	4	5	3	5	1	5	1	1	1	2	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	2695	1236	697	740	723	528	276	228	185	181	66	88	55	50	79	95	29	53	53	46	18	12	20	16	11	21	12	13	9	7	6	2	5	6	7	4	10	8	3	2	1	3	0	3	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5853	2718	1580	1307	1123	811	556	427	396	305	197	201	149	122	139	130	82	103	90	80	47	37	43	49	24	36	31	23	17	19	13	16	14	19	12	10	10	8	6	10	5	4	3	5	4	4	3	2	1	0	1	2	0	0	0	2	1	0	1	0	2	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
0.03	north4_active	80	2718	1240	714	731	734	501	279	215	212	171	65	97	67	58	73	87	25	64	53	49	20	13	25	22	11	24	12	14	9	11	6	2	6	9	7	5	7	4	2	7	1	4	0	3	1	1	3	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	5776	2753	1616	1332	1105	824	538	454	406	293	185	205	148	136	146	148	83	91	89	71	44	45	48	45	18	30	33	19	20	17	17	18	9	14	11	12	7	13	4	8	8	6	5	4	6	1	2	3	2	1	2	2	0	1	0	3	2	1	1	0	1	1	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
0.03	north5_active	80	2673	1249	702	748	715	507	263	249	228	168	58	100	67	69	75	96	32	55	47	40	22	16	29	22	8	20	15	8	11	12	7	6	2	8	6	6	5	9	2	5	3	5	0	2	4	0	2	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
