label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north1_all	80	6081	2619	1473	1128	773	742	453	514	348	308	201	193	205	140	113	91	102	78	79	80	45	31	48	32	43	29	25	30	27	22	17	17	10	16	5	7	12	5	4	6	6	4	2	1	2	3	3	1	0	4	0	0	1	2	2	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2981	1254	646	545	365	410	220	260	176	145	89	81	96	68	48	28	47	46	42	36	20	12	24	17	23	16	12	15	18	9	9	7	6	7	3	3	8	2	2	3	0	1	2	1	2	2	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6083	2591	1454	1163	809	742	436	538	361	321	200	198	197	144	106	94	109	83	71	64	46	36	43	44	34	24	26	32	23	21	16	20	11	14	8	6	17	7	7	9	5	7	1	4	1	4	2	1	0	4	0	0	1	1	2	1	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2989	1243	628	554	381	396	203	272	182	141	88	77	103	74	42	34	59	47	36	29	20	17	19	24	18	16	14	17	12	7	12	10	10	7	3	3	14	3	3	2	1	3	1	2	1	3	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6126	2533	1480	1174	817	734	420	552	340	310	192	192	173	146	103	92	101	77	74	59	58	48	41	38	35	15	26	30	25	16	20	21	12	11	13	7	17	6	6	8	7	7	3	5	2	6	1	1	1	3	0	0	1	1	2	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2998	1237	657	565	385	372	197	290	158	151	78	75	83	74	38	41	53	42	32	29	28	24	20	22	18	8	16	15	12	3	13	9	8	5	6	3	14	3	3	2	2	5	1	3	2	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6199	2500	1478	1199	840	746	425	507	361	322	204	189	163	141	98	102	108	84	82	52	53	47	39	40	25	19	27	24	21	18	20	16	13	15	12	4	11	4	5	10	8	6	2	8	4	4	7	1	2	4	1	0	2	1	0	0	0	0	2	0	1	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3059	1207	660	561	397	357	211	261	168	153	82	81	82	66	40	53	63	40	38	28	27	24	19	21	11	8	14	14	6	5	12	6	7	6	5	1	9	2	2	2	4	4	0	6	3	3	6	1	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6060	2598	1443	1165	825	752	442	484	363	335	192	189	171	145	94	108	101	97	81	59	53	47	51	41	18	21	26	19	20	24	21	21	12	9	8	8	8	3	6	11	6	6	3	6	3	2	6	1	2	3	3	2	2	1	0	0	0	0	2	1	1	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2938	1243	645	538	365	363	228	231	182	168	85	91	82	65	40	58	61	54	41	31	25	22	25	21	8	10	11	10	6	10	11	10	2	4	5	3	6	1	4	4	4	5	0	5	2	1	6	1	2	2	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
