label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	north1_all	80	5769	2634	1634	1321	1067	766	557	510	332	297	192	188	135	130	146	148	76	90	78	81	42	39	50	46	27	29	23	36	30	20	15	8	16	14	9	8	9	9	6	8	8	4	7	1	2	3	6	3	2	2	1	2	2	1	2	0	0	1	0	1	0	1	0	0	2	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	2661	1140	715	759	769	494	268	291	170	157	63	90	32	63	87	105	24	65	45	54	12	16	32	23	12	14	11	28	19	14	10	1	12	8	6	2	7	7	3	6	4	3	2	1	0	2	4	2	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5837	2661	1606	1335	1136	812	534	498	337	307	197	174	143	143	143	147	99	106	81	84	39	35	39	37	23	36	21	34	25	16	15	8	18	14	11	6	12	9	5	9	9	4	6	3	4	2	7	6	1	3	1	1	0	1	2	0	0	1	0	0	0	2	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2642	1173	694	774	816	535	255	267	161	170	65	79	36	68	83	109	32	71	46	54	10	13	23	21	8	17	11	25	17	11	8	2	12	8	5	1	7	8	2	8	3	3	1	2	0	1	3	4	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5778	2615	1591	1361	1127	815	535	494	347	287	185	168	151	136	149	129	94	98	85	81	37	32	40	28	20	37	21	23	26	15	18	10	19	15	7	4	15	12	7	4	6	4	6	3	3	3	6	7	2	3	1	2	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	2570	1156	703	795	814	549	277	276	174	148	61	75	39	68	81	100	27	67	47	52	10	12	24	15	3	15	11	16	15	7	10	4	10	11	3	2	7	10	3	4	1	4	2	2	0	2	1	5	1	0	1	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	5825	2652	1597	1392	1133	816	513	455	357	277	195	179	144	148	151	127	95	109	89	89	44	42	43	34	25	38	24	31	26	18	16	11	25	17	11	5	12	7	6	5	5	4	4	4	3	3	4	7	3	4	0	3	0	0	0	1	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	2593	1164	691	819	805	535	261	267	177	148	69	82	37	74	82	98	27	80	43	60	10	17	25	19	9	18	10	22	15	5	9	6	15	14	4	2	6	6	2	3	0	3	1	3	0	1	0	5	1	1	0	3	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	5881	2658	1656	1381	1059	808	515	435	379	278	205	170	138	146	164	127	91	106	86	80	44	48	51	39	24	33	28	24	21	17	15	10	21	13	11	7	9	7	5	6	4	10	3	3	2	2	3	6	4	5	3	4	1	1	1	1	2	2	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	2668	1155	670	823	738	542	268	247	200	142	61	79	39	73	85	91	29	77	43	58	9	16	25	18	11	16	11	18	12	5	7	6	14	10	4	3	6	5	1	4	0	8	1	3	0	1	0	4	2	1	3	3	0	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	5946	2686	1680	1332	1038	809	525	439	374	306	219	172	142	145	141	130	85	106	77	82	48	46	50	49	31	33	32	35	17	12	18	13	19	12	11	8	8	5	2	9	4	11	1	3	4	2	1	3	5	4	3	2	1	1	1	1	2	2	0	1	1	2	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2712	1183	696	796	723	559	274	231	194	173	68	80	42	65	70	78	37	79	40	56	16	18	32	25	15	17	10	24	8	3	12	6	13	8	5	3	6	3	0	7	0	9	0	1	1	0	0	2	3	1	3	1	0	1	0	0	2	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5948	2682	1659	1287	1016	823	551	452	371	304	230	168	148	143	137	122	82	107	73	65	47	46	46	44	33	23	31	28	14	14	18	16	15	10	8	8	8	7	3	7	5	9	4	3	4	3	2	2	3	3	3	3	1	2	1	0	3	2	0	1	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2737	1186	671	752	706	568	275	250	179	175	74	79	44	69	74	73	36	80	36	42	19	22	28	20	15	12	11	16	7	4	11	5	12	5	3	4	6	4	1	7	1	7	1	1	1	1	0	1	3	1	3	1	0	1	0	0	2	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5987	2607	1634	1285	1067	805	562	448	374	306	220	180	152	145	114	128	80	96	63	64	53	47	42	42	32	24	22	30	13	11	15	14	11	18	8	10	7	6	7	4	5	3	6	3	3	3	2	2	3	2	3	2	1	2	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2728	1162	669	733	769	566	277	257	183	180	62	74	45	70	64	76	32	71	34	40	21	20	28	18	14	10	7	18	5	5	12	2	8	11	4	5	4	4	4	4	2	2	2	0	1	1	0	1	2	0	3	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5989	2537	1596	1255	1089	836	553	445	361	321	212	189	145	141	130	145	83	99	75	59	51	48	43	28	36	21	20	26	22	19	17	11	13	16	10	11	13	6	7	5	7	4	8	6	2	3	3	3	4	1	0	1	1	2	0	2	1	1	0	0	0	2	2	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2715	1119	638	732	774	581	272	267	164	180	74	82	38	70	79	101	25	69	44	36	20	20	25	10	16	10	7	15	14	10	9	2	9	11	5	5	9	4	5	5	3	2	3	4	0	1	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5962	2589	1557	1322	1113	836	553	429	360	296	215	186	147	133	132	157	96	108	86	56	55	51	43	30	30	24	15	23	24	21	15	9	16	15	9	15	9	8	8	9	6	6	4	6	3	2	4	3	5	1	4	2	3	5	0	3	1	1	0	0	0	2	2	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2668	1167	610	762	800	571	270	270	168	160	64	82	49	63	80	114	28	71	54	36	25	19	24	13	11	12	3	18	14	14	5	3	12	11	4	8	6	6	5	6	2	3	2	5	1	0	0	1	2	0	3	1	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	5961	2627	1637	1303	1110	803	515	464	303	308	211	195	127	157	128	145	73	89	69	75	56	47	44	39	25	27	21	22	22	30	13	9	10	19	8	9	12	11	6	9	4	11	5	6	2	5	0	7	3	0	2	2	1	2	1	1	1	2	0	2	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0
0.03	north11_active	80	2697	1164	703	708	782	563	264	272	152	175	69	81	42	62	81	102	26	51	36	38	25	12	25	19	13	9	12	16	14	14	4	4	7	14	2	4	6	8	2	7	1	8	2	3	0	1	0	5	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north12_all	80	5885	2597	1636	1273	1105	840	485	465	314	289	217	211	129	176	127	135	69	87	67	82	56	49	46	35	24	29	26	31	20	25	12	9	11	14	8	6	10	15	4	7	6	10	5	6	2	5	1	7	2	0	2	2	0	1	2	1	2	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0
0.03	north12_active	80	2682	1159	691	713	781	590	233	275	162	159	69	83	46	70	83	103	29	45	42	46	23	14	27	19	10	10	14	21	11	13	2	3	6	9	1	3	5	11	1	4	1	6	1	4	0	1	0	5	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north13_all	80	5902	2613	1568	1281	1095	830	462	449	331	284	219	210	139	179	124	125	62	74	67	90	68	52	49	43	27	38	30	29	16	21	15	14	15	13	8	4	6	9	5	9	6	12	5	4	1	5	2	4	2	0	6	2	2	0	2	1	2	1	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
0.03	north13_active	80	2618	1137	652	722	785	572	226	244	179	152	70	81	49	78	81	89	28	43	40	52	26	11	30	26	12	13	12	18	8	14	7	6	10	8	1	2	2	7	3	4	2	8	1	2	0	1	0	1	1	0	5	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north14_all	80	5830	2645	1540	1277	1127	819	467	442	348	271	216	207	148	183	136	112	73	86	68	81	58	51	50	48	26	38	29	29	16	17	12	14	11	7	9	7	3	8	5	10	8	13	6	3	1	2	3	4	5	0	5	0	2	1	2	2	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north14_active	80	2622	1150	641	715	801	576	223	236	182	146	78	86	45	82	85	78	30	55	43	44	19	14	32	29	10	19	8	20	9	13	6	4	6	3	2	2	2	7	4	6	3	9	1	2	1	1	0	3	2	0	5	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5849	2597	1601	1262	1151	766	482	446	374	264	225	190	136	169	132	117	80	95	59	86	56	50	43	53	30	36	28	25	20	13	18	20	14	13	13	8	5	7	7	5	7	14	4	4	1	4	3	4	4	0	4	1	2	1	1	1	0	0	1	2	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
