label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84
0.03	north11_all	80	6111	2535	1512	1108	820	713	446	521	389	292	233	158	166	174	108	106	103	101	85	70	51	42	47	35	26	27	19	27	16	12	11	11	10	11	14	7	18	7	8	4	1	4	6	7	3	2	0	4	2	1	1	6	3	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	3100	984	463	513	300	420	149	352	210	130	78	49	86	78	40	41	56	65	51	21	20	22	27	17	8	11	10	13	9	5	6	5	7	6	10	4	15	3	0	0	0	1	1	4	2	2	0	2	1	1	0	3	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6113	2568	1524	1120	824	713	473	509	403	293	234	166	168	162	97	94	97	102	71	60	60	44	57	43	29	27	24	27	12	10	12	9	10	14	9	8	17	6	6	5	0	5	5	6	3	2	1	6	2	0	1	5	2	0	1	0	3	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	3105	984	432	531	301	421	166	346	216	151	84	55	80	76	32	39	41	67	38	19	24	17	34	23	14	9	13	12	4	5	7	5	8	9	6	3	15	3	0	1	0	2	1	2	2	2	1	4	1	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6112	2575	1472	1150	814	752	491	531	415	277	229	188	166	165	98	84	94	92	74	59	62	45	58	48	37	19	22	25	19	16	14	12	8	16	9	8	16	4	7	5	1	4	3	9	2	3	1	5	2	0	1	3	5	1	1	0	2	0	0	2	3	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north13_active	80	3055	988	412	521	306	463	171	364	237	132	89	65	80	79	34	47	43	63	38	19	23	20	40	28	14	7	12	7	10	8	7	5	7	11	5	2	13	1	1	1	1	2	1	3	1	2	1	3	1	0	1	1	3	1	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6047	2604	1474	1225	814	710	491	525	407	300	223	181	178	167	95	89	85	103	72	57	56	43	57	46	33	26	24	24	22	23	16	13	11	15	9	8	9	3	8	5	5	4	4	4	2	1	2	5	3	1	3	1	5	4	1	0	2	0	0	3	3	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north14_active	80	3020	987	405	564	320	442	181	350	242	158	82	66	91	78	29	47	37	74	35	19	22	18	37	28	13	10	12	9	14	12	8	2	6	9	4	2	5	0	2	2	3	2	1	1	0	0	2	3	2	0	2	1	3	2	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	6080	2561	1482	1213	835	708	477	532	372	296	235	194	160	151	97	96	87	104	85	68	62	44	45	40	37	28	23	23	30	25	21	14	10	16	9	8	8	3	8	4	8	5	5	4	4	1	2	5	4	4	4	1	4	4	1	0	1	0	0	3	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2988	972	415	551	333	447	180	350	223	159	86	73	74	69	30	47	45	77	37	22	22	16	29	21	14	14	9	13	23	12	13	2	5	12	3	2	3	1	2	2	5	2	1	2	0	0	2	2	3	3	3	1	3	2	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
