label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	north1_all	80	5818	2732	1558	1305	1018	779	512	472	319	369	210	176	126	128	152	124	71	81	72	73	40	42	51	33	35	31	30	29	28	17	11	8	14	18	13	14	11	11	3	9	7	3	6	1	1	3	8	4	0	2	1	2	2	3	1	1	0	1	0	2	1	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north1_active	80	2773	1258	671	679	624	461	280	272	161	193	86	94	41	48	78	81	33	52	38	49	14	27	32	16	15	17	11	20	13	11	4	3	10	10	5	7	6	6	1	7	0	1	2	0	1	2	4	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north2_all	80	5818	2714	1560	1251	1003	764	518	434	332	357	224	183	137	122	138	137	99	95	73	76	35	38	39	30	31	27	33	27	23	17	16	14	13	21	9	12	9	6	7	10	8	3	7	3	3	3	9	4	0	3	1	2	0	3	1	2	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2784	1232	701	668	614	462	272	245	175	174	85	94	46	48	75	89	50	56	38	50	11	19	23	16	12	14	10	20	14	11	8	3	9	14	4	6	4	5	2	7	3	1	2	1	2	2	4	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5807	2716	1539	1218	1008	768	530	436	348	358	209	190	133	111	136	146	99	99	71	77	33	37	32	35	30	33	25	22	26	19	20	18	13	19	7	7	12	9	9	6	6	4	7	5	3	3	6	4	1	4	1	2	0	1	1	1	0	1	0	1	1	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2774	1182	675	647	604	447	267	227	184	179	83	97	42	45	72	97	48	65	34	46	12	12	17	16	12	16	7	16	19	12	10	3	11	11	2	5	6	5	2	4	3	3	4	3	2	2	3	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5835	2668	1572	1248	1087	759	504	435	357	291	209	206	144	109	131	132	100	100	70	72	36	42	33	39	32	35	26	22	22	22	20	18	13	18	6	8	10	5	9	9	6	3	8	5	3	1	5	4	1	2	0	1	1	0	1	2	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2776	1169	696	644	665	440	232	228	192	145	83	112	41	52	68	87	52	62	31	41	16	13	16	16	14	21	12	13	17	13	8	4	11	10	2	3	6	0	3	5	4	3	5	3	1	1	1	4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5910	2586	1613	1286	1097	791	530	460	363	294	199	206	150	108	147	126	87	96	73	66	42	47	40	48	26	35	26	18	22	22	21	19	9	13	6	10	9	8	8	9	6	5	7	4	4	1	2	4	3	2	0	1	1	1	1	2	2	2	2	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2770	1130	701	669	685	457	268	246	190	149	83	107	42	45	80	79	44	60	32	39	20	17	23	16	12	19	11	9	14	13	10	6	7	6	3	3	6	1	3	6	5	4	4	2	0	1	0	4	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
