label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	north9_all	80	5939	2611	1539	1205	963	831	502	468	351	314	229	193	149	141	130	136	81	86	87	56	57	51	46	35	28	29	17	17	20	30	14	17	10	17	6	11	10	7	6	5	3	6	7	6	3	4	3	3	1	2	1	0	1	2	1	3	0	1	0	1	0	0	2	2	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2855	1230	729	617	523	472	269	214	178	133	108	97	60	65	60	70	43	46	39	26	17	26	23	16	13	11	9	9	12	15	8	7	5	8	3	4	4	4	3	4	1	1	3	2	2	3	1	1	0	2	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5903	2609	1568	1297	982	817	529	432	367	315	212	198	149	137	133	127	77	90	85	65	47	43	46	35	19	32	17	18	23	28	16	14	11	16	7	7	9	7	8	6	3	7	5	5	2	2	4	3	1	2	1	1	1	1	0	3	0	2	1	1	0	0	1	2	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2800	1225	743	645	536	468	280	203	186	146	89	102	65	61	63	65	38	41	38	30	15	22	23	18	7	15	8	9	14	13	8	6	7	8	2	5	5	6	4	4	1	1	3	1	2	1	2	2	0	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	5801	2712	1622	1321	1081	805	538	458	368	315	210	167	140	123	102	131	65	105	72	62	62	38	43	36	28	26	25	23	18	29	19	10	18	14	10	9	14	10	5	4	4	7	3	3	4	2	4	7	2	0	2	2	1	0	2	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north11_active	80	2811	1316	755	703	594	435	267	237	183	155	90	74	50	55	41	78	36	58	42	27	27	18	23	17	11	15	14	10	6	12	10	7	6	2	3	3	7	2	2	1	3	4	1	2	1	0	2	6	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_all	80	5785	2692	1609	1274	1064	833	530	451	355	304	209	200	144	131	103	139	80	107	67	70	57	37	45	30	26	32	26	28	18	29	20	11	15	13	9	8	13	6	3	3	4	8	2	1	5	2	4	3	1	0	2	2	3	1	2	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north12_active	80	2776	1288	728	633	574	448	267	225	181	156	99	74	54	62	41	74	42	61	32	26	19	20	23	14	11	20	14	15	7	12	11	7	8	3	3	3	7	0	1	0	1	4	1	0	2	0	3	3	0	0	1	2	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	5852	2688	1592	1256	1065	793	508	431	336	300	201	208	152	149	127	116	78	107	64	70	60	40	41	31	25	33	26	32	16	26	15	13	13	14	8	6	15	5	5	3	3	10	0	3	6	0	6	2	2	0	2	1	3	1	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	2792	1237	708	630	582	425	252	212	169	156	98	79	65	69	56	56	36	56	31	30	21	22	21	16	11	20	13	20	7	9	5	8	8	7	5	2	8	0	3	0	0	5	0	0	2	0	5	2	1	0	1	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	5842	2628	1600	1271	994	783	531	469	362	306	192	216	160	146	129	118	83	110	62	69	51	45	47	32	21	31	22	29	14	20	12	18	8	13	10	5	10	8	5	5	4	7	0	3	3	0	7	0	4	1	2	0	4	1	0	4	3	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2758	1205	723	650	529	415	273	234	180	158	88	94	72	69	67	58	40	51	22	32	19	22	27	20	7	18	12	18	5	6	4	11	5	10	5	2	5	2	4	1	1	4	0	1	2	0	5	0	2	1	1	0	2	1	0	3	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5961	2585	1644	1261	1055	759	524	471	359	287	203	196	142	138	137	128	78	106	65	66	52	40	52	39	26	27	27	24	17	19	13	20	6	19	11	4	13	10	7	3	2	6	2	5	2	4	5	1	4	1	4	1	2	1	0	2	2	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2827	1190	748	660	569	406	271	230	168	143	90	97	69	65	71	70	33	48	29	34	22	18	25	20	10	19	17	13	7	8	4	12	1	14	5	1	9	6	4	1	1	2	0	2	1	3	4	0	2	1	1	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	5899	2663	1634	1250	1064	736	519	489	369	297	202	174	147	135	127	135	87	110	68	63	56	38	53	41	24	31	23	23	19	20	14	12	10	19	11	4	10	11	9	7	2	6	2	5	1	4	5	3	2	1	5	2	3	1	0	1	3	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	2793	1253	759	667	586	380	268	236	181	151	86	87	73	63	67	79	36	48	33	30	21	13	25	22	10	18	17	12	11	11	6	6	4	13	5	1	7	7	6	5	1	0	0	3	0	3	3	1	1	1	2	1	3	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	5854	2718	1600	1230	1072	742	503	444	340	284	197	177	152	147	144	140	94	99	68	69	49	39	59	40	26	31	22	17	20	27	16	8	10	21	12	5	8	9	9	9	6	7	4	5	1	4	3	4	0	1	5	2	3	2	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
