label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	59954	12126	8451	7335	2893	2301	1416	1625	649	493	848	327	488	391	146	186	69	61	57	37	64	14	27	9	15	9	8	3	4	1	2	2	0	3	2	1	1	2	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	36470	5441	4416	4469	1391	1262	699	956	298	218	554	170	347	249	75	125	36	25	23	25	40	6	13	2	8	4	8	1	4	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	59607	12242	8596	7358	2827	2340	1470	1640	663	481	873	324	479	356	155	191	66	67	49	42	69	20	28	11	16	13	6	6	4	2	2	3	0	1	2	2	1	1	1	0	0	1	0	0	0	0	0
0.03	north2_active	80	36218	5526	4551	4433	1360	1291	717	986	303	226	552	168	334	221	86	124	37	28	20	30	40	10	14	2	8	4	6	2	4	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	59570	12407	8488	7340	2850	2349	1488	1670	671	499	827	364	491	330	174	186	60	69	45	45	63	24	17	13	19	11	3	7	3	5	3	2	1	2	11	1	1	0	1	0	0	1	0	0	0	0	0
0.03	north3_active	80	36240	5628	4489	4420	1351	1282	745	1014	306	225	535	184	324	182	95	120	30	34	21	32	34	10	5	6	7	3	3	3	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	59813	12374	8438	7435	2894	2419	1467	1621	691	485	789	351	495	382	185	167	57	64	44	38	70	23	15	13	15	8	3	9	5	4	7	1	2	1	12	1	1	0	1	0	0	1	0	0	1	0	0
0.03	north4_active	80	36610	5623	4481	4485	1409	1321	733	975	319	213	471	189	306	237	105	111	32	37	17	23	28	10	7	7	3	2	2	5	2	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	59693	12343	8364	7426	2983	2457	1464	1667	675	495	689	362	546	385	167	159	60	62	53	43	59	21	20	18	13	6	4	8	4	4	8	1	2	1	12	0	0	0	4	0	0	1	0	0	1	0	0
0.03	north5_active	80	36448	5620	4475	4424	1446	1320	729	996	310	217	414	202	336	234	94	103	31	36	19	29	28	7	15	12	3	3	3	7	1	1	2	0	1	0	2	0	0	0	3	0	0	0	0	0	1	0	0
0.03	north6_all	80	59374	12309	8499	7390	3002	2483	1434	1652	688	504	790	371	533	371	160	169	61	57	52	36	51	12	20	16	11	5	4	7	5	3	7	3	1	1	2	1	1	0	3	0	0	0	0	0	1	0	0
0.03	north6_active	80	35964	5633	4524	4445	1471	1338	717	990	325	220	507	202	338	252	97	110	31	35	20	24	26	5	14	10	1	2	1	6	1	0	2	1	1	0	1	0	1	0	3	0	0	0	0	0	1	0	0
0.03	north7_all	80	59341	12254	8551	7373	2980	2424	1431	1712	655	506	835	357	536	371	162	173	70	57	53	46	70	13	23	14	14	4	5	8	4	1	4	5	1	0	5	1	1	2	3	0	0	0	0	0	0	0	0
0.03	north7_active	80	35801	5533	4541	4382	1475	1291	704	1001	316	243	551	184	354	258	100	110	36	29	22	25	37	7	17	8	9	2	1	6	3	0	2	1	0	0	4	0	1	1	3	0	0	0	0	0	0	0	0
0.03	north8_all	80	59509	12216	8603	7487	3012	2338	1439	1687	661	510	852	355	496	356	185	201	64	56	52	42	69	12	24	12	21	4	6	5	6	0	1	4	2	0	6	2	1	2	4	0	0	0	0	0	0	0	0
0.03	north8_active	80	35892	5513	4567	4484	1444	1245	719	1010	325	231	557	190	318	214	107	125	34	32	22	20	41	7	16	3	9	2	1	1	5	0	1	1	1	0	5	1	1	1	3	0	0	0	0	0	0	0	0
0.03	north9_all	80	60338	12124	8558	7395	2867	2315	1459	1751	659	477	865	357	466	344	191	217	68	62	53	45	67	16	26	11	24	2	6	8	6	0	1	5	4	0	6	2	0	2	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	36655	5463	4553	4419	1365	1227	728	1065	321	221	508	178	313	203	105	135	36	38	20	22	39	9	18	5	12	2	2	3	5	0	1	1	2	0	5	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	59780	12237	8459	7506	2885	2266	1430	1716	669	472	888	358	411	405	184	221	57	64	51	51	77	20	23	14	20	3	6	10	7	4	3	1	4	1	2	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	36383	5471	4489	4436	1328	1185	710	1055	323	226	525	188	256	252	96	127	35	43	24	29	41	8	16	8	7	1	3	4	5	3	3	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	59650	12110	8552	7068	2982	2316	1470	1779	641	461	903	339	444	403	186	136	75	60	43	59	49	20	25	19	19	10	6	4	8	2	1	2	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0
0.03	north11_active	80	36363	5451	4574	4125	1459	1270	732	1110	307	214	616	176	275	262	116	81	38	33	22	39	23	9	18	7	10	3	2	1	7	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north12_all	80	59290	12212	8540	7210	3029	2276	1510	1665	644	464	914	366	462	405	175	151	77	63	44	53	48	19	29	17	18	7	7	6	5	1	1	4	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0
0.03	north12_active	80	35937	5505	4584	4257	1484	1235	743	1016	295	228	597	185	301	253	99	90	37	35	20	35	19	8	20	8	8	1	4	1	3	1	1	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north13_all	80	58921	12346	8600	7263	2988	2308	1514	1675	672	476	894	392	431	416	153	175	67	63	41	50	54	18	26	14	17	5	5	5	3	2	1	3	0	0	3	0	0	0	6	0	1	2	0	0	0	0	0
0.03	north13_active	80	35546	5553	4612	4317	1476	1238	753	977	305	225	586	198	293	258	77	100	26	35	17	36	24	8	18	8	9	2	3	0	2	1	1	3	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0
0.03	north14_all	80	59148	12327	8517	7385	2980	2336	1482	1579	649	513	862	391	425	402	163	210	62	63	46	47	57	16	20	17	18	4	4	9	2	4	1	3	0	1	5	1	0	0	6	0	0	2	0	0	0	0	0
0.03	north14_active	80	35967	5629	4552	4375	1465	1254	739	870	290	249	524	209	286	259	88	127	24	31	24	26	35	6	12	11	13	3	3	3	1	1	1	3	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0
0.03	north15_all	80	59683	12287	8556	7385	2951	2366	1486	1624	654	511	895	348	438	442	162	207	60	61	47	45	66	17	21	11	27	5	4	7	2	5	2	0	0	1	5	1	0	0	5	0	0	2	0	0	0	0	0
0.03	north15_active	80	36496	5552	4508	4357	1462	1276	753	926	295	250	583	184	293	258	91	134	25	32	23	26	43	6	11	7	19	5	3	3	1	1	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north16_all	80	60151	12269	8353	7365	2986	2451	1486	1678	645	491	933	320	494	432	172	208	67	60	43	49	53	13	17	13	28	7	2	9	5	4	4	1	0	2	5	2	0	1	0	0	0	3	0	0	0	0	0
0.03	north16_active	80	36699	5537	4403	4380	1479	1305	764	974	289	230	598	172	329	273	90	135	30	32	20	27	37	5	7	7	21	5	1	6	4	1	3	1	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0
