label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82
0.03	north1_all	80	4102	1766	1036	750	875	533	388	1422	542	167	152	123	111	198	320	64	174	58	63	40	31	30	51	25	28	28	9	29	16	68	14	14	38	51	9	2	6	21	7	4	19	12	1	9	8	3	4	2	2	1	1	0	1	0	2	1	1	1	1	0	1	1	1	1	8	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1891	726	255	204	639	336	227	1343	464	66	61	44	61	167	297	17	158	15	47	15	10	13	42	7	6	18	2	26	2	66	7	5	36	50	1	0	3	21	2	4	19	7	0	3	8	2	3	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4145	1809	1044	722	948	558	399	1640	624	161	154	127	110	241	346	70	213	56	68	32	24	37	48	29	28	28	11	34	14	78	14	16	47	58	12	2	5	25	6	11	23	8	1	10	9	3	3	0	1	3	1	0	1	0	1	2	1	0	0	0	1	1	1	1	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1962	778	283	203	717	361	239	1570	557	70	61	46	65	202	330	13	194	13	47	14	10	20	35	9	7	21	5	30	2	75	6	8	44	58	3	0	3	25	2	11	23	6	0	4	9	2	2	0	0	2	1	0	0	0	1	0	1	0	0	0	1	1	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4182	1852	1053	742	961	608	390	1471	596	170	159	120	111	240	404	80	265	56	70	41	28	29	43	30	25	27	14	35	12	59	11	15	44	37	11	4	5	18	7	9	17	7	1	5	12	2	2	0	1	2	1	0	1	0	4	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1996	802	281	197	742	401	225	1408	525	78	60	47	69	211	387	17	249	14	46	15	9	18	29	10	4	19	9	28	1	55	6	6	41	37	5	1	2	17	3	9	16	6	0	4	12	1	1	0	0	1	1	0	0	0	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4182	1865	1059	735	924	638	377	1558	602	169	154	110	111	322	461	73	254	55	74	47	26	34	44	32	21	26	14	44	13	66	10	12	60	17	9	5	4	52	4	10	21	3	2	3	5	3	1	3	0	2	1	1	1	1	3	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2027	818	291	206	724	421	205	1500	526	77	63	43	69	282	439	18	243	14	51	15	9	20	27	11	4	19	11	37	3	60	5	7	55	15	6	2	1	51	1	10	20	3	1	3	4	2	1	3	0	1	1	1	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4153	1813	1082	700	914	670	364	1566	615	160	157	125	120	301	488	77	264	56	73	59	25	35	25	22	19	25	17	57	18	58	14	7	50	37	9	5	4	43	5	4	11	2	5	2	5	4	4	3	0	0	0	1	1	1	5	1	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north5_active	80	2051	779	268	199	716	465	199	1508	530	64	70	55	68	264	465	15	247	14	50	22	9	19	16	8	5	18	13	50	4	52	6	2	47	34	5	3	1	42	2	4	10	2	3	2	3	3	4	3	0	0	0	1	0	1	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	4105	1794	1025	647	918	667	363	1693	573	150	160	133	113	324	497	67	219	54	70	46	21	38	31	25	16	40	20	56	18	86	17	7	46	42	6	7	4	47	3	11	14	5	5	2	3	4	3	3	1	0	3	3	1	1	2	1	0	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
0.03	north6_active	80	2013	790	258	205	699	474	199	1623	484	54	78	52	58	283	473	16	200	17	55	14	11	21	21	8	4	32	17	51	5	79	6	2	44	39	4	3	2	47	2	11	14	3	3	2	1	3	3	3	1	0	3	1	1	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north7_all	80	4073	1746	1019	677	895	590	373	1608	502	158	161	145	113	277	415	73	232	56	69	44	26	38	35	24	21	44	17	45	16	61	15	3	23	39	4	5	5	48	4	12	11	3	5	2	2	4	3	1	1	0	3	2	1	0	2	1	0	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
0.03	north7_active	80	1948	745	267	213	670	407	198	1525	421	48	76	57	58	238	390	14	205	16	48	16	11	25	25	3	4	31	13	42	4	54	4	1	20	36	1	1	2	48	2	12	11	1	4	2	1	4	3	1	1	0	3	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north8_all	80	3946	1771	1025	687	838	563	370	1248	449	171	161	132	114	263	310	71	209	57	74	35	26	30	48	21	19	46	20	36	16	77	13	4	37	17	5	5	6	44	3	16	15	3	1	2	6	6	0	2	4	0	3	2	1	0	3	0	1	0	0	0	4	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north8_active	80	1782	720	246	203	599	370	176	1151	358	54	71	49	61	217	279	18	183	16	46	11	9	20	37	4	4	30	16	33	3	70	6	1	32	15	3	1	2	43	2	14	15	1	1	2	6	6	0	2	3	0	3	0	1	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north9_all	80	3893	1776	1049	722	788	520	374	970	402	176	154	127	104	269	249	63	202	51	67	38	27	22	41	20	18	34	19	24	14	40	11	5	34	22	6	3	4	38	2	11	9	3	3	2	11	8	2	2	3	1	0	1	1	0	1	0	1	0	0	0	4	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1638	696	239	174	532	313	173	868	308	55	62	39	51	221	213	14	182	8	40	10	6	14	29	2	4	21	10	20	5	36	5	2	29	19	3	1	0	37	0	9	9	3	3	2	11	6	1	2	2	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	3794	1793	1065	711	735	485	366	838	385	179	147	119	115	246	209	64	145	50	76	37	27	21	41	25	18	23	19	26	9	46	14	8	27	19	5	2	5	15	1	12	10	4	2	3	10	8	2	10	3	1	0	1	1	0	1	1	1	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1493	667	218	168	490	281	184	750	285	59	59	33	51	196	175	17	130	10	51	11	6	12	29	5	2	12	10	20	3	42	7	2	23	16	2	1	0	14	0	10	10	4	2	2	10	5	1	10	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4021	1776	997	749	945	619	439	1516	470	179	141	129	114	291	395	69	290	52	70	37	27	38	54	33	16	17	16	65	8	39	7	14	57	41	3	7	8	26	2	7	17	4	2	4	5	5	1	4	7	0	1	1	0	1	1	1	1	0	1	1	0	4	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	north11_active	80	1872	722	249	222	710	443	249	1420	393	59	48	50	58	262	370	19	271	16	53	21	10	20	39	11	3	12	9	60	0	35	0	3	55	34	1	1	3	25	0	7	16	1	1	4	5	4	0	2	6	0	0	0	0	1	1	0	1	0	0	1	0	4	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	4092	1825	967	718	995	598	444	1651	519	191	155	133	123	284	453	73	290	44	74	39	28	35	47	30	19	16	23	53	4	67	7	12	53	28	3	7	6	15	4	10	44	3	2	1	2	3	2	5	6	0	1	2	1	0	1	1	1	0	0	1	0	7	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1985	784	236	219	753	411	246	1555	445	72	57	50	68	263	425	24	275	14	55	22	11	19	36	11	3	11	12	50	0	62	0	1	52	25	1	2	1	13	1	10	44	1	1	1	2	2	1	3	5	0	0	0	0	0	1	0	1	0	0	1	0	7	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	4138	1883	980	697	946	600	440	1650	537	183	156	127	130	276	495	56	287	40	70	30	32	37	47	19	19	20	24	37	5	68	9	10	43	24	2	6	4	14	2	8	54	3	2	2	11	2	3	3	8	0	1	1	1	0	10	2	1	0	1	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	2034	813	238	217	706	397	256	1562	461	69	66	42	73	246	471	22	272	11	49	17	13	21	34	6	4	16	14	36	0	63	3	1	41	21	1	2	2	11	1	6	54	3	0	2	11	1	2	3	7	0	0	0	0	0	10	1	1	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	4111	1889	994	686	897	622	452	1707	595	170	160	120	133	262	493	53	248	47	56	36	37	34	28	16	18	22	17	41	8	94	8	7	55	32	3	6	5	11	2	8	63	4	2	1	9	1	4	2	15	1	2	2	2	0	11	2	0	0	2	0	2	3	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2019	841	247	204	653	420	261	1615	515	60	69	47	78	229	469	19	233	13	42	18	12	18	17	5	3	19	9	38	2	90	3	1	52	29	1	2	2	9	1	6	63	4	0	1	9	1	3	2	15	0	2	0	0	0	10	1	0	0	0	0	1	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4114	1840	960	690	876	622	410	1678	618	169	149	115	122	282	409	57	274	38	48	42	37	39	24	17	18	25	15	60	12	85	9	6	32	35	4	3	7	26	4	16	37	4	1	2	16	1	8	1	10	3	4	1	1	0	11	1	0	0	2	0	2	3	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	2003	809	239	199	647	438	230	1597	535	67	69	43	67	248	389	21	254	11	34	20	12	22	13	6	4	21	7	54	7	82	4	2	28	32	0	0	2	25	2	14	37	4	0	2	16	1	7	1	10	2	4	0	0	0	10	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4079	1826	944	686	871	613	407	1605	600	184	139	117	118	291	339	60	251	45	64	37	39	35	27	23	18	25	14	46	17	53	9	7	29	35	5	5	5	37	4	12	27	2	0	6	13	1	9	2	17	5	4	2	2	0	3	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	1
0.03	north16_active	80	1979	807	240	212	637	434	229	1521	516	69	58	48	62	257	321	21	231	15	42	18	13	20	16	9	4	16	7	40	10	52	5	2	24	33	0	0	1	37	2	12	27	2	0	5	13	1	8	2	17	4	4	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3941	1785	975	696	836	543	381	1326	554	191	129	120	93	310	322	68	228	45	64	38	39	30	31	30	18	23	15	45	18	51	7	8	36	18	6	7	3	34	5	11	26	1	0	7	11	5	7	1	7	4	5	2	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1
0.03	north17_active	80	1846	730	211	205	603	367	206	1240	468	69	48	44	44	278	298	22	205	15	34	18	13	14	24	12	3	12	8	38	11	50	3	1	34	17	0	0	1	33	3	11	26	1	0	5	11	5	6	1	7	4	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	3947	1768	1078	697	731	513	373	1117	503	196	128	119	100	267	329	63	171	59	67	36	40	29	44	32	17	16	17	47	15	41	8	11	20	10	6	7	3	26	4	10	22	3	1	7	12	5	7	2	7	5	4	2	3	2	7	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	1765	679	221	187	493	321	200	1031	407	59	35	42	48	228	301	18	151	13	36	16	16	9	35	9	1	6	11	38	7	37	4	2	18	9	2	0	1	24	3	10	20	3	0	5	12	5	6	2	7	4	4	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	3867	1734	1049	723	723	486	339	932	465	176	121	125	109	255	288	68	137	59	64	36	38	30	47	35	17	12	16	30	14	28	8	12	22	14	4	8	4	14	5	9	23	2	2	3	4	5	0	3	0	2	6	2	2	2	6	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1630	636	203	173	481	274	172	826	370	43	31	45	59	208	256	20	115	11	32	15	14	7	36	9	0	4	10	23	5	23	5	4	19	12	2	0	3	10	1	9	21	2	1	2	4	5	0	3	0	1	6	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	3933	1684	1044	716	741	498	320	877	440	185	134	133	114	249	269	75	153	63	61	39	32	31	47	30	20	16	18	37	15	28	12	9	9	12	4	5	4	12	6	9	6	4	2	1	3	0	0	4	0	1	5	1	2	2	6	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1570	630	211	156	483	279	153	765	346	47	33	52	63	206	237	20	127	9	31	15	10	10	30	9	1	6	6	32	4	23	5	4	7	10	3	0	2	8	1	8	4	3	1	1	2	0	0	3	0	0	5	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3713	1796	1113	795	524	494	340	224	300	192	171	203	246	89	75	63	60	46	43	48	38	28	57	235	27	16	21	15	13	10	8	31	13	21	39	24	5	2	3	47	4	7	3	4	3	1	6	7	1	6	3	0	2	1	2	2	1	2	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south21_active	80	1219	839	470	394	258	292	166	78	192	38	92	136	199	51	30	31	28	25	15	33	18	15	44	225	14	7	18	10	5	3	3	24	3	21	38	22	1	0	0	45	4	6	1	2	0	1	6	7	0	4	1	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_all	80	3712	1748	1091	806	528	494	343	238	270	189	177	239	249	85	69	62	52	49	38	49	38	33	46	183	28	12	22	14	13	14	7	29	9	24	29	22	4	3	4	64	2	9	3	3	2	1	5	13	1	6	4	0	2	1	0	4	1	1	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0
0.03	south22_active	80	1215	840	467	392	233	286	167	85	161	39	99	166	198	48	24	29	27	25	14	32	18	19	37	173	15	6	18	10	6	3	3	21	1	23	27	21	1	1	0	62	2	8	1	1	0	1	5	13	0	4	1	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	south23_all	80	3684	1750	1107	790	528	491	328	268	251	181	158	238	269	87	64	67	55	59	37	46	36	40	53	186	28	21	28	9	12	15	5	32	8	35	23	24	2	3	4	44	2	16	5	5	2	1	5	13	2	6	3	0	2	0	0	4	2	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0
