label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	north1_all	80	33808	34744	8533	7034	6335	4431	2013	1353	1434	920	427	530	204	192	113	107	276	49	45	31	31	17	41	6	10	13	3	5	1	9	2	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	10489	30341	4486	5064	5350	3806	1339	889	1157	685	222	428	52	119	43	33	250	7	11	16	14	10	39	3	4	6	2	2	0	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	33975	34854	8389	7279	6380	4580	1983	1343	1464	860	403	556	196	181	108	103	250	43	36	38	33	22	39	10	16	11	6	5	2	6	2	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	10636	30429	4351	5287	5384	3915	1312	872	1190	621	204	452	56	108	43	28	226	6	12	18	21	9	32	7	8	7	2	2	0	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	34039	35727	8440	7407	6344	4721	1925	1297	1480	802	409	580	221	168	131	94	200	47	37	35	39	23	35	9	19	5	5	3	3	11	2	1	1	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	10617	31247	4289	5398	5306	4048	1257	836	1208	578	216	476	57	111	49	30	180	10	11	15	27	12	30	5	11	1	2	0	1	3	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	34241	36198	8682	7484	6489	4717	1884	1321	1459	795	413	596	208	176	132	99	254	46	35	40	42	24	50	13	14	6	7	3	4	9	3	1	2	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1
0.03	north4_active	80	10717	31903	4427	5506	5450	4010	1243	829	1176	570	196	487	48	119	45	34	238	9	10	22	28	10	44	9	8	3	2	0	2	0	2	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	34201	36375	8754	7405	6692	4789	1816	1312	1449	802	429	581	236	192	127	93	249	54	39	37	43	18	48	16	11	8	5	4	3	10	1	3	2	3	1	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	10629	32143	4490	5439	5628	4093	1181	819	1186	564	202	452	48	126	41	39	233	12	13	20	27	5	46	9	4	3	1	0	2	1	0	2	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	34125	35919	8719	7070	6655	4802	1855	1327	1518	835	439	553	239	193	116	105	281	54	52	36	40	14	60	17	5	9	7	6	5	7	1	2	2	1	1	0	0	0	2	0	1	0	0	0	0	0	1	1
