label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north19_active	80	13258	11144	8971	4117	1501	1485	557	362	1132	770	602	115	192	230	89	57	41	24	23	34	33	2	18	5	5	3	12	2	4	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north20_all	80	28729	18954	14198	6616	2964	2555	1215	815	2007	1142	1067	224	366	377	155	108	79	48	56	49	45	13	24	14	3	7	13	7	6	0	3	1	2	0	1	1	0	1	1	1	0	1	0	1	0	0
0.03	north20_active	80	13327	11188	8929	3984	1518	1471	570	367	1259	797	739	107	210	237	97	56	48	29	32	31	28	7	13	11	3	3	12	2	5	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	29033	18814	14158	6684	3072	2499	1143	848	1881	990	985	234	319	438	139	156	77	52	55	42	47	15	23	12	11	10	4	3	3	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	13334	10914	8849	3965	1611	1442	558	391	1188	617	679	95	178	296	72	102	48	24	30	24	35	7	16	7	6	9	3	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	28486	18347	13639	6558	3009	2524	1103	809	1804	991	945	238	301	456	141	142	73	39	51	45	44	14	25	11	10	10	3	0	3	0	0	2	3	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	12874	10743	8519	3830	1540	1396	515	354	1131	600	678	95	176	319	71	81	47	21	28	27	29	9	18	6	6	9	3	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	27691	17545	13068	6256	2955	2420	1126	792	1781	924	961	231	260	418	147	140	64	48	43	35	52	15	24	6	6	10	8	1	1	0	1	3	3	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	12429	10199	8046	3622	1450	1314	506	342	1121	572	710	100	149	273	75	77	36	27	20	20	32	10	18	2	3	8	5	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	26990	17028	12337	5947	2851	2352	1121	805	1773	880	895	226	266	391	135	121	55	50	30	44	39	13	24	9	8	10	13	1	1	1	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south24_active	80	12001	9809	7609	3411	1418	1240	498	340	1109	512	629	109	151	242	67	64	27	30	13	23	16	8	15	4	3	6	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	26737	16728	12243	5894	2760	2209	1196	808	1709	859	932	218	263	350	134	119	72	52	30	42	38	17	18	9	10	8	12	2	2	1	1	3	2	0	1	0	1	1	0	1	0	0	0	0	0	0
0.03	south25_active	80	11830	9459	7354	3426	1351	1166	522	347	1058	498	632	106	159	216	68	66	40	28	15	23	17	8	10	2	3	4	3	0	1	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	south26_all	80	27070	17101	12327	6020	2800	2239	1186	803	1677	951	980	216	267	375	131	111	81	50	39	48	30	13	29	12	10	11	10	3	7	1	0	3	3	0	1	0	1	1	0	0	0	0	0	0	0	1
0.03	south26_active	80	12054	9671	7423	3530	1441	1200	514	343	1017	549	639	110	159	235	65	69	47	26	20	25	10	3	19	4	4	5	2	1	5	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	south27_all	80	27673	17659	13167	6542	2831	2331	1220	857	1698	1013	980	231	284	424	124	116	87	45	53	58	20	14	24	17	9	12	3	3	7	2	0	2	3	0	2	0	1	1	0	0	0	0	0	0	0	1
0.03	south27_active	80	12444	10100	8071	3874	1470	1270	565	364	1079	596	645	108	175	281	61	69	44	21	29	33	9	7	16	12	2	6	1	2	4	2	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	south28_all	80	28308	18338	14023	6707	2897	2475	1198	830	1791	1121	994	236	275	476	125	108	84	33	63	56	27	12	32	18	8	10	8	3	6	2	0	1	5	1	2	0	1	0	0	0	0	0	0	0	0	1
0.03	south28_active	80	12924	10633	8794	3921	1534	1391	587	359	1195	674	649	105	159	344	59	64	48	11	40	32	15	6	24	12	2	4	4	3	4	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	28939	18775	14380	6851	2936	2536	1202	840	1744	1147	1044	234	312	449	115	126	79	39	65	75	31	13	32	18	8	8	12	2	9	2	0	2	4	1	2	0	0	0	0	1	0	0	0	0	0	1
0.03	south29_active	80	13446	10977	9082	4029	1555	1471	605	384	1172	736	685	101	186	338	50	76	45	16	41	45	18	8	25	13	2	3	9	2	7	2	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0
