label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132
0.03	north1_all	80	6162	1620	890	725	594	552	306	268	183	208	575	146	138	104	102	197	127	90	69	94	181	136	50	98	32	63	56	39	33	52	24	33	26	14	30	16	16	14	21	10	13	17	6	14	5	7	8	15	4	5	10	14	6	8	8	3	4	3	13	5	5	9	0	1	3	2	1	2	3	3	0	0	1	2	0	1	7	0	0	3	4	1	1	2	0	1	0	2	0	0	0	13	1	0	2	0	0	1	2	3	0	5	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3805	817	401	343	313	304	125	128	75	105	389	70	71	41	45	119	75	41	29	57	134	93	25	71	15	41	36	12	19	41	12	21	13	9	14	11	7	9	12	6	8	10	3	4	2	3	4	8	1	0	6	10	5	5	2	3	1	0	7	4	3	4	0	0	0	0	0	0	2	0	0	0	1	2	0	0	4	0	0	3	4	0	0	0	0	1	0	2	0	0	0	13	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6117	1614	879	743	585	530	301	276	184	210	564	136	141	111	106	186	122	102	63	105	181	136	47	71	31	59	72	39	35	46	23	43	25	15	23	19	15	16	17	12	9	21	9	20	11	8	9	13	2	5	15	9	10	5	9	6	5	1	12	1	3	8	1	0	6	2	1	2	2	3	1	0	1	2	0	0	8	0	0	3	1	2	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	3	0	5	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	3803	830	410	369	285	283	114	125	82	98	360	65	79	45	45	112	72	47	29	59	149	94	24	46	14	38	46	18	21	35	10	28	14	8	10	11	6	11	11	5	4	12	4	8	3	5	4	10	0	0	10	6	7	4	2	5	2	0	5	0	3	4	1	0	3	0	0	0	2	0	1	0	1	2	0	0	4	0	0	3	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5986	1533	852	736	573	533	303	266	182	215	499	144	143	127	113	168	123	93	64	107	180	106	41	62	29	73	54	39	39	36	32	45	21	22	20	21	16	14	17	13	6	19	14	20	12	11	9	11	4	5	20	12	9	7	9	7	4	0	9	0	4	9	1	0	7	3	1	2	0	3	1	2	1	2	3	0	3	0	1	3	0	1	1	1	1	0	2	2	1	0	0	0	0	0	0	0	0	2	0	3	0	5	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	3749	745	385	382	284	275	129	119	82	86	310	70	77	49	49	103	73	41	30	60	141	71	19	45	13	49	33	19	25	28	15	31	14	14	10	10	7	9	11	6	5	8	7	9	6	8	4	8	1	1	12	9	7	7	3	6	2	0	4	0	4	5	1	0	3	2	0	0	0	0	1	0	1	2	0	0	0	0	0	3	0	0	0	1	1	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5601	1532	853	719	581	482	284	263	197	193	461	148	138	119	113	163	123	99	67	112	191	88	41	67	32	76	47	40	38	39	33	41	17	23	21	18	14	12	12	13	8	22	19	18	11	11	8	6	3	4	29	7	9	5	7	6	4	0	9	0	8	1	2	2	5	3	0	1	0	1	1	2	1	2	3	0	4	3	2	1	0	2	2	1	1	0	2	2	1	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	1	2	0	0	0	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	3476	731	373	374	277	239	123	114	92	80	298	71	72	50	51	94	71	38	32	66	139	48	21	49	13	52	28	20	21	30	18	30	11	12	12	9	8	8	9	6	6	10	11	13	5	8	1	4	1	3	19	5	6	5	3	5	2	0	4	0	4	1	2	1	3	2	0	0	0	1	1	0	1	1	0	0	0	2	1	1	0	1	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5187	1484	835	672	567	449	285	243	216	178	415	162	123	137	100	139	115	86	66	102	156	85	40	85	32	74	45	40	36	44	30	27	13	26	25	17	12	10	10	17	8	16	17	13	13	12	13	2	4	5	27	6	7	6	3	2	5	1	4	0	8	3	2	2	6	3	1	3	0	1	1	2	1	2	4	0	2	3	2	1	0	1	1	0	1	1	2	2	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	3144	704	339	354	288	213	126	114	94	72	269	74	51	56	46	82	70	36	32	59	102	39	21	62	15	54	28	18	19	35	16	16	3	14	15	6	8	5	6	9	5	9	11	9	12	7	3	1	2	4	19	4	5	6	1	2	3	0	3	0	3	1	2	1	3	2	1	2	0	1	1	0	0	0	0	0	1	2	1	1	0	1	0	0	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4837	1510	853	660	553	435	289	251	210	183	400	153	123	123	90	135	118	75	63	103	170	85	41	93	33	65	48	34	40	44	22	27	17	19	20	18	11	12	8	16	10	12	12	11	13	8	14	2	6	5	22	10	7	7	4	2	4	2	4	0	16	3	3	2	3	3	2	4	1	3	1	1	2	2	1	1	2	3	3	3	0	1	1	0	0	2	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
