label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151
0.03	north1_all	80	14869	5111	2613	1504	2162	856	891	757	793	466	534	338	287	264	324	441	275	306	178	140	232	202	160	193	81	94	128	57	64	101	104	84	35	35	67	45	42	49	18	31	28	37	21	51	17	15	13	28	23	20	11	17	17	16	15	9	15	6	2	19	1	9	8	8	7	6	5	11	6	2	9	3	1	4	5	6	2	2	1	4	0	0	3	0	2	2	4	2	0	1	0	2	3	2	2	0	5	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	12310	3622	1566	561	1650	276	463	436	544	156	345	68	58	86	206	348	196	239	103	56	182	154	103	159	32	54	89	41	25	77	69	56	7	16	54	14	15	34	7	13	15	27	14	47	11	4	8	21	19	9	6	7	12	10	4	4	13	2	1	14	0	6	5	7	2	5	1	10	4	0	8	0	1	3	5	5	0	1	1	3	0	0	2	0	0	1	4	2	0	0	0	1	3	2	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15036	5115	2642	1528	2073	873	868	767	791	489	546	318	272	282	308	392	268	328	179	137	221	183	147	181	81	97	129	83	70	102	97	73	39	39	72	34	38	55	22	23	21	33	25	50	16	15	11	27	29	16	5	15	19	23	14	11	21	7	5	18	1	6	8	14	6	7	8	14	8	0	9	2	1	5	5	5	5	4	1	8	1	1	3	2	3	4	4	2	0	1	0	1	10	2	3	0	6	1	2	0	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	12515	3666	1573	580	1602	274	448	453	557	166	342	68	51	90	191	306	199	267	100	51	177	135	97	141	40	55	91	59	28	76	63	46	10	17	64	14	14	39	9	10	10	24	18	45	9	5	6	22	26	7	3	6	13	20	3	3	20	3	1	16	0	3	5	12	2	6	2	14	6	0	8	0	1	3	4	3	2	2	1	6	1	0	3	0	1	3	4	2	0	0	0	0	10	2	1	0	6	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15181	5171	2601	1496	2078	887	822	775	792	494	573	330	291	266	310	440	269	328	167	145	215	192	143	192	75	92	110	87	60	96	81	81	46	45	75	39	41	66	19	25	25	39	21	46	17	20	11	27	26	13	5	14	14	19	12	9	19	8	8	17	2	8	8	21	6	10	6	7	7	1	6	4	1	4	2	2	4	5	1	8	1	1	1	3	5	4	0	7	1	2	2	1	10	13	2	0	2	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	12584	3733	1547	562	1607	283	416	443	545	180	363	78	53	91	197	350	205	258	91	51	173	141	90	152	41	55	84	63	23	72	51	59	12	20	68	13	11	48	5	9	10	32	15	40	6	10	6	20	24	6	3	5	6	18	3	2	16	5	1	14	1	7	6	17	3	9	1	7	6	1	5	0	1	2	1	0	2	2	1	6	1	0	1	1	2	3	0	7	0	1	0	0	9	11	1	0	2	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15183	5152	2612	1482	2039	894	794	796	811	470	552	331	310	264	300	475	283	302	150	132	235	175	134	193	84	87	116	92	60	93	83	73	48	41	69	38	34	52	27	23	23	52	22	57	16	19	17	28	26	12	7	11	10	22	8	8	16	8	9	15	4	12	6	25	5	8	6	11	6	1	4	3	2	5	2	3	5	3	0	6	1	1	2	4	4	7	0	10	2	2	2	1	10	12	1	0	2	2	0	0	1	1	2	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	12646	3731	1558	564	1590	281	395	466	574	186	344	83	70	88	183	383	211	235	75	41	191	122	87	149	38	50	88	54	21	69	54	50	13	17	63	14	6	37	9	8	11	41	13	52	3	11	12	20	22	6	2	3	4	21	3	3	13	3	1	14	1	11	5	21	4	8	2	11	5	1	3	0	2	1	1	2	2	1	0	5	1	0	1	2	2	6	0	10	1	1	0	0	9	10	0	0	1	1	0	0	1	1	2	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15108	5187	2538	1486	2057	862	791	819	791	469	580	348	300	249	291	501	294	265	152	134	231	170	146	210	90	102	141	93	60	93	70	64	51	43	59	41	33	48	37	20	28	51	23	59	17	18	20	34	35	8	9	9	11	14	10	9	6	8	8	21	7	13	4	24	8	9	6	10	2	1	0	2	3	4	2	2	3	3	0	3	0	0	1	3	3	5	0	10	3	3	2	1	1	13	1	2	4	1	1	1	1	1	2	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	12622	3767	1516	568	1606	272	401	484	558	180	362	83	83	82	183	419	216	196	77	40	193	114	100	168	40	56	106	50	23	69	43	43	12	14	47	16	6	33	14	11	11	40	13	55	2	10	16	26	30	3	4	2	4	13	5	2	2	2	0	19	1	12	3	19	5	8	2	10	1	1	0	0	2	0	1	2	1	2	0	3	0	0	0	2	1	4	0	10	2	1	0	0	0	11	0	2	3	1	1	1	1	0	2	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
