label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136
0.03	north1_all	80	4816	2064	1453	900	697	517	630	625	294	233	234	667	273	162	246	165	120	99	86	75	98	322	81	61	186	47	40	36	41	208	33	41	161	27	19	21	43	32	20	20	17	6	14	54	6	34	16	6	8	4	5	5	41	4	2	1	3	5	14	6	18	5	5	3	13	3	5	2	2	7	4	2	1	1	0	0	8	1	2	2	3	0	2	3	1	4	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north1_active	80	2743	887	786	325	316	196	427	482	76	73	97	591	198	51	186	101	22	33	25	28	62	304	66	37	160	8	10	16	27	196	15	25	150	11	6	8	36	20	12	18	6	2	4	50	1	32	4	4	2	1	1	0	38	3	1	1	2	3	12	6	16	1	2	0	13	1	4	1	1	3	4	1	1	0	0	0	8	0	1	1	2	0	2	3	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north2_all	80	4678	2110	1414	891	671	540	600	610	295	234	221	596	266	143	232	162	122	106	76	76	104	301	79	58	183	52	42	30	43	183	39	38	107	23	16	25	38	29	15	20	16	11	18	32	8	19	21	3	9	8	6	6	26	6	4	2	4	5	7	7	20	5	5	2	7	2	5	1	2	5	3	5	2	0	1	0	8	1	3	1	1	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north2_active	80	2570	859	728	295	284	206	405	458	75	67	88	523	187	41	185	106	26	34	25	27	65	284	60	35	155	10	14	10	24	171	19	24	101	4	5	11	28	17	8	17	3	4	6	30	1	16	7	2	3	2	1	0	24	3	2	2	2	3	7	6	18	1	2	0	7	1	4	0	1	0	2	2	1	0	1	0	8	0	2	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north3_all	80	4551	2109	1383	841	691	570	613	591	310	239	209	528	220	156	229	155	110	113	77	72	98	262	88	63	152	54	39	28	38	158	37	34	88	24	19	26	38	27	17	23	19	14	16	22	7	18	18	3	9	11	7	5	28	7	5	3	4	3	5	2	14	5	3	2	3	2	5	0	2	2	1	3	2	0	1	0	1	1	2	0	1	0	1	3	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north3_active	80	2363	808	692	258	266	203	400	427	78	58	67	459	145	39	180	105	25	36	28	15	62	237	65	44	123	7	11	7	22	145	17	20	81	4	5	10	26	15	11	19	5	4	8	20	0	15	7	2	1	4	1	0	28	3	3	2	1	2	5	1	12	0	1	1	2	1	4	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north4_all	80	4422	2114	1321	817	676	536	596	527	300	284	215	429	207	170	214	135	119	108	80	67	68	218	88	68	111	52	42	34	25	113	35	36	106	21	18	22	37	25	16	15	19	20	14	19	10	19	18	7	9	14	8	7	24	8	9	3	5	4	8	1	12	3	2	1	4	3	1	1	2	1	2	3	2	0	1	0	1	1	2	1	1	0	2	2	0	2	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2213	771	620	207	249	179	357	349	65	65	74	350	124	44	161	90	33	35	25	12	38	188	61	44	88	5	14	8	15	99	16	22	101	5	4	10	27	11	10	9	5	6	4	15	0	14	10	6	1	5	1	2	23	2	6	2	1	3	8	0	9	0	1	1	3	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4446	2098	1357	840	671	536	585	542	299	296	231	477	221	167	224	148	140	110	90	69	60	174	108	69	106	48	37	41	28	104	37	42	97	22	18	23	49	14	16	19	15	19	18	22	11	23	15	12	10	16	7	11	30	8	9	2	6	4	4	1	4	3	1	2	7	2	1	3	1	2	2	2	3	0	1	0	1	0	1	3	1	0	1	0	0	1	1	1	0	1	0	0	1	2	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2223	744	628	219	269	174	337	364	67	71	90	396	127	49	168	87	40	34	31	9	29	148	74	37	92	4	8	12	15	93	17	26	91	5	1	6	42	5	10	12	7	5	4	18	0	17	10	10	0	5	0	4	26	1	5	1	3	3	4	0	2	0	0	1	6	1	0	1	0	1	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4521	2065	1353	876	689	508	610	581	293	292	246	518	238	163	225	157	141	97	94	76	74	216	130	60	102	45	37	49	26	124	45	50	99	20	17	28	65	20	17	24	12	16	11	28	10	27	9	16	10	16	9	12	31	11	10	1	9	8	7	0	1	3	2	2	13	2	2	4	3	6	2	1	3	1	1	1	8	0	3	3	0	3	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2373	796	671	241	295	184	360	411	65	80	97	454	160	49	168	89	40	28	34	12	34	191	99	28	94	4	10	18	17	114	21	34	92	4	2	5	59	11	7	14	4	4	1	24	0	23	6	12	0	4	1	5	23	4	5	1	3	4	5	0	0	0	1	1	12	1	0	1	1	3	1	1	3	0	0	0	7	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
