label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	30024	18686	7276	3842	3452	1914	2584	979	723	832	459	536	185	134	154	199	52	62	38	25	25	15	12	6	6	5	21	3	2	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	13996	10667	3656	1842	1903	976	1544	487	363	499	262	348	103	55	77	115	20	42	21	13	10	13	8	4	3	3	8	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29533	17752	7132	3768	3245	1879	2293	952	714	818	449	482	167	123	131	178	55	72	36	21	18	13	13	7	7	10	14	3	3	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0
0.03	north2_active	80	13515	10052	3530	1748	1786	945	1387	465	345	477	258	309	88	50	69	107	22	41	20	12	9	6	8	6	4	7	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28839	17116	6992	3684	3203	1806	2159	915	696	754	425	442	166	131	130	138	48	76	33	22	13	21	9	8	8	21	12	2	3	3	0	0	1	1	1	1	0	0	1	2	1	0	0	0	0	0	0
0.03	north3_active	80	13101	9556	3316	1692	1722	874	1276	443	340	419	243	276	93	59	65	83	21	44	20	12	8	12	4	6	4	13	6	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28735	16782	6980	3732	3194	1794	2076	849	715	765	415	478	185	131	126	158	41	63	38	20	8	27	8	10	8	23	14	3	2	3	0	0	1	1	1	2	0	0	1	1	1	0	0	0	0	0	0
0.03	north4_active	80	12893	9259	3329	1673	1717	825	1239	418	360	443	220	300	100	60	66	85	20	28	21	13	4	15	3	7	6	15	5	2	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28852	17179	6980	3718	3232	1821	2181	907	726	784	428	490	194	134	117	176	50	59	35	26	16	22	11	10	7	17	14	2	3	4	1	7	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0
0.03	north5_active	80	13026	9542	3362	1673	1689	868	1367	447	372	472	235	291	109	58	61	96	26	31	19	13	8	14	4	7	3	10	6	2	2	3	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
