label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134
0.03	north1_all	80	22193	12110	6310	4469	4738	5715	3833	1736	2889	1248	1176	1204	1301	649	561	857	592	700	352	351	297	310	556	268	270	308	162	251	122	134	196	174	95	86	120	76	82	115	88	60	51	82	31	49	26	43	46	34	36	46	18	25	28	24	14	14	40	8	10	9	11	7	19	20	7	4	4	4	8	2	7	3	5	3	4	3	2	2	6	4	1	4	1	3	4	1	4	1	3	2	1	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	10537	6225	2944	2071	2651	3502	2288	814	1753	594	619	641	772	300	257	492	302	401	172	160	149	159	340	137	161	215	78	142	61	65	106	95	42	45	56	41	47	57	61	41	26	48	12	27	13	18	26	26	20	36	8	11	13	17	7	7	21	4	7	2	4	2	13	18	3	0	2	2	3	1	6	3	1	0	0	1	1	0	3	2	0	2	1	0	4	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23349	12602	6339	4409	4985	6332	4157	1730	3210	1290	1220	1265	1431	660	577	939	599	714	348	333	307	338	578	295	308	322	162	295	135	138	219	177	89	95	120	65	84	140	112	69	49	99	38	62	24	42	51	40	33	63	14	35	31	21	18	15	46	9	11	10	5	7	15	14	8	5	6	2	7	4	7	4	6	0	2	3	0	3	6	2	1	0	1	3	4	1	2	0	4	2	0	3	1	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
0.03	north2_active	80	11350	6713	2929	1998	2857	3813	2522	764	2060	609	666	694	893	304	281	530	292	438	169	157	154	168	330	165	175	218	78	181	65	70	116	99	37	51	57	35	50	71	76	42	23	69	18	35	14	21	28	31	18	45	7	17	12	16	8	4	28	6	8	4	1	3	9	11	3	1	4	0	3	3	6	4	1	0	0	1	0	1	3	0	0	0	1	0	4	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	24240	13195	6247	4239	5361	6750	4330	1679	3379	1297	1212	1381	1590	667	596	1030	647	769	340	309	317	358	611	308	315	339	151	346	127	162	222	200	102	104	130	81	101	162	124	82	48	99	42	71	26	38	44	58	38	76	12	33	30	27	15	11	39	16	9	10	3	12	17	13	9	8	7	2	7	4	7	7	5	1	9	7	3	2	4	0	1	2	1	1	9	1	2	1	3	1	0	3	1	0	1	0	1	1	0	0	0	2	0	0	1	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	12083	7201	2862	1874	3124	4130	2569	726	2148	617	659	782	1008	301	283	587	337	499	151	141	167	179	310	172	185	213	70	226	54	86	130	113	45	59	73	40	58	91	83	47	23	58	22	47	15	19	27	49	21	51	3	17	12	18	7	4	25	10	8	3	1	4	8	10	3	2	6	0	1	3	6	3	0	0	9	5	3	1	2	0	1	1	1	0	4	0	1	1	3	1	0	0	1	0	1	0	1	0	0	0	0	2	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	24032	13112	6135	4287	5387	6674	4113	1684	3365	1263	1203	1360	1447	717	582	1057	632	809	354	267	304	352	625	281	315	341	146	351	132	180	207	216	97	92	114	96	104	162	122	75	43	90	43	68	28	29	37	53	33	81	13	31	34	25	18	13	26	14	8	12	3	9	13	11	11	8	8	1	9	4	5	7	2	1	10	4	4	1	2	0	6	2	1	1	6	0	0	1	3	1	0	3	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	11917	7051	2815	1908	3108	4042	2471	726	2138	601	639	776	909	334	268	617	311	541	161	114	141	177	337	166	177	212	66	231	59	90	124	134	46	51	64	47	61	94	85	39	21	55	24	45	14	16	23	42	20	55	5	18	19	15	11	6	20	9	6	5	1	4	5	9	3	4	8	0	3	3	3	3	1	0	10	4	3	1	1	0	3	1	1	0	1	0	0	1	3	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	23214	12830	6070	4282	5212	6159	3920	1694	3237	1238	1208	1352	1390	692	542	951	602	803	354	288	306	335	601	290	306	297	147	357	128	171	206	186	99	80	108	98	94	152	118	64	42	91	50	56	31	27	38	52	34	74	13	26	25	26	17	13	14	20	8	7	4	10	12	8	9	8	8	2	6	5	4	6	2	1	12	4	4	1	2	1	6	4	4	3	6	0	0	1	2	0	0	2	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	11329	6796	2731	1901	2946	3827	2372	728	2002	587	632	781	863	307	243	555	306	529	160	127	147	168	313	158	175	179	57	235	52	86	130	116	49	40	65	51	51	91	72	32	20	48	26	36	13	14	28	42	20	46	6	16	16	16	9	7	9	16	4	3	1	5	6	6	2	4	7	1	3	2	2	1	1	0	11	4	3	1	1	0	3	3	3	2	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
